股票代码,股票简称,营业部买入金额合计[20230308],营业部买入金额合计排名[20230308],最新涨跌幅,a股市值(不含限售股)[20230308],收盘价:不复权[20230308],总市值[20230308],市净率(pb)[20230308]
002796.SZ,世嘉科技,93282231,5/5131,9.976,3245701000.000,14.00,3533977272.0,4.201
002808.SZ,恒久科技,85853039,6/5131,-0.173,3218846700.000,17.27,4642176000.0,11.239
002112.SZ,三变科技,84010759,7/5131,-3.519,3401119900.000,13.16,3448972800.0,7.918
002115.SZ,三维通信,82724730,8/5131,10.034,4488687800.000,6.47,5247113918.04,2.227
