股票代码,股票简称,营业部买入金额合计[20230515],营业部买入金额合计排名[20230515],最新涨跌幅,a股市值(不含限售股)[20230515],收盘价:不复权[20230515],总市值[20230515],市净率(pb)[20230515]
603533.SH,掌阅科技,247262943.26,6/5196,-9.590,12578783300.000,28.66,12578783291.1,4.868
600636.SH,国新文化,207006139.19,7/5196,-8.028,7619768300.000,17.30,7619768305.5,2.833
002045.SZ,国光电器,173094519.0,10/5196,-10.000,8335054000.000,17.82,8346601329.66,3.984
000526.SZ,学大教育,131719731.0,16/5196,10.020,3323263600.000,28.22,3323263647.98,7.557
600750.SH,江中药业,125802649.5,17/5196,-10.016,14401232000.000,23.09,14536285440.22,3.516
600088.SH,中视传媒,122141442.24,19/5196,6.887,7962082100.000,20.02,7962082128.0,7.861
600825.SH,新华传媒,120950686.7,20/5196,10.036,6415611400.000,6.14,6415611399.0,2.563
002292.SZ,奥飞娱乐,110606601.0,21/5196,-8.358,8982482100.000,9.21,13618824209.37,4.182
601999.SH,出版传媒,83650582.72,23/5196,-3.171,5046378700.000,9.16,5046378652.0,2.067
