股票代码,股票简称,营业部买入金额合计[20230721],营业部买入金额合计排名[20230721],最新涨跌幅,a股市值(不含限售股)[20230721],收盘价:不复权[20230721],总市值[20230721],市净率(pb)[20230721]
603000.SH,人民网,403321511.4,1/5256,-10.012,32098211000.000,29.03,32098211355.68,8.910
000716.SZ,黑芝麻,137186701.0,8/5256,10.068,5573007200.000,8.09,6018956359.5,2.422
000802.SZ,北京文化,117464917.0,11/5256,-10.000,5408917300.000,7.56,5412205927.8,3.552
002703.SZ,浙江世宝,90219076.0,12/5256,-10.000,8461823000.000,15.30,9260360893.475,8.619
