股票代码,股票简称,营业部买入金额合计[20230509],营业部买入金额合计排名[20230509],最新涨跌幅,a股市值(不含限售股)[20230509],收盘价:不复权[20230509],总市值[20230509],市净率(pb)[20230509]
603357.SH,设计总院,376535201.56,1/5192,10.020,7436318500.000,16.36,7649549544.08,2.341
002941.SZ,新疆交建,201205541.0,4/5192,10.020,13772688000.000,21.52,13881633052.96,4.728
000065.SZ,北方国际,181205346.0,8/5192,-10.000,16377391000.000,18.09,18121693372.47,2.346
000950.SZ,重药控股,164708953.0,10/5192,9.945,13756350000.000,7.96,13877204002.52,1.283
600757.SH,长江传媒,161480327.36,11/5192,-10.008,13858137000.000,11.42,13859886117.66,1.571
002051.SZ,中工国际,103956529.0,16/5192,-10.000,17034735000.000,13.77,17039121062.49,1.542
600228.SH,返利科技,102556561.0,17/5192,-6.722,4061848300.000,14.57,10633151789.64,9.399
600088.SH,中视传媒,96249817.32,20/5192,9.986,6307623500.000,15.86,6307623504.0,6.227
