股票代码,股票简称,营业部买入金额合计[20230601],营业部买入金额合计排名[20230601],最新涨跌幅,a股市值(不含限售股)[20230601],收盘价:不复权[20230601],总市值[20230601],市净率(pb)[20230601]
600158.SH,中体产业,283548436.35,6/5216,9.982,8989900900.000,12.45,11945937684.15,4.820
600072.SH,中船科技,253350603.92,7/5216,5.655,19120409000.000,25.97,19120409461.51,4.735
000888.SZ,峨眉山A,80366912.0,21/5216,10.027,6475762000.000,12.29,6475762023.58,2.776
