股票代码,股票简称,营业部买入金额合计[20230724],营业部买入金额合计排名[20230724],最新涨跌幅,a股市值(不含限售股)[20230724],收盘价:不复权[20230724],总市值[20230724],市净率(pb)[20230724]
000716.SZ,黑芝麻,133998066.0,8/5256,0.247,5586784700.000,8.11,6033836350.5,2.428
002559.SZ,亚威股份,113119942.0,10/5256,10.055,4869042400.000,10.07,5590139201.68,3.136
603730.SH,岱美股份,89654273.71,12/5256,9.982,23812371000.000,18.73,23812370740.76,5.413
