股票代码,股票简称,营业部买入金额合计[20230612],营业部买入金额合计排名[20230612],最新涨跌幅,a股市值(不含限售股)[20230612],收盘价:不复权[20230612],总市值[20230612],市净率(pb)[20230612]
001338.SZ,永顺泰,120702091,11/5232,10.005,2578896500.000,20.56,10315585947.04,3.160
002587.SZ,奥拓电子,105705027,14/5232,1.422,4356583000.000,8.56,5577217975.36,4.035
002536.SZ,飞龙股份,102313564,15/5232,10.026,5997393900.000,12.73,6374061392.22,2.692
