股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600327.SH,大东方,5.01,20241120,93680087.38,66932682.12,26747405.26,日涨幅偏离值达7%的证券,单日榜,0.7144814228075712,1/68,低市净率+百货零售+医疗健康+老字号,10.10989011,5443,4432745400.000,4.53,5.01,4.51,5.01,10.989,96307004,600327
002693.SZ,双成药业,27.26,20241120,242581578.49,145929630.5,96651947.99,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6015693005560011,4/68,拟收购宁波奥拉半导体+多肽药,10.008071025,2984,11214275900.000,27.26,27.26,27.26,27.26,0.000,5489100,002693
001255.SZ,博菲电气,40.47,20241120,72637275.24,38202724.24,34434551.0,日振幅值达15%的证券;日换手率达20%的证券,单日榜,0.5259382887611741,5/68,电气绝缘材料+新能源汽车+有机硅+光伏,10.00271813,516,809400000.000,34.89,40.47,33.17,40.47,19.842,9778105,001255
600844.SH,丹化科技,3.27,20241120,35873787.0,18607385.0,17266402.0,日涨幅偏离值达7%的证券,单日榜,0.518690290489822,6/68,乙二醇+煤化工+股份转让,10.101010101,7463,2690329200.000,2.95,3.27,2.95,3.27,10.774,36188410,600844
002312.SZ,川发龙蟒,17.15,20241120,522474615.0,248003684.0,274470931.0,日涨幅偏离值达7%的证券,单日榜,0.4746712603443901,7/68,拟收购股权+磷化工+三季报增长+四川国资,10.006414368,3635,30068041000.000,15.3,17.15,15.3,17.15,11.867,276704980,002312
002402.SZ,和而泰,21.13,20241120,744625383.2,331909396.64,412715986.56,日振幅值达15%的证券;日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,0.44574010519710144,8/68,参股摩尔线程+智能控制器+卫星,9.994794378,3530,16933186000.000,18.25,21.13,17.81,21.13,17.283,347651690,002402
600734.SH,实达集团,4.36,20241120,122050035.0,49996437.07,72053597.93,日涨幅偏离值达7%的证券,单日榜,0.40963885893191265,9/68,资产注入预期+数据要素+算力+国企,10.101010101,6858,9269912900.000,3.92,4.36,3.82,4.36,13.636,174032385,600734
600327.SH,大东方,5.01,20241120,117192220.0,45477413.98,71714806.02,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.38805830267572367,10/68,低市净率+百货零售+医疗健康+老字号,10.10989011,5443,4432745400.000,4.53,5.01,4.51,5.01,10.989,96307004,600327
002530.SZ,金财互联,9.47,20241120,169165466.13,62714285.93,106451180.2,日振幅值达15%的证券,单日榜,0.3707274739030094,11/68,,1.827956989,3373,6582818000.000,8.99,10.16,8.6,9.47,16.774,221177290,002530
600666.SH,奥瑞德,2.84,20241120,82240968.8,29157398.88,53083569.92,日涨幅偏离值达7%的证券,单日榜,0.3545361795397527,12/68,算力+蓝宝石+摘帽+低价股,10.07751938,7631,6872098300.000,2.65,2.84,2.57,2.84,10.465,240160972,600666
