股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600640.SH,国脉文化,16.93,20240227,57223659.47,40615868.47,16607791.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.7097740488144283,1/81,央企+Sora概念+图书出版+数据要素,10.007,7521,13471132000.000,16.93,16.93,16.93,16.93,0.000,4280387.00,600640
002685.SZ,华东重机,3.33,20240227,32916037.0,21083172.0,11832865.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6405136803072617,2/81,数控机床+机器人+光伏,9.901,2846,3355602100.000,3.33,3.33,3.33,3.33,0.000,5199887.00,002685
600280.SH,中央商场,3.39,20240227,20331166.0,11534153.0,8797013.0,日涨幅偏离值达7%的证券,单日榜,0.5673138963107183,6/81,零售+预制菜+房地产+小盘低价股,10.065,5676,3825054900.000,3.07,3.39,3.03,3.39,11.688,28548000.00,600280
603066.SH,音飞储存,13.13,20240227,25662840.82,13945935.43,11716905.39,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5434291366188663,7/81,机器人+智能物流+跨境电商+国企改革,9.967,2118,3948229100.000,13.13,13.13,13.13,13.13,0.000,3095403.00,603066
002553.SZ,南方精工,11.80,20240227,84639390.35,44074259.35,40565131.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5207298772798876,8/81,机器人+减速器+物联网,9.972,3161,2805450000.000,11.39,11.80,11.25,11.80,5.126,9752394.00,002553
603111.SH,康尼机电,6.66,20240227,57650120.0,26495298.0,31154822.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4595879071890917,13/81,机器人+轨道交通+充电桩+回购,10.083,2327,5567648400.000,6.66,6.66,6.66,6.66,0.000,13183191.00,603111
600579.SH,克劳斯,9.27,20240227,70469051.39,30482140.74,39986910.65,日振幅值达15%的证券,单日榜,0.43256067931582237,14/81,机器人+国企改革+专用设备,9.964,5232,4602473000.000,7.60,9.27,7.59,9.27,19.929,84386193.00,600579
000063.SZ,中兴通讯,28.16,20240227,1217910928.45,526427760.87,691483167.58,日涨幅偏离值达7%的证券,单日榜,0.4322383095288991,15/81,通信设备龙头+算力,10.000,6368,113400905000.000,25.50,28.16,25.38,28.16,10.859,289459670.00,000063
002248.SZ,华东数控,7.57,20240227,45794472.3,18995983.6,26798488.7,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4148095314988487,16/81,工业母机+新型工业化,10.029,3819,2327741700.000,7.57,7.57,7.29,7.57,4.070,24694691.00,002248
000628.SZ,高新发展,69.63,20240227,506493715.3,186612398.18,319881317.12,日涨幅偏离值达7%的证券,单日榜,0.3684397111807559,17/81,拟收购华鲲振宇70%股权+华为算力+国企,10.000,6611,13374115400.000,61.50,69.63,61.00,69.63,13.634,60737147.00,000628
600678.SH,四川金顶,5.78,20240227,23687948.0,8673368.0,15014580.0,日涨幅偏离值达7%的证券,单日榜,0.3661510908416381,18/81,国企改革+工业互联网+氢能源+非金属矿开采,10.095,7390,2017162200.000,5.34,5.78,5.22,5.78,10.667,26512047.00,600678
603933.SH,睿能科技,16.72,20240227,73211369.96,22262894.96,50948475.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.304090675699193,19/81,机器人+工业母机+存储芯片,10.000,1614,3470145300.000,16.39,16.72,15.65,16.72,7.040,16069036.00,603933
603111.SH,康尼机电,6.66,20240227,31813488.0,9262728.0,22550760.0,日涨幅偏离值达7%的证券,单日榜,0.29115726009043713,20/81,机器人+轨道交通+充电桩+回购,10.083,2327,5567648400.000,6.66,6.66,6.66,6.66,0.000,13183191.00,603111
000659.SZ,珠海中富,2.26,20240227,20232564.9,4608109.9,15624455.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2277570798747321,24/81,股权激励+饮料塑料包装+物流,10.244,6600,2905687700.000,2.15,2.26,2.07,2.26,9.268,29791355.00,000659
605333.SH,沪光股份,23.00,20240227,119327345.28,26756408.08,92570937.2,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.22422696170116288,25/81,华为汽车+理想汽车+汽车线束,9.995,854,10045849900.000,20.88,23.00,20.73,23.00,10.856,9951944.00,605333
600818.SH,中路股份,11.91,20240227,48193875.06,10203890.92,37989984.14,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.21172588648031407,27/81,,3.296,7310,2834078700.000,11.60,12.00,11.35,11.91,5.638,9454200.00,600818
600571.SH,信雅达,14.70,20240227,140730961.41,27777162.69,112953798.72,日换手率达20%的证券,单日榜,0.1973777654305588,28/81,,-4.235,5178,6550915400.000,14.01,14.98,13.82,14.70,7.557,142863200.00,600571
002889.SZ,东方嘉盛,23.50,20240227,41384759.2,8050980.4,33333778.8,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.19453974254367534,29/81,光刻机+供应链服务+机器人+华为,10.019,1597,2946410100.000,22.50,23.50,22.11,23.50,6.508,3183180.00,002889
603895.SH,天永智能,22.02,20240227,38108233.0,6849450.0,31258783.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.17973675137338432,30/81,机器人+自动化装备+新能源汽车+小盘股,9.990,1478,2379921600.000,20.02,22.02,20.02,22.02,9.990,5129315.00,603895
