股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600678.SH,四川金顶,13.2,20260129,228782802.2,189243332.2,39539470.0,日换手率达20%的证券,单日榜,7859,9.999999999999995,太空采矿+建材+国企改革,0.8271746406644895,1/84,4606668000.000,11.88,13.2,11.57,13.2,13.583,91677259,600678
002155.SZ,湖南黄金,33.64,20260129,201554300.68,126251876.68,75302424.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4487,10.006540222367569,重组复牌+黄金预增+湖南国资,0.626391380655505,4/84,52562845000.000,33.64,33.64,33.64,33.64,0.000,4389873,002155
002455.SZ,百川股份,8.72,20260129,341546578.68,167861198.68,173685380.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3764,9.962168978562433,磷酸铁锂+锂电闭环+精细化工,0.4914738110647907,6/84,4527682900.000,8.71,8.72,8.34,8.72,4.792,149678880,002455
603958.SH,哈森股份,17.38,20260129,128323052.6,55739320.6,72583732.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2331,9.99999999999999,机器人+消费电子+钛合金粉+重组进展,0.4343671652960662,7/84,3812476800.000,15.65,17.38,15.51,17.38,11.835,32007189,603958
000568.SZ,泸州老窖,124.23,20260129,1052766311.1,410703244.03,642063067.07,日涨幅偏离值达7%的证券,单日榜,7707,9.996458296440593,白酒+分红+悦己消费+国企,0.39011814844347553,10/84,182526890000.000,113.58,124.23,113.1,124.23,9.855,38936289,000568
601388.SH,怡球资源,4.37,20260129,221772688.85,86067456.04,135705232.81,日涨幅偏离值达7%的证券,单日榜,3349,10.07556675062972,年报预增+再生铝+汽车拆解,0.38808861671065953,11/84,9619342800.000,4.37,4.37,4.16,4.37,5.290,231283613,601388
600556.SH,天下秀,8.25,20260129,349383527.68,126180497.37,223203030.31,日振幅值达15%的证券,单日榜,5941,6.314432989690725,,0.36115182134622154,12/84,14913918000.000,7.51,8.45,7.25,8.25,15.464,339634107,600556
601388.SH,怡球资源,4.37,20260129,278937591.3,98009352.35,180928238.95,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3349,10.07556675062972,年报预增+再生铝+汽车拆解,0.35136659742856247,13/84,9619342800.000,4.37,4.37,4.16,4.37,5.290,231283613,601388
000878.SZ,云南铜业,29.47,20260129,978402067.06,321386800.73,657015266.33,日涨幅偏离值达7%的证券,单日榜,6710,10.003732736095559,收购凉山矿业+黄金+有色金属+央企,0.32848131821280296,14/84,59045891000.000,27.58,29.47,26.01,29.47,12.915,272309950,000878
600986.SH,浙文互联,13.78,20260129,645103699.61,198604189.11,446499510.5,日换手率达20%的证券,单日榜,5290,9.976057462090981,AI营销+GEO概念+浙江国资,0.30786397478431293,15/84,20496015000.000,12.55,13.78,12.23,13.78,12.370,425789404,600986
