股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600619.SH,海立股份,5.93,20240918,53590815.41,43337845.41,10252970.0,日涨幅偏离值达7%的证券,单日榜,0.8086804628450045,1/50,光刻机+汽车热管理+上海国资,10.019,7758,4679806600.000,5.93,5.93,5.93,5.93,0.000,10847737,600619
002693.SZ,双成药业,7.63,20240918,37752202.42,29578074.42,8174128.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.7834794402440057,2/50,拟收购宁波奥拉半导体+多肽药,9.942,2944,3138845400.000,7.63,7.63,7.63,7.63,0.000,2544200,002693
600107.SH,美尔雅,3.93,20240918,16066378.83,9592430.63,6473948.2,日涨幅偏离值达7%的证券,单日榜,0.5970499470663858,3/50,曾有期货业务+服装服饰+天然气+低价微盘股,10.084,6514,1414800000.000,3.53,3.93,3.48,3.93,12.605,15560221,600107
605086.SH,龙高股份,16.12,20240918,21562062.0,11176991.6,10385070.4,日涨幅偏离值达7%的证券,单日榜,0.5183637631688472,4/50,国企改革+高岭土+创投,10.034,832,2888704000.000,14.62,16.12,14.6,16.12,10.375,4624222,605086
002031.SZ,巨轮智能,2.59,20240918,82849453.0,39503257.0,43346196.0,日涨幅偏离值达7%的证券,单日榜,0.4768076984165484,5/50,机器人+减速器+轮胎模具,10.213,4884,5134022400.000,2.35,2.59,2.33,2.59,11.064,293439290,002031
000158.SZ,常山北明,9.13,20240918,328110527.71,144885355.5,183225172.21,日换手率达20%的证券;日涨幅偏离值达7%的证券,单日榜,0.4415748452547573,9/50,信创+华为+国产软件+国企,10.000,5860,14496786000.000,8.16,9.13,8.16,9.13,11.687,352529170,000158
001236.SZ,弘业期货,9.87,20240918,93568788.0,37758819.33,55809968.67,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.40354075474398576,10/50,期货+江苏国资,10.033,515,3221919900.000,8.93,9.87,8.38,9.87,16.611,64927983,001236
600198.SH,大唐电信,6.39,20240918,45335946.0,16668218.0,28667728.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3676600902956784,12/50,央企+安全芯片+出售资产,9.983,6280,5626105800.000,6.21,6.39,6.11,6.39,4.819,23717917,600198
000736.SZ,中交地产,8.98,20240918,119474480.1,29745531.55,89728948.55,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.24896975090498846,13/50,中字头+房地产+参股券商,10.049,6646,6244994500.000,8.07,8.98,7.9,8.98,13.235,72983724,000736
600658.SH,电子城,3.62,20240918,30124987.6,3540631.1,26584356.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.11753137119963494,15/50,北京国资+房地产+科技产业园,10.030,7626,4049277900.000,3.48,3.62,3.26,3.62,10.942,58370352,600658
001236.SZ,弘业期货,9.87,20240918,63820532.85,7364475.2,56456057.65,日涨幅偏离值达7%的证券;日振幅值达15%的证券,单日榜,0.11539350850155115,16/50,期货+江苏国资,10.033,515,3221919900.000,8.93,9.87,8.38,9.87,16.611,64927983,001236
600148.SH,长春一东,14.47,20240918,22376125.0,2222068.0,20154057.0,日振幅值达15%的证券,单日榜,0.09930530867163104,17/50,,4.401,6388,2047743000.000,13.2,14.88,12.8,14.47,15.007,18092299,600148
000560.SZ,我爱我家,2.7,20240918,124698760.88,5580459.28,119118301.6,日涨幅偏离值达7%的证券,单日榜,0.044751521511670694,19/50,住房经纪服务+半年报扭亏,10.204,7438,6089235500.000,2.45,2.7,2.43,2.7,11.020,450272640,000560
002786.SZ,银宝山新,8.31,20240918,52079500.0,108798.0,51970702.0,日振幅值达15%的证券,单日榜,0.0020890753559461976,20/50,,-0.120,2125,4106070700.000,7.98,8.73,7.49,8.31,14.904,78296082,002786
