股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
002632.SZ,道明光学,10.32,-5.060,20240103,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,1,42861526,2.773222,27379801.0,1.771525,15481725.0,买入金额最大的前5名,日振幅值达15%的证券,单日榜,2946,002632
002632.SZ,道明光学,10.32,-5.060,20240103,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,3,42861526,2.773222,27379801.0,1.771525,15481725.0,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,2946,002632
002962.SZ,五方光电,20.29,-9.982,20240103,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,3,0,0.0,17824695.89,1.039575,-17824695.89,卖出金额最大的前5名,日跌幅偏离值达7%的证券,单日榜,1043,002962
001339.SZ,智微智能,35.84,10.006,20240103,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,3,22187089,1.520246,339798.0,0.023283,21847291.0,买入金额最大的前5名,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,338,001339
000698.SZ,沈阳化工,5.10,9.914,20240103,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,45903318,2.272999,54050.0,0.002676,45849268.0,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6521,000698
600506.SH,统一股份,14.90,-8.980,20240103,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,3,0,0.0,10272155.0,1.563912,-10272155.0,卖出金额最大的前5名,日跌幅偏离值达7%的证券,单日榜,5343,600506
600892.SH,大晟文化,7.36,10.015,20240103,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,113522481,6.5106,0.0,0.0,113522481.0,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6750,600892
001314.SZ,亿道信息,61.63,-10.003,20240103,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,3,251895,0.030025,24723161.0,2.946897,-24471266.0,卖出金额最大的前5名,日跌幅偏离值达7%的证券,单日榜,219,001314
002976.SZ,瑞玛精密,35.52,-10.008,20240103,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,106740,0.019257,50686567.0,9.144513,-50579827.0,卖出金额最大的前5名,日振幅值达15%的证券;日跌幅偏离值达7%的证券,单日榜,932,002976
