股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603506.SH,南都物业,10.08,20240509,29035495.28,19342959.28,9692536.0,日涨幅偏离值达7%的证券,单日榜,0.6661832041598982,3/62,物业管理+年报增长,10.044,1517,1892800000.000,9.38,10.08,9.25,10.08,9.061,16732066.00,603506
000504.SZ,南华生物,9.70,20240509,23911848.0,15843110.0,8068738.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6625631778857075,4/62,细胞免疫治疗+阿尔兹海默+湖南国资,9.977,7638,3013471800.000,9.70,9.70,9.70,9.70,0.000,2012401.00,000504
000913.SZ,钱江摩托,21.90,20240509,110977517.79,66124021.59,44853496.2,日涨幅偏离值达7%的证券,单日榜,0.5958325875978308,6/62,一季报增长+摩托车+锂电池+外销,9.995,6057,10015440500.000,19.78,21.90,19.62,21.90,11.452,20888783.00,000913
000518.SZ,四环生物,2.86,20240509,71995204.0,36416171.68,35579032.32,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5058138550451222,8/62,干细胞+生物医药+肝炎+新型城镇化,10.000,7450,2944472100.000,2.62,2.86,2.58,2.86,10.769,106645281.00,000518
002455.SZ,百川股份,12.89,20240509,216832257.03,87636388.27,129195868.76,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,0.4041667483905542,10/62,一季报扭亏为盈+产品(TMA)涨价+石墨电极+锂电池,9.983,3342,6529137900.000,11.78,12.89,11.72,12.89,9.983,114515031.00,002455
603261.SH,立航科技,39.11,20240509,42372404.0,17059490.0,25312914.0,日换手率达20%的证券,单日榜,0.4026084996263134,11/62,,2.035,521,1028486460.000,38.11,39.76,36.64,39.11,8.140,9340080.00,603261
002125.SZ,湘潭电化,14.63,20240509,179350860.48,69841155.12,109509705.36,日涨幅偏离值达7%的证券,单日榜,0.38941076130375313,12/62,锰系电池材料+锰矿+锂电池+国企,10.000,4157,9209317500.000,13.15,14.63,13.00,14.63,12.256,101029967.00,002125
001376.SZ,百通能源,21.65,20240509,42748753.88,16489882.33,26258871.55,日换手率达20%的证券,单日榜,0.38573948555994725,13/62,,-1.367,123,997848500.000,21.50,21.98,21.02,21.65,4.374,14425030.00,001376
002305.SZ,南国置业,2.08,20240509,103339227.0,32957040.74,70382186.26,日振幅值达15%的证券;日换手率达20%的证券,单日榜,0.31892091412683005,14/62,,-3.704,3523,3606934800.000,1.94,2.32,1.94,2.08,17.593,497654620.00,002305
002526.SZ,山东矿机,3.19,20240509,185816801.03,56451883.09,129364917.94,日涨幅偏离值达7%的证券,单日榜,0.30380397669684284,15/62,低空无人机+煤炭机械设备+机器人,10.000,3252,5617293000.000,2.91,3.19,2.91,3.19,9.655,280979540.00,002526
600421.SH,华嵘控股,7.11,20240509,7990622.0,1518242.0,6472380.0,日涨幅偏离值达7%的证券,单日榜,0.19000298099447077,20/62,房屋建筑PC构件+传感器+航天+国产软件,10.062,4843,1390716000.000,6.98,7.11,6.98,7.11,2.012,2381301.00,600421
603823.SH,百合花,11.73,20240509,54347436.0,9824719.56,44522716.44,日涨幅偏离值达7%的证券,单日榜,0.18077613744280413,21/62,颜料+锂电池+钠+一季报增长,10.038,1792,4821399500.000,11.73,11.73,11.73,11.73,0.000,7824996.00,603823
002591.SZ,恒大高新,5.06,20240509,66907082.95,11205870.67,55701212.28,日换手率达20%的证券,单日榜,0.1674840715798984,22/62,,-1.365,3130,1130401280.000,5.12,5.64,4.91,5.06,14.230,79202918.00,002591
001301.SZ,尚太科技,42.88,20240509,85097307.49,13269033.11,71828274.38,日涨幅偏离值达7%的证券,单日榜,0.15592776671058925,23/62,石墨负极材料+锂电池+宁德时代,10.005,327,6861383200.000,40.15,42.88,40.15,42.88,7.004,10405437.00,001301
601033.SH,永兴股份,16.12,20240509,36328017.82,5230561.5,31097456.32,日换手率达20%的证券,单日榜,0.14398147253496366,24/62,,4.337,70,2345420300.000,15.45,16.12,15.12,16.12,6.473,32902935.00,601033
600682.SH,南京新百,7.08,20240509,122932974.16,8677797.56,114255176.6,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.07058966578572852,25/62,细胞免疫治疗+基因检测+现代商业,9.938,7431,8248626700.000,6.67,7.08,6.52,7.08,8.696,81248446.00,600682
600789.SH,鲁抗医药,9.11,20240509,152630405.47,9613537.12,143016868.35,日换手率达20%的证券,单日榜,0.06298572745316837,26/62,,5.318,6597,8163066700.000,8.56,9.30,8.28,9.11,11.792,288851540.00,600789
603172.SH,万丰股份,14.55,20240509,14660793.68,685037.48,13975756.2,日换手率达20%的证券,单日榜,0.046725811368215096,27/62,,-3.770,242,485679000.000,14.85,14.90,14.41,14.55,3.241,8901663.00,603172
