股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
002162.SZ,悦心健康,4.79,20250310,159386503.3,125441804.3,33944699.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4262,10.114942529,智慧养老+机器人,0.7870290250604927,2/80,4410138600.000,4.78,4.79,4.66,4.79,2.989,45130264,002162
600712.SH,南宁百货,6.24,20250310,66576644.38,49753449.38,16823195.0,日涨幅偏离值达7%的证券,单日榜,6960,10.052910053,零售+南宁国企,0.7473108601872734,3/80,3361165800.000,5.7,6.24,5.68,6.24,9.877,34947990,600712
600172.SH,黄河旋风,4.59,20250310,96653185.64,69001535.64,27651650.0,日涨幅偏离值达7%的证券,单日榜,6365,10.071942446,培育钻石+超高压合成装备+国企,0.713908550277971,5/80,5858013900.000,4.18,4.59,4.17,4.59,10.072,123337237,600172
002196.SZ,方正电机,8.81,20250310,178918272.16,88651672.96,90266599.2,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4188,9.987515605,机器人+电机+新能源汽车+国企,0.4954869722904661,7/80,4302895700.000,8.81,8.81,8.81,8.81,0.000,7652703,002196
002167.SZ,东方锆业,10.45,20250310,227183101.54,106153218.54,121029883.0,日涨幅偏离值达7%的证券,单日榜,4247,10,固态电池+锆产品,0.467258426442909,9/80,7928644500.000,9.5,10.45,9.38,10.45,11.263,131677266,002167
605068.SH,明新旭腾,15.99,20250310,61677280.22,28133651.22,33543629.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1040,9.972489684,汽车内饰+华为汽车+小鹏汽车,0.45614286362252954,10/80,2592620800.000,14.84,15.99,14.56,15.99,9.835,11245995,605068
001333.SZ,光华股份,25,20250310,61896351.42,22551672.42,39344679.0,日换手率达20%的证券,单日榜,543,-1.53603781,,0.3643457474088382,11/80,1100000000.000,25.39,26.46,23.5,25,11.658,15556144,001333
000581.SZ,威孚高科,25.81,20250310,267539173.45,89588991.05,177950182.4,日涨幅偏离值达7%的证券,单日榜,6408,10.017050298,人形机器人+小米汽车+汽车核心零部件,0.3348630777867868,13/80,21262281000.000,24.91,25.81,24.9,25.81,3.879,56742119,000581
002114.SZ,罗平锌电,7.83,20250310,85219150.0,28372998.47,56846151.53,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4387,9.971910112,锗+可用于固态电池+国企,0.33294158026687665,14/80,2532150100.000,7.82,7.83,7.56,7.83,3.792,76907236,002114
600829.SH,人民同泰,8.42,20250310,35483891.0,11675825.5,23808065.5,日涨幅偏离值达7%的证券,单日榜,7545,10.065359477,医药商业+冷链物流+振兴东北,0.3290458056023225,16/80,4882662000.000,7.65,8.42,7.65,8.42,10.065,27560836,600829
600107.SH,美尔雅,4.79,20250310,38372688.0,11285717.0,27086971.0,日涨幅偏离值达7%的证券,单日榜,6625,10.114942529,医药商业+服装服饰+天然气,0.2941080645692582,17/80,1724400000.000,4.41,4.79,4.35,4.79,10.115,17369807,600107
603990.SH,麦迪科技,16.31,20250310,114772319.35,31159168.11,83613151.24,日换手率达20%的证券,单日榜,2002,2.385436284,,0.2714867860688571,18/80,4995471300.000,17.52,17.52,16.26,16.31,7.910,80964193,603990
601020.SH,华钰矿业,23.76,20250310,947087710.57,237316541.9,709771168.67,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2182,5.365853659,,0.25057504099295325,19/80,19482361000.000,22.99,24.26,22.58,23.76,7.450,187356081,601020
603270.SH,金帝股份,28.02,20250310,151487396.75,30662432.18,120824964.57,日换手率达20%的证券,单日榜,364,-0.884329678,,0.20240912998592406,25/80,1981481000.000,28.29,29.52,27.46,28.02,7.287,23377702,603270
002277.SZ,友阿股份,6.33,20250310,168072004.0,24717233.92,143354770.08,日涨幅偏离值达7%的证券,单日榜,3799,10.086956522,百货零售+机器人+拟收购尚阳通100%股权,0.14706336172441903,29/80,8825113800.000,5.99,6.33,5.89,6.33,7.652,292119530,002277
605066.SH,天正电气,8.36,20250310,284481229.94,22182297.59,262298932.35,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,1110,-7.82800441,,0.07797455598275665,30/80,4200340900.000,8.76,8.87,8.31,8.36,6.174,104168972,605066
600589.SH,大位科技,7.78,20250310,315933854.0,16419573.02,299514280.98,日振幅值达15%的证券,单日榜,5761,10.042432815,数据中心+算力+完成重整,0.05197155294411722,31/80,11502495700.000,7.09,7.78,6.7,7.78,15.276,300082714,600589
002484.SZ,江海股份,22.36,20250310,225499835.34,11200129.3,214299706.04,日涨幅偏离值达7%的证券,单日榜,3506,9.985243483,超级电容+算力硬件+浙江国资入主,0.049668015424990775,33/80,18345844000.000,20.4,22.36,20.35,22.36,9.887,57068330,002484
600592.SH,龙溪股份,19.28,20250310,248860627.28,11212671.52,237647955.76,日振幅值达15%的证券;日换手率达20%的证券,单日榜,5485,-4.07960199,,0.04505602851906466,34/80,7703392800.000,20.7,22.1,18.87,19.28,16.070,106242090,600592
