股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
605068.SH,明新旭腾,14.69,20240709,18706914.0,11453380.0,7253534.0,日涨幅偏离值达7%的证券,单日榜,0.6122538436858158,4/57,汽车内饰+华为汽车,10.038,880,2381837400.000,13.25,14.69,13.17,14.69,11.386,3527713.00,605068
002456.SZ,欧菲光,8.24,20240709,387455114.19,234383273.31,153071840.88,日涨幅偏离值达7%的证券,单日榜,0.6049301318424805,5/57,消费电子+智能汽车+华为+机器人,10.013,3384,26777849000.000,7.47,8.24,7.46,8.24,10.414,236156450.00,002456
603256.SH,宏和科技,7.87,20240709,88858038.94,49412338.52,39445700.42,日振幅值达15%的证券;日涨幅偏离值达7%的证券,单日榜,0.556081803171066,6/57,消费电子+苹果+覆铜板上游+玻璃纤维布+供应斗山电子,10.070,1206,6923455400.000,7.10,7.87,6.65,7.87,17.063,52915801.00,603256
600727.SH,鲁北化工,7.24,20240709,45718878.0,21609653.0,24109225.0,日涨幅偏离值达7%的证券,单日榜,0.47266367735446174,8/57,半年报预增+钛白粉+烷氯化物,10.030,6796,3826507500.000,7.24,7.24,7.07,7.24,2.584,31361730.00,600727
002981.SZ,朝阳科技,19.95,20240709,37175198.0,17504836.68,19670361.32,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.47087406716703967,9/57,消费电子+苹果+虚拟现实+无人机,9.978,1025,2300733800.000,19.11,19.95,18.88,19.95,5.899,5214200.00,002981
002920.SZ,德赛西威,92.10,20240709,262307485.14,111972408.75,150335076.39,日涨幅偏离值达7%的证券,单日榜,0.4268746226980048,10/57,智能驾驶+智能座舱+理想汽车+华为汽车,9.996,1585,50794316000.000,84.70,92.10,84.00,92.10,9.674,11528069.00,002920
603155.SH,新亚强,15.17,20240709,51259486.12,17024768.42,34234717.7,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.33212912786804977,12/57,有机硅+功能性助剂产品+基础化工+半导体上游,10.007,933,4790485800.000,15.17,15.17,14.82,15.17,2.538,10118101.00,603155
605277.SH,新亚电子,13.37,20240709,76273342.13,23699818.95,52573523.18,日涨幅偏离值达7%的证券,单日榜,0.3107221774759275,13/57,消费电子+高频高速数据线材+新能源,10.041,849,4197944300.000,12.15,13.37,12.10,13.37,10.453,26001133.00,605277
600185.SH,格力地产,5.46,20240709,89518941.31,26112000.98,63406940.33,日涨幅偏离值达7%的证券,单日榜,0.29169246863158643,15/57,重大资产重组+退出房地产业务+免税店+珠海国资,10.081,6079,10292131600.000,5.46,5.46,5.18,5.46,5.645,117995225.00,600185
600185.SH,格力地产,5.46,20240709,89518941.31,24117088.98,65401852.33,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2694076653172609,17/57,重大资产重组+退出房地产业务+免税店+珠海国资,10.081,6079,10292131600.000,5.46,5.46,5.18,5.46,5.645,117995225.00,600185
603171.SH,税友股份,31.26,20240709,68280321.0,18187523.77,50092797.23,日振幅值达15%的证券,单日榜,0.26636552821712717,18/57,,2.057,734,12688121400.000,30.00,32.41,27.57,31.26,15.802,25678465.00,603171
002384.SZ,东山精密,23.87,20240709,485643359.46,114187761.1,371455598.36,日涨幅偏离值达7%的证券,单日榜,0.23512678362773962,19/57,PCB+苹果+电子电路产品+外销,10.000,3462,33185872000.000,21.91,23.87,21.47,23.87,11.060,109539865.00,002384
001696.SZ,宗申动力,10.44,20240709,269931824.58,63296545.1,206635279.48,日涨幅偏离值达7%的证券,单日榜,0.23449085782488288,20/57,低空经济+小型热动力机械+氢能源+拟收购股权,10.011,6633,9305586700.000,9.48,10.44,9.40,10.44,10.959,154858750.00,001696
001298.SZ,好上好,20.62,20240709,45861406.65,9284008.17,36577398.48,日换手率达20%的证券,单日榜,0.20243618432493066,23/57,,6.674,411,2169145300.000,19.00,20.68,18.76,20.62,9.933,22874508.00,001298
001389.SZ,广合科技,46.46,20240709,64231305.0,6996555.6,57234749.4,日换手率达20%的证券,单日榜,0.10892750194005867,26/57,,5.137,65,1715590000.000,44.15,46.46,43.51,46.46,6.676,7609507.00,001389
002823.SZ,凯中精密,15.95,20240709,146561664.69,514973.75,146046690.94,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.0035137001963593075,28/57,预计半年报大增+收到项目定点+核心精密零组件+新能源汽车,10.000,1852,3195715700.000,15.20,15.95,14.87,15.95,7.448,53691606.00,002823
