股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
002632.SZ,道明光学,9.88,10.022,20231229,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,2,27460790.0,3.329767,23778415.0,2.88326,3682375.0,买入金额最大的前5名,日振幅值达15%的证券,单日榜,2944,002632
002962.SZ,五方光电,23.47,9.981,20231229,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,1,90467199.24,2.162884,557764.0,0.013335,89909435.24,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1041,002962
002632.SZ,道明光学,9.88,10.022,20231229,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,1,27460790.0,3.329767,23778415.0,2.88326,3682375.0,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,2944,002632
002855.SZ,捷荣技术,37.61,-3.712,20231229,中信建投证券股份有限公司上海浦东南路证券营业部,游资营业部,3,14323282.0,0.247812,67579621.35,1.169219,-53256339.35,卖出金额最大的前5名,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,1651,002855
002976.SZ,瑞玛精密,35.88,9.994,20231229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,46636710.0,5.22008,61150.0,0.006845,46575560.0,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,930,002976
001314.SZ,亿道信息,71.93,4.443,20231229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,38728644.92,3.279992,24138248.15,2.044308,14590396.77,卖出金额最大的前5名,日换手率达20%的证券,单日榜,217,001314
001339.SZ,智微智能,34.38,10.016,20231229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,53965381.0,2.719819,290340.0,0.014633,53675041.0,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,336,001339
002962.SZ,五方光电,23.47,9.981,20231229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,42252452.12,1.010169,256018.0,0.006121,41996434.12,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1041,002962
002306.SZ,中科云网,5.83,10.000,20231229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,69628966.5,3.614932,289118.0,0.01501,69339848.5,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3438,002306
001300.SZ,三柏硕,20.28,-1.266,20231229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,1130723.0,0.064019,49096087.0,2.779695,-47965364.0,卖出金额最大的前5名,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,295,001300
001314.SZ,亿道信息,71.93,4.443,20231229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,38728644.92,3.279992,24138248.15,2.044308,14590396.77,买入金额最大的前5名,日换手率达20%的证券,单日榜,217,001314
