股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603211.SH,晋拓股份,17.89,20250121,81072496.6,52288597.6,28783899.0,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,607,10.024600246,机器人+无人驾驶+汽车零部件+特斯拉,0.6449609891500493,3/80,1215661280.000,16.3,17.89,15.94,17.89,11.993,20123807,603211
603155.SH,新亚强,14.4,20250121,43746850.04,26905998.74,16840851.3,日涨幅偏离值达7%的证券,单日榜,1065,10.007639419,芯片概念+有机硅+功能性助剂产品,0.6150385391267819,4/80,4547329900.000,13.1,14.4,12.98,14.4,10.848,8350288,603155
002514.SZ,宝馨科技,8.43,20250121,166964546.86,102663975.86,64300571.0,日涨幅偏离值达7%的证券,单日榜,3436,10.052219321,钙钛矿电池+液冷超充+华为+设立半导体合资公司,0.6148848829930577,5/80,4670508800.000,7.86,8.43,7.85,8.43,7.572,137111350,002514
002692.SZ,远程股份,6.08,20250121,102368215.0,61202416.0,41165799.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3027,9.945750452,拟投资半导体公司+数据中心（电缆）+核电+国企改革,0.5978654214103469,6/80,4364619000.000,6.08,6.08,6.08,6.08,0.000,6656464,002692
600558.SH,大西洋,4.49,20250121,23303549.0,13656335.0,9647214.0,日涨幅偏离值达7%的证券,单日榜,5803,10.049019608,年报预增+核电+焊接材料+国企,0.5860195371958151,7/80,4030245700.000,4.49,4.49,4.49,4.49,0.000,12567237,600558
600936.SH,广西广电,3.39,20250121,22823359.0,12733577.0,10089782.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2050,10.064935065,筹划重大资产置换+业务战略转型,0.5579186218820814,8/80,5664779000.000,3.39,3.39,3.39,3.39,0.000,7209800,600936
600936.SH,广西广电,3.39,20250121,19002306.0,9470643.0,9531663.0,日涨幅偏离值达7%的证券,单日榜,2050,10.064935065,筹划重大资产置换+业务战略转型,0.49839440539479785,9/80,5664779000.000,3.39,3.39,3.39,3.39,0.000,7209800,600936
002117.SZ,东港股份,13.16,20250121,157693439.01,76823460.01,80869979.0,日涨幅偏离值达7%的证券,单日榜,4353,10.033444816,算力+智能机器人+金融企业客户,0.4871696659816539,11/80,6889979600.000,12.19,13.16,11.43,13.16,14.465,93693959,002117
603068.SH,博通集成,39.22,20250121,135764837.0,64331133.21,71433703.79,日涨幅偏离值达7%的证券,单日榜,1403,10.014025245,携手豆包赋能奥嘟比AI智能套件+无线连接芯片,0.4738423779789166,12/80,5899667200.000,35.88,39.22,35.75,39.22,9.734,25933590,603068
002582.SZ,好想你,9.87,20250121,206967330.0,94937783.0,112029547.0,日换手率达20%的证券;日涨幅偏离值达7%的证券,单日榜,3325,10.033444816,微信小店+红枣+间接参投蜜雪冰城,0.45870902910135625,13/80,3396460700.000,9,9.87,8.54,9.87,14.827,151181310,002582
002090.SZ,金智科技,10.65,20250121,73640794.0,29194163.4,44446630.6,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4405,10.020661157,智能电网+机器人+积极寻求并购项目,0.3964400954177653,16/80,4217586500.000,10.65,10.65,10.65,10.65,0.000,9141999,002090
003021.SZ,兆威机电,104.96,20250121,301040197.35,98289503.34,202750694.01,日涨幅偏离值达7%的证券,单日榜,1003,9.997904003,人形机器人+灵巧手+减速器+MR,0.32649959774549686,17/80,21642456000.000,95.51,104.96,94.15,104.96,11.329,18209715,003021
001306.SZ,夏厦精密,66.1,20250121,52795663.5,17209592.72,35586070.78,日换手率达20%的证券,单日榜,288,7.654723127,,0.3259660278727248,18/80,1024550000.000,62,66.79,61.48,66.1,8.648,4959081,001306
002265.SZ,建设工业,32.95,20250121,456215327.24,148499592.5,307715734.74,日换手率达20%的证券;日振幅值达15%的证券,单日榜,4001,8.032786885,,0.32550329555648444,19/80,13282047000.000,30,33.55,28.33,32.95,17.115,138027060,002265
605488.SH,福莱新材,29.05,20250121,117334585.02,35927629.28,81406955.74,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,899,9.996213555,灵巧手+机器人+柔性传感器+散热,0.30619811945366354,20/80,5559848300.000,27.29,29.05,26.8,29.05,8.520,13152586,605488
002691.SZ,冀凯股份,8.31,20250121,83589391.12,20757437.92,62831953.2,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3033,10.066225166,机器人+矿山装备+3D打印,0.24832622467845056,25/80,2791996300.000,8.31,8.31,7.69,8.31,8.212,63095433,002691
