股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
603153.SH,上海建科,17.35,-8.443,20240828,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,0,0.0,24123533,7.813656,-24123533,卖出金额最大的前5名,日跌幅偏离值达7%的证券,单日榜,358,603153
603607.SH,京华激光,13.94,10.024,20240828,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,28316010,10.611162,0,0.0,28316010,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,1665,603607
