股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600255.SH,鑫科材料,4.1,20250124,405855829.0,294500247.7,111355581.3,日换手率达20%的证券,单日榜,5864,9.919571046,铜缆高速连接+铜合金加工+国企改革,0.725627739351749,1/77,7405202500.000,3.72,4.1,3.66,4.1,11.796,571145029,600255
002364.SZ,中恒电气,14.34,20250124,230326838.0,161387796.0,68939042.0,日涨幅偏离值达7%的证券,单日榜,3621,9.969325153,数据中心+字节+电源系统+液冷超充,0.7006903641858705,2/77,8003217600.000,12.6,14.34,12.6,14.34,13.344,85143026,002364
603042.SH,华脉科技,16.64,20250124,143345955.0,89738171.0,53607784.0,日换手率达20%的证券;日振幅值达15%的证券,单日榜,1862,9.980171844,年报预增+铜缆高速连接+数据中心,0.6260251361819035,4/77,2672214900.000,14.22,16.64,14.22,16.64,15.995,62385811,603042
000681.SZ,视觉中国,21.99,20250124,622105544.0,375112825.36,246992718.64,日涨幅偏离值达7%的证券,单日榜,6790,10.005002501,AI智能体+视觉版权+剪映等合作,0.6029729665292937,6/77,14868693000.000,19.91,21.99,19.73,21.99,11.306,150884180,000681
002757.SZ,南兴股份,16.95,20250124,179617526.0,99862048.25,79755477.75,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2353,9.993510707,小鹭AIGC智能助手+云计算+板式家具设备,0.5559705139797995,8/77,4780814000.000,16.9,16.95,16.51,16.95,2.855,28799308,002757
002529.SZ,海源复材,5.91,20250124,57082619.12,29844004.37,27238614.75,日振幅值达15%的证券,单日榜,3424,-1.170568562,,0.5228212165118328,9/77,1536600000.000,5.38,6.21,5.38,5.91,13.880,49578728,002529
002965.SZ,祥鑫科技,47.04,20250124,362996822.61,186458813.61,176538009.0,日涨幅偏离值达7%的证券,单日榜,1277,10.009354537,液冷服务器+机器人+低空经济+小米汽车,0.513665139736855,10/77,7184566800.000,42.88,47.04,42.5,47.04,10.617,37315404,002965
002398.SZ,垒知集团,5.06,20250124,68955538.0,34088316.8,34867221.2,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3579,10,整合微软OpenAI解决方案+建筑材料+工程质量检测,0.4943521258582595,11/77,2931583500.000,5.06,5.06,5.06,5.06,0.000,25624175,002398
603779.SH,威龙股份,7.65,20250124,51719981.25,23911709.25,27808272.0,日涨幅偏离值达7%的证券,单日榜,2116,10.071942446,年报预计扭亏为盈+葡萄酒+农业种植,0.4623301995106582,12/77,2540433100.000,7.04,7.65,6.94,7.65,10.216,31186875,603779
605018.SH,长华集团,12.1,20250124,70344883.0,29267536.75,41077346.25,日振幅值达15%的证券,单日榜,1048,10,机器人相关+碳陶刹车系统+飞行汽车,0.41605779271819954,15/77,5687796100.000,11,12.1,10.46,12.1,14.909,42004400,605018
001282.SZ,三联锻造,27.03,20250124,185331594.97,66569090.57,118762504.4,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,409,10.012210012,减速器+汽车锻造零部件+华为汽车+比亚迪,0.3591891095567147,17/77,1509139000.000,24.56,27.03,23.81,27.03,13.105,21690952,001282
603012.SH,创力集团,5.58,20250124,42410337.56,13471470.56,28938867.0,日涨幅偏离值达7%的证券,单日榜,2399,10.059171598,煤机智能成套装备+华为+AIGC,0.3176459168932868,18/77,3607470000.000,5.07,5.58,5.04,5.58,10.651,38841180,603012
601869.SH,长飞光纤,38.35,20250124,236486608.4,66846497.75,169640110.65,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1583,10.011474469,光纤+铜缆高速连接+博创科技实控人,0.2826650447662304,21/77,15583074000.000,35.28,38.35,35.05,38.35,9.466,14240750,601869
002629.SZ,仁智股份,4.82,20250124,96785410.22,23065800.62,73719609.6,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3216,10.0456621,年报预计扭亏+油服工程+光伏+资产出售,0.23831898390025755,25/77,1664928500.000,4.49,4.82,4.38,4.82,10.046,60484999,002629
603729.SH,龙韵股份,16.91,20250124,52647310.4,11916626.6,40730683.8,日涨幅偏离值达7%的证券,单日榜,2397,10.019518543,年报预增+营销+抖音概念+MCN机构,0.22634825045117593,26/77,1578345600.000,15.6,16.91,15.21,16.91,11.061,17111458,603729
002530.SZ,金财互联,11,20250124,331629294.0,68720208.44,262909085.56,日涨幅偏离值达7%的证券,单日榜,3419,10,财税大模型+财税数字化+机器人,0.20721995819826458,27/77,7646356700.000,9.99,11,9.99,11,10.100,174755620,002530
603211.SH,晋拓股份,23.82,20250124,134436851.0,26723657.44,107713193.56,日换手率达20%的证券;日振幅值达15%的证券;日涨幅偏离值达7%的证券,单日榜,610,10.023094688,机器人+无人驾驶+汽车零部件+特斯拉,0.19878223300544284,28/77,1618616600.000,20.09,23.82,20.01,23.82,17.598,47618212,603211
600410.SH,华胜天成,8.81,20250124,600116687.92,117840067.5,482276620.42,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,5044,9.987515605,AI应用+机器人+华为昇腾+字节,0.19636192405919056,29/77,9660118200.000,7.9,8.81,7.74,8.81,13.358,298148517,600410
002896.SZ,中大力德,54.21,20250124,275795375.31,35067529.68,240727845.63,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1800,10.004058442,机器人+减速器+电机,0.12715053557581715,34/77,8194995400.000,49.24,54.21,48.62,54.21,11.343,20221874,002896
603286.SH,日盈电子,24.2,20250124,266808068.0,29975230.4,236832837.6,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1845,10,无人驾驶+高速线束产品+智能座舱,0.11234754115456508,35/77,2766155100.000,23.44,24.2,20.7,24.2,15.909,39067418,603286
000882.SZ,华联股份,3.75,20250124,415798074.24,38861990.98,376936083.26,日涨幅偏离值达7%的证券,单日榜,6455,9.970674487,零售+影视+收购北京SKP旗下资产,0.09346361464283437,38/77,10258178500.000,3.44,3.75,3.27,3.75,14.076,808690400,000882
001282.SZ,三联锻造,27.03,20250124,111470646.68,5345840.64,106124806.04,日换手率达20%的证券,单日榜,409,10.012210012,减速器+汽车锻造零部件+华为汽车+比亚迪,0.04795738429100858,39/77,1509139000.000,24.56,27.03,23.81,27.03,13.105,21690952,001282
002122.SZ,汇洲智能,4.29,20250124,219064361.16,3412354.16,215652007.0,日振幅值达15%的证券,单日榜,4338,9.718670077,,0.01557694798885013,42/77,8527385500.000,3.73,4.3,3.68,4.29,15.857,514248620,002122
