股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
603256.SH,宏和科技,8.50,3.659,20240704,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,0.0,0.0,26039178.0,4.349005,-26039178.0,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,1203,603256
002861.SZ,瀛通通讯,8.79,-7.668,20240704,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,278130.0,0.036738,33041711.75,4.364511,-32763581.75,卖出金额最大的前5名,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,1757,002861
603256.SH,宏和科技,8.50,3.659,20240704,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,32174592.56,5.373728,0.0,0.0,32174592.56,买入金额最大的前5名,日振幅值达15%的证券,单日榜,1203,603256
