股票代码,股票简称,最新价
002518.SZ,科士达,26.22
002855.SZ,捷荣技术,35.38
000656.SZ,金科股份,2.15
600321.SH,正源股份,1.86
002888.SZ,惠威科技,25.82
002292.SZ,奥飞娱乐,10.13
002952.SZ,亚世光电,21.88
600421.SH,华嵘控股,12.62
001300.SZ,三柏硕,21.22
603628.SH,清源股份,11.85
603608.SH,天创时尚,6.03
600421.SH,华嵘控股,12.62
603779.SH,威龙股份,12.96
600630.SH,龙头股份,14.39
603661.SH,恒林股份,41.18
