股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
002843.SZ,泰嘉股份,19.00,10.017,20240528,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,38017480.0,6.949468,0.0,0.0,38017480.0,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,1783,002843
002455.SZ,百川股份,11.99,-8.682,20240528,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,56456436.58,2.402758,62579279.35,2.663343,-6122842.77,卖出金额最大的前5名,日振幅值达15%的证券;日换手率达20%的证券,单日榜,3355,002455
002455.SZ,百川股份,11.99,-8.682,20240528,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,56456436.58,2.402758,62579279.35,2.663343,-6122842.77,买入金额最大的前5名,日振幅值达15%的证券;日换手率达20%的证券,单日榜,3355,002455
