股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600310.SH,广西能源,6.35,20260603,194872363.97,155458563.97,39413800.0,日涨幅偏离值达7%的证券,单日榜,6129,10.05199306759099,抽水蓄能+绿电+广西国资,0.7977455643424758,1/84,9307263100.000,5.98,6.35,5.98,6.35,6.413,110162247,600310
600198.SH,大唐电信,8.86,20260603,104945190.12,83271419.12,21673771.0,日涨幅偏离值达7%的证券,单日榜,6690,10.062111801242219,安全芯片+商业航天+央企,0.793475327690416,2/84,11535275300.000,8.17,8.86,8.14,8.86,8.944,31977643,600198
601798.SH,蓝科高新,8.54,20260603,25449476.0,18240543.0,7208933.0,日涨幅偏离值达7%的证券,单日榜,3630,10.05154639175257,并购重组+光热储能+业绩增长+央企,0.7167355037093888,3/84,3027670800.000,8.37,8.54,8.25,8.54,3.737,5891500,601798
002046.SZ,国机精工,56.98,20260603,535920119.57,377776775.79,158143343.78,日涨幅偏离值达7%的证券,单日榜,5109,10.0,金刚石散热+商业航天+机器人轴承+央企,0.7049124710845198,4/84,30209541000.000,52.21,56.98,51.22,56.98,11.120,28913411,002046
002156.SZ,通富微电,70.22,20260603,2509824656.64,1622415424.28,887409232.36,日涨幅偏离值达7%的证券,单日榜,4566,9.99373433583959,CPO封装+AMD产业链+存储芯片封测,0.6464258050807385,5/84,106555495000.000,67.69,70.22,66.18,70.22,6.328,176502470,002156
002137.SZ,实益达,10.4,20260603,174777665.95,112762746.97,62014918.98,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4612,10.052910052910066,先进封装+间接投资宇树科技+智能硬件,0.6451782403494215,6/84,4123164000.000,10.16,10.4,10.16,10.4,2.540,30270324,002137
002167.SZ,东方锆业,14.73,20260603,299815175.07,188241016.64,111574158.43,日涨幅偏离值达7%的证券,单日榜,4546,10.007468259895443,定增通过+固态电池+锆产品,0.627856867471935,7/84,11175841900.000,13.3,14.73,13.21,14.73,11.352,78784585,002167
001896.SZ,豫能控股,20.08,20260603,571769803.17,325343880.23,246425922.94,日涨幅偏离值达7%的证券,单日榜,6871,10.027397260273963,参股算力+火电+河南国资,0.5690120017290735,9/84,30637689000.000,18.2,20.08,18.03,20.08,11.233,164408240,001896
600255.SH,鑫科材料,4.39,20260603,232252235.0,128642366.87,103609868.13,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6188,10.02506265664159,高速铜连接+铜合金板带+一季报增长+国资,0.5538907596303648,10/84,7928985100.000,4.39,4.39,4.39,4.39,0.000,56450873,600255
600439.SH,瑞贝卡,2.62,20260603,53976391.8,25738816.8,28237575.0,日涨幅偏离值达7%的证券,单日榜,5562,10.084033613445387,跨境电商+发制品+业绩减亏,0.4768532304895564,12/84,2965801900.000,2.39,2.62,2.38,2.62,10.084,58562523,600439
002995.SZ,天地在线,25.03,20260603,168611074.52,79211373.52,89399701.0,日换手率达20%的证券,单日榜,1411,-3.7307692307692264,,0.46978749020785254,14/84,2813802700.000,24.58,25.96,24.58,25.03,5.308,38077356,002995
000700.SZ,模塑科技,16.58,20260603,438678628.54,184024738.79,254653889.75,日涨幅偏离值达7%的证券,单日榜,7096,10.019907100199058,金融资产出售+人形机器人+保险杠龙头,0.4194978437916313,16/84,15220695000.000,15.04,16.58,15.04,16.58,10.219,148088430,000700
600487.SH,亨通光电,91.43,20260603,3032952427.42,992629307.58,2040323119.84,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,5531,9.997593840230994,多芯光纤+CPO+一季报增长,0.32728152891748,20/84,223562910000.000,90.0,91.43,88.12,91.43,3.982,69916280,600487
600696.SH,退市岩石,0.63,20260603,1709494.0,493729.68,1215764.32,退市整理证券,单日榜,7897,3.278688524590167,,0.28881626960960377,23/84,210715740.000,0.67,0.67,0.6,0.63,11.475,8018102,600696
600936.SH,北投科技,6.51,20260603,287879950.49,77919201.34,209960749.15,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2377,9.966216216216214,AI应用+机器人概念+智慧交通+广西国资,0.27066560629656167,25/84,10878380800.000,6.1,6.51,6.0,6.51,8.615,197527719,600936
001896.SZ,豫能控股,20.08,20260603,1364781700.36,368995752.93,995785947.43,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6871,10.027397260273963,参股算力+火电+河南国资,0.27036979821217333,26/84,30637689000.000,18.2,20.08,18.03,20.08,11.233,164408240,001896
002421.SZ,达实智能,4.88,20260603,558443381.26,148737243.09,409706138.17,日换手率达20%的证券,单日榜,3883,-1.8108651911468785,,0.2663425659274686,28/84,9776480700.000,4.88,5.1,4.74,4.88,7.244,766882230,002421
603687.SH,大胜达,18.9,20260603,523939608.0,120353859.0,403585749.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1660,5.645612073784226,,0.22970941147094953,30/84,10395602200.000,17.85,19.3,17.51,18.9,10.006,82756314,603687
603800.SH,洪田股份,75.87,20260603,764223042.92,138841948.18,625381094.74,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2544,6.874207634878166,,0.1816772596250205,31/84,15780960000.000,70.92,75.97,68.01,75.87,11.213,19841612,603800
600421.SH,退市华嵘,0.34,20260603,2530446.42,321746.75,2208699.67,退市整理证券,单日榜,5344,-2.857142857142844,,0.12715019273160505,35/84,66504000.000,0.34,0.35,0.32,0.34,8.571,25051397,600421
603311.SH,金海高科,37.51,20260603,241494460.0,30661363.5,210833096.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2684,9.99999999999999,控制权变更+新能源车过滤+空气过滤+大飞机,0.1269650802755475,36/84,8848005400.000,35.4,37.51,33.33,37.51,12.258,21157500,603311
600162.SH,香江控股,3.35,20260603,202859156.96,20957304.16,181901852.8,日振幅值达15%的证券,单日榜,6784,4.3613707165109075,,0.10330962858202346,39/84,10949267700.000,3.18,3.43,2.95,3.35,14.953,478682911,600162
002851.SZ,麦格米特,157.98,20260603,3553284946.48,340419870.35,3212865076.13,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2245,6.779317336938156,,0.0958042699860677,40/84,72375774000.000,148.0,162.75,145.5,157.98,11.659,67813857,002851
600121.SH,郑州煤电,5.69,20260603,171416575.66,16039022.96,155377552.7,日涨幅偏离值达7%的证券,单日榜,6882,10.058027079303683,煤炭+机器人+算力中心+郑州国资,0.09356751468313634,41/84,6932764500.000,5.1,5.69,4.93,5.69,14.700,291963596,600121
601991.SH,大唐发电,9.1,20260603,638729106.95,45245948.44,593483158.51,日振幅值达15%的证券,单日榜,4724,-0.8714596949891076,,0.07083746137083724,44/84,112804411000.000,8.32,9.92,8.32,9.1,17.429,1219777441,601991
603011.SH,合锻智能,30.91,20260603,469149220.26,20714614.34,448434605.92,日振幅值达15%的证券,单日榜,2811,6.622973439116943,,0.04415357299010338,48/84,15282350000.000,27.5,31.89,27.2,30.91,16.178,108442980,603011
601101.SH,昊华能源,14.01,20260603,189560583.54,4535204.84,185025378.7,日振幅值达15%的证券,单日榜,3927,5.180180180180176,,0.023924830549189605,49/84,20174371000.000,12.93,14.65,12.45,14.01,16.517,117577412,601101
