股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603188.SH,亚邦股份,3.69,20241022,12078108.0,10048608.0,2029500.0,日涨幅偏离值达7%的证券,单日榜,0.8319687156299646,2/106,实控人拟变更为武进国资办+染料+农药,10.149253731,2458,2103927300.000,3.69,3.69,3.69,3.69,0.000,4460800,603188
603656.SH,泰禾智能,14.41,20241022,26409867.24,18653095.24,7756772.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.7062926545782969,4/106,AI视觉识别+机器人+机器视觉,10,1843,2642438900.000,14.41,14.41,14.41,14.41,0.000,924884,603656
600811.SH,东方集团,1.74,20241022,150320070.28,96248468.98,54071601.3,日涨幅偏离值达7%的证券,单日榜,0.6402902074268508,6/106,预重整+农产品加工,10.126582278,7483,6366216200.000,1.57,1.74,1.55,1.74,12.025,382835524,600811
600839.SH,四川长虹,9.81,20241022,133911786.0,81708069.52,52203716.48,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.610163391592731,8/106,华为+家电+跨境支付+国企+四川,9.977578475,7442,45272744000.000,9.81,9.81,9.81,9.81,0.000,25891096,600839
600613.SH,神奇制药,7.21,20241022,55981864.01,28674582.09,27307281.92,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5122119921708552,9/106,止咳药+抗肿瘤药+医药商业,10.076335878,7837,3455897000.000,6.73,7.21,6.61,7.21,9.160,34864020,600613
600520.SH,文一科技,38.59,20241022,105976382.18,48700522.18,57275860.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.45954127870946343,11/106,合肥国资拟入主+封测,10.005701254,5527,6113813700.000,38.59,38.59,38.59,38.59,0.000,3789202,600520
603978.SH,深圳新星,16.61,20241022,144299514.4,64127084.4,80172430.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.44440263480193665,12/106,半导体+铝晶粒细化剂+拟剥离部分六氟磷酸锂项目资产,10,1749,3217481600.000,15.02,16.61,14.6,16.61,13.311,22258112,603978
002685.SZ,华东重机,6.74,20241022,139870236.06,53189248.42,86680987.64,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3802756749276055,15/106,投资GPU公司+终止投建光伏项目+拟剥离数控机床业务,9.951060359,3003,6790929600.000,6.74,6.74,6.74,6.74,0.000,5314748,002685
600981.SH,汇鸿集团,2.5,20241022,49240524.78,17830679.67,31409845.11,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.36211392444871504,16/106,筹划资产置换+贸易+国企改革+供应链运营,10.13215859,4936,5606083000.000,2.42,2.5,2.33,2.5,7.489,75693499,600981
000006.SZ,深振业A,7.63,20241022,247643924.71,72530766.05,175113158.66,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2928832844776473,18/106,房地产开发+物业管理+深圳国企改革,9.942363112,7908,10300403800.000,6.88,7.63,6.88,7.63,10.807,68732055,000006
603206.SH,嘉环科技,19.39,20241022,112458144.33,31784802.87,80673341.46,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2826367361774162,19/106,鸿蒙概念+信息通信技术服务+北斗卫星+ICT教育培训,9.982983551,598,1690807800.000,18,19.39,17.99,19.39,7.941,18216650,603206
600292.SH,远达环保,6.56,20241022,21630966.0,6094482.0,15536484.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.28174802734191345,20/106,拟收购两家水电公司+央企改革,10.067114094,5812,5122158800.000,6.56,6.56,6.56,6.56,0.000,2560000,600292
600193.SH,创兴资源,2.94,20241022,27449231.0,7354210.4,20095020.6,日涨幅偏离值达7%的证券,单日榜,0.267920452853488,24/106,建筑装饰+稀土永磁+数字经济+低价微盘股,10.112359551,6158,1250596620.000,2.68,2.94,2.65,2.94,10.861,36086992,600193
002082.SZ,万邦德,6.09,20241022,84790260.19,19210058.2,65580201.99,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.22655972698932225,27/106,石杉碱甲+阿尔茨海默概念+创新药,9.927797834,4355,3755636300.000,5.63,6.09,5.62,6.09,8.484,63450093,002082
603429.SH,集友股份,5.21,20241022,39296215.6,7919963.53,31376252.07,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2015451973955477,28/106,拟出售全资子公司+电子烟+包装印刷+储能,9.915611814,1878,2732569300.000,5.1,5.21,4.86,5.21,7.384,26748273,603429
