股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
603798.SH,康普顿,10.05,9.956,20240229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,5,7820457.5,2.175127,0.0,0.0,7820457.5,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1921,603798
603895.SH,天永智能,26.64,9.992,20240229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,5,0.0,0.0,4930862.4,1.944842,-4930862.4,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,1480,603895
600678.SH,四川金顶,7.00,10.063,20240229,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,4,6804752.0,2.57842,0.0,0.0,6804752.0,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,7392,600678
