股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603739.SH,蔚蓝生物,12.61,20240429,52350792.0,33991443.2,18359348.8,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6493014126701274,1/69,一季报增长+生物经济+食品安全,10.035,1281,3190694000.000,12.61,12.61,12.61,12.61,0.000,2895340.00,603739
002621.SZ,美吉姆,1.53,20240429,22474076.31,13411726.77,9062349.54,日振幅值达15%的证券,单日榜,0.5967643156943611,3/69,,5.517,3054,1227596480.000,1.32,1.54,1.31,1.53,15.862,48298857.00,002621
603256.SH,宏和科技,7.11,20240429,22684682.3,12571562.3,10113120.0,日涨幅偏离值达7%的证券,单日榜,0.5541872764072169,4/69,玻璃纤维布+覆铜板+华为+消费电子,10.062,1159,6254862500.000,6.50,7.11,6.50,7.11,9.443,8441194.00,603256
603232.SH,格尔软件,14.48,20240429,80773539.0,44348269.0,36425270.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5490445206319362,5/69,量子科技+商用密码+军工+无人机+华为概念,10.030,1707,3378396800.000,14.48,14.48,14.48,14.48,0.000,3917088.00,603232
600478.SH,科力远,4.37,20240429,45577590.0,24582321.0,20995269.0,日涨幅偏离值达7%的证券,单日榜,0.5393510494960352,6/69,一季报增长+电池+固态电池+锂电池,10.076,5006,7278413800.000,3.97,4.37,3.97,4.37,10.076,33838800.00,600478
002305.SZ,南国置业,1.80,20240429,65487642.0,30380638.0,35107004.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4639140618316964,9/69,一季报扭亏+房地产+央企,9.756,3518,3121385900.000,1.73,1.80,1.69,1.80,6.707,49491450.00,002305
002253.SZ,川大智胜,13.78,20240429,50590231.0,22404621.53,28185609.47,日振幅值达15%的证券,单日榜,0.4428645824922207,11/69,低空经济+空管+军工信息化+华为昇腾+人脸识别,9.976,3854,2854914200.000,13.00,13.78,11.91,13.78,14.924,27964321.00,002253
600159.SH,大龙地产,2.61,20240429,29603045.0,13055820.34,16547224.66,日涨幅偏离值达7%的证券,单日榜,0.4410296420520254,12/69,房地产+北京国资,10.127,6288,2166308400.000,2.37,2.61,2.35,2.61,10.971,49157427.00,600159
000002.SZ,万科A,7.56,20240429,699240996.05,307305769.31,391935226.74,日涨幅偏离值达7%的证券,单日榜,0.4394847714106651,13/69,房地产开发+回应穆迪下调评级事件,10.044,8150,73460035000.000,6.77,7.56,6.76,7.56,11.645,494465960.00,000002
000555.SZ,神州信息,13.59,20240429,374660000.67,148347731.9,226312268.77,日涨幅偏离值达7%的证券,单日榜,0.395952948365749,15/69,量子科技+金融信创+华为,10.041,7300,13213724000.000,13.12,13.59,12.96,13.59,5.101,114110077.00,000555
000099.SZ,中信海直,24.75,20240429,743515772.8,268293971.15,475221801.65,日换手率达20%的证券,单日榜,0.36084502974245447,18/69,,9.610,5759,17577825000.000,22.47,24.84,22.46,24.75,10.540,227105940.00,000099
603261.SH,立航科技,36.89,20240429,29343975.0,9919040.0,19424935.0,日换手率达20%的证券,单日榜,0.33802646028699246,19/69,,-0.566,516,970106510.000,36.66,37.24,36.02,36.89,3.288,6579000.00,603261
605180.SH,华生科技,14.46,20240429,25303799.05,8375223.46,16928575.59,日换手率达20%的证券,单日榜,0.3309867993912953,20/69,,0.626,726,702575250.000,14.01,14.60,13.88,14.46,5.010,14248092.00,605180
600340.SH,华夏幸福,1.18,20240429,22666559.5,7055146.5,15611413.0,日涨幅偏离值达7%的证券,单日榜,0.31125793484450076,22/69,房地产+住宅服务+债务重组,10.280,4938,4594159000.000,1.06,1.18,1.05,1.18,12.150,143905750.00,600340
600836.SH,上海易连,1.56,20240429,11929611.0,3175926.0,8753685.0,日振幅值达15%的证券,单日榜,0.26622209223754234,25/69,,-7.143,7338,1037779190.000,1.51,1.75,1.51,1.56,14.286,80853584.00,600836
002176.SZ,江特电机,10.10,20240429,189699613.03,40501966.44,149197646.59,日涨幅偏离值达7%的证券,单日榜,0.2135057936759988,26/69,锂矿+电机,10.022,4024,17230793000.000,9.18,10.10,9.18,10.10,10.022,137936430.00,002176
000628.SZ,高新发展,48.97,20240429,516542781.92,102985357.89,413557424.03,日换手率达20%的证券,单日榜,0.19937430450039653,27/69,,-2.914,6653,9405865700.000,47.48,50.64,47.30,48.97,6.622,62100983.00,000628
002296.SZ,辉煌科技,10.22,20240429,144997531.81,11624376.44,133373155.37,日换手率达20%的证券,单日榜,0.08016947802416527,33/69,,8.839,3540,3550585800.000,9.34,10.33,9.10,10.22,13.099,108100649.00,002296
600791.SH,京能置业,3.71,20240429,14291665.0,1062195.0,13229470.0,日涨幅偏离值达7%的证券,单日榜,0.07432269088311264,34/69,房地产+北京央企,10.089,6601,1678083800.000,3.33,3.71,3.30,3.71,12.166,15695600.00,600791
003029.SZ,吉大正元,26.30,20240429,159250117.26,10256091.26,148994026.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.06440240947047703,36/69,量子科技+军工+网络安全+华为+数字货币,9.996,810,4494421200.000,24.50,26.30,23.25,26.30,12.756,27520219.00,003029
603017.SH,中衡设计,14.19,20240429,54792054.79,3227946.03,51564108.76,日振幅值达15%的证券;日换手率达20%的证券,单日榜,0.0589126661223358,37/69,,4.032,2267,3915103000.000,13.01,14.72,12.28,14.19,17.889,78370244.00,603017
