股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600775.SH,南京熊猫,11.06,20241122,147685522.0,108364695.0,39320827.0,日涨幅偏离值达7%的证券,单日榜,0.7337530011912745,1/111,北斗+脑机接口+机器人+智慧交通+央企,10.049751244,6791,7430534100.000,10.06,11.06,10.01,11.06,10.448,76831585,600775
600333.SH,长春燃气,6.22,20241122,77055804.0,56473972.0,20581832.0,日涨幅偏离值达7%的证券,单日榜,0.7328970573066761,2/111,燃气+长春国资,10.088495575,5807,3788170900.000,5.68,6.22,5.68,6.22,9.558,51776962,600333
002045.SZ,国光电器,22.86,20241122,464503307.4,318756977.6,145746329.8,日涨幅偏离值达7%的证券,单日榜,0.6862318793470017,3/111,音响+AI+锂电池+虚拟现实,10.009624639,4744,12843499700.000,21.9,22.86,21.9,22.86,4.620,73275151,002045
002741.SZ,光华科技,19.39,20241122,132892628.59,80786385.59,52106243.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6079071988201991,8/111,硫化物固态锂金属电池+锂电池材料+光刻胶+PCB化学品,9.982983551,2374,7010090400.000,19.39,19.39,19.39,19.39,0.000,5250785,002741
600889.SH,南京化纤,11.28,20241122,17907575.28,10608287.28,7299288.0,日涨幅偏离值达7%的证券,单日榜,0.5923910475946914,9/111,并购重组+南京国企+参股券商,10.048780488,6968,4132383000.000,11.28,11.28,11.28,11.28,0.000,1587651,600889
000695.SZ,滨海能源,15.37,20241122,142974394.66,83256064.66,59718330.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5823145106365859,10/111,硅基负极+固态电池+光伏+包装印刷,10.021474588,6736,3407842000.000,15.36,15.37,15.3,15.37,0.501,12040752,000695
603359.SH,东珠生态,6.02,20241122,66956780.2,36647380.28,30309399.92,日涨幅偏离值达7%的证券,单日榜,0.5473288914212157,11/111,环保+水利+碳交易+破净股,10.054844607,1753,2685497900.000,5.4,6.02,5.31,6.02,12.980,41584668,603359
000573.SZ,粤宏远A,3.54,20241122,144694254.13,78807119.25,65887134.88,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5446458100485182,12/111,房地产开发+煤矿+储能+资源回收,9.937888199,7348,2240695500.000,3.23,3.54,3.11,3.54,13.354,163948320,000573
003005.SZ,竞业达,31.65,20241122,123205937.04,64022991.0,59182946.04,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5196420930528235,13/111,教育信息化+智慧城市+多模态AI+三季度业绩大增,10.010427529,1009,2336437200.000,28.69,31.65,28.56,31.65,10.740,8045740,003005
002761.SZ,浙江建投,12.62,20241122,60243738.6,30980749.6,29262989.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5142567563029695,14/111,拟近13亿收购资产加码主业+浙江国资+大基建+一带一路,10.026155187,2299,13646542000.000,12.62,12.62,12.62,12.62,0.000,8395073,002761
600843.SH,上工申贝,14.55,20241122,221308195.0,101801470.0,119506725.0,日换手率达20%的证券;日振幅值达15%的证券,单日榜,0.45999864577992694,17/111,,5.818181818,7465,6827190700.000,13.43,15.13,12.75,14.55,17.309,136807185,600843
002155.SZ,湖南黄金,18.4,20241122,266098297.3,119283185.36,146815111.94,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.448267375516198,18/111,湖南万古金矿田探矿获重大突破+国企,9.982068141,4198,22115288000.000,18.4,18.4,18.4,18.4,0.000,37328824,002155
002127.SZ,南极电商,4.28,20241122,387092535.13,173053761.17,214038773.96,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4470604454097316,19/111,电子商务+营销+零售,10.025706941,4279,8537334000.000,4.28,4.28,3.95,4.28,8.483,348816540,002127
003041.SZ,真爱美家,15.8,20241122,94296210.53,41950124.56,52346085.97,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.44487603822269955,21/111,,3.947368421,882,2161809700.000,16.72,16.72,14.93,15.8,11.776,6619520,003041
002175.SZ,东方智造,4.1,20241122,104027005.3,43914975.18,60112030.12,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.42214975864541204,24/111,芯片+智能制造+物业管理,9.919571046,4162,5234770200.000,4.1,4.1,4.1,4.1,0.000,21219305,002175
603004.SH,鼎龙科技,30.4,20241122,122013473.17,47584025.27,74429447.9,日换手率达20%的证券,单日榜,0.3899899251593446,26/111,,8.455226543,218,1789952000.000,28.03,30.83,28.02,30.4,10.025,40172781,603004
600506.SH,统一股份,17.11,20241122,116551659.81,39346478.22,77205181.59,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.33758831306342424,30/111,液冷+润滑油+央企+西部大开发,10.032154341,5556,2527264600.000,17.11,17.11,17,17.11,0.707,11820337,600506
600479.SH,千金药业,12.88,20241122,98207622.4,32506111.78,65701510.62,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3309937761002144,31/111,,7.243963364,5032,5390371700.000,12.6,13.21,12.03,12.88,9.825,65376793,600479
002131.SZ,利欧股份,2.71,20241122,759880430.5,230543616.29,529336814.21,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.30339459609231245,33/111,,9.71659919,4272,15856904000.000,2.44,2.72,2.41,2.71,12.551,1407708900,002131
002344.SZ,海宁皮城,6.6,20241122,146149766.07,41061719.35,105088046.72,日振幅值达15%的证券,单日榜,0.28095644936121933,35/111,,4.100946372,3600,8457570600.000,6.05,6.97,5.8,6.6,18.454,295620410,002344
603359.SH,东珠生态,6.02,20241122,94746842.6,26029452.94,68717389.66,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.27472633626315696,36/111,环保+水利+碳交易+破净股,10.054844607,1753,2685497900.000,5.4,6.02,5.31,6.02,12.980,41584668,603359
000969.SZ,安泰科技,13.15,20241122,390731774.18,102235524.47,288496249.71,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2616514223460689,37/111,,7.875307629,5942,13491905000.000,13,13.41,12.81,13.15,4.922,88537230,000969
600105.SH,永鼎股份,6.05,20241122,259708432.33,66735456.02,192972976.31,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2569629927733814,38/111,可控核聚变+超导+光模块+光缆电缆,10,6581,8611887100.000,6.05,6.05,6.05,6.05,0.000,85454650,600105
600405.SH,动力源,5.42,20241122,48500603.84,11668701.84,36831902.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.24058879511055586,40/111,液冷充电桩+AI服务器电源+华为,9.939148073,5018,2998752900.000,5.42,5.42,5.33,5.42,1.826,48078113,600405
002045.SZ,国光电器,22.86,20241122,1401825612.78,326174376.43,1075651236.35,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2326782828451496,41/111,音响+AI+锂电池+虚拟现实,10.009624639,4744,12843499700.000,21.9,22.86,21.9,22.86,4.620,73275151,002045
603138.SH,海量数据,18.51,20241122,171432369.76,39743174.8,131689194.96,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.23183004969037768,42/111,,5.230244457,1877,5240495500.000,18,19.35,17.83,18.51,8.641,52253434,603138
002640.SZ,跨境通,3.48,20241122,231379460.2,53277088.46,178102371.74,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2302585044236351,43/111,跨境电商+重整预期+三胎概念,10.126582278,3147,4965604900.000,3.23,3.48,3.13,3.48,11.076,433576480,002640
601360.SH,三六零,13.85,20241122,2341470427.78,492629556.72,1848840871.06,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.21039324301314066,45/111,,5.805958747,3122,96943877000.000,13.09,14.4,12.91,13.85,11.383,979884093,601360
600979.SH,广安爱众,4.59,20241122,118422296.1,23431009.45,94991286.65,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.19785977997094417,46/111,“丝绸云谷”算力项目+电力+国企改革,10.071942446,4911,5656072400.000,4.29,4.59,4.22,4.59,8.873,288322641,600979
002354.SZ,天娱数科,5.5,20241122,437427628.29,84631751.81,352795876.48,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.19347600914200133,47/111,,2.611940299,3590,8901040400.000,5.49,5.9,5.36,5.5,10.075,573252420,002354
002366.SZ,融发核电,5.96,20241122,308242457.0,58314416.7,249928040.3,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.1891835967943897,48/111,,7.775768535,3572,7488527800.000,6.08,6.08,5.73,5.96,6.329,258017970,002366
