股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
002600.SZ,领益智造,7.12,10.046,20240628,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,4,68794079,1.674436,706601.0,0.017199,68087478.0,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,3147,002600
002869.SZ,金溢科技,32.21,-5.293,20240628,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,5,22717,0.001626,16624273.0,1.190131,-16601556.0,卖出金额最大的前5名,日换手率达20%的证券,单日榜,1732,002869
603860.SH,中公高科,29.00,-2.093,20240628,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,0,0.0,31173763.0,7.796097,-31173763.0,卖出金额最大的前5名,日换手率达20%的证券,单日榜,1677,603860
603386.SH,骏亚科技,12.48,1.546,20240628,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,0,0.0,18914192.4,4.080787,-18914192.4,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,1648,603386
002823.SZ,凯中精密,12.20,-7.506,20240628,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,4,181349,0.026786,12511035.06,1.84791,-12329686.06,卖出金额最大的前5名,日跌幅偏离值达7%的证券;日换手率达20%的证券,单日榜,1845,002823
