股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
002869.SZ,金溢科技,21.65,10.010,20240604,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,34681500.0,6.689441,260883,0.05032,34420617.0,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,1715,002869
000793.SZ,华闻集团,0.86,10.256,20240604,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,10685297.18,3.869009,7200,0.002607,10678097.18,买入金额最大的前5名,日振幅值达15%的证券;日涨幅偏离值达7%的证券,单日榜,6510,000793
