stock_code,stock_name,total_appearances,first_appear_date,last_appear_date,days_since_last,avg_net_buy_ratio,max_net_buy_ratio,positive_net_ratio,total_net_amount,avg_net_amount,total_buy_amount,avg_net_buy_rank,best_net_buy_rank,three_day_ratio,avg_change_pct,max_change_pct,last_market_cap,last_close_price,main_themes,limit_up_list_ratio,last_list_reason,avg_gap_days,max_gap_days,recent_gap_days,recent_30d_count,dragon_score,score_fund,score_persist,score_pattern,score_cap,score_decay,current_stage
600816.SH,建元信托,3,2024-01-23,2024-11-11,550,0.6410769510214284,0.711770176346834,1.0,155063858.29,51687952.76333333,261240202.61,2.6666666666666665,1.0,0.0,10.096995433666669,10.136986301,21985934000.0,4.02,信托+国有控股,1.0,日涨幅偏离值达7%的证券,146.5,210,210,0,37.1,20.4,10.3,15.0,1.4,-10.0,⚫ 已冷却
002183.SZ,怡亚通,2,2024-10-29,2025-03-11,430,0.47376280989041464,0.535667110495555,1.0,242625359.51,121312679.755,515337888.51,13.5,12.0,0.5,9.3396226415,10.0,14854806000.0,5.72,华为云合作+AI算力+深圳国资,1.0,日涨幅偏离值达7%的证券,133.0,133,133,0,37.1,17.9,12.0,15.0,2.2,-10.0,⚫ 已冷却
600828.SH,茂业商业,11,2024-01-15,2026-02-05,99,0.37319437225001456,0.7162044494753799,1.0,262390732.51000002,21865894.375833336,763103770.25,18.25,3.0,0.25,8.605490710961806,10.126582278,13469982000.0,7.78,REITs调整+百货零售+川超消费,0.8333333333333334,日涨幅偏离值达7%的证券;日振幅值达15%的证券,75.2,328,3,0,37.1,15.4,15.1,14.2,2.5,-10.0,⚫ 已冷却
600833.SH,第一医药,1,2024-12-13,2024-12-13,518,0.45431593425442807,0.532343305153277,1.0,167913085.87,83956542.935,374244274.75,9.5,8.0,0.5,1.806853583,1.806853583,3645230900.0,16.34,,0.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.0,0,0,0,37.1,17.2,10.1,12.5,7.2,-10.0,🔴 首次上榜
603918.SH,金桥信息,10,2024-02-20,2025-02-21,448,0.3211745061086184,0.6165672062927653,1.0,1309220804.24,109101733.68666667,3393917869.7400007,26.333333333333332,3.0,0.33,5.8609497453333335,10.01,7738410900.0,21.13,智慧法院+阿里+化债(AMC概念）,0.4166666666666667,日换手率达20%的证券,40.8,133,3,0,37.1,15.4,15.4,12.1,4.2,-10.0,⚫ 已冷却
603767.SH,中马传动,4,2024-01-31,2025-03-26,415,0.31167117775055364,0.7908732729042937,1.0,148829777.26,37207444.315,492459059.72,18.25,1.0,0.75,6.859193122,10.014005602,5030693500.0,16.3,减速器+变速器+实控人变更,0.5,"连续三个交易日内,跌幅偏离值累计达20%的证券",140.0,406,12,0,37.1,13.0,15.7,12.5,5.9,-10.0,⚫ 已冷却
000058.SZ,深赛格,5,2024-09-04,2024-11-05,556,0.38818451357728373,0.7157855787019353,1.0,211538947.32999998,42307789.466,593736267.46,19.4,2.0,0.6,7.068834161000001,10.0,8891945800.0,9.03,深圳国资+电子市场流通+物业管理+光伏,0.6,"连续三个交易日内,跌幅偏离值累计达20%的证券",15.5,49,8,0,37.1,14.9,15.5,13.0,3.7,-10.0,⚫ 已冷却
000665.SZ,湖北广电,1,2025-03-12,2025-03-12,429,0.5533295822821624,0.5533295822821624,1.0,37495890.0,37495890.0,67764116.0,9.0,9.0,1.0,10.031347962,10.031347962,7982514500.0,7.02,国资云+湖北国资+楚韵智能体+传媒,1.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",0.0,0,0,0,37.1,14.9,13.1,15.0,4.0,-10.0,🔴 首次上榜
000519.SZ,中兵红箭,3,2024-04-22,2024-06-05,709,0.47596988539950136,0.7035257931979001,1.0,261346371.97000003,87115457.32333334,638179841.81,12.333333333333334,3.0,0.33,8.863999999999999,10.0,20832682000.0,14.96,军工+超硬材料+商业航天+中字头,1.0,日涨幅偏离值达7%的证券,22.0,43,43,0,37.1,18.3,12.3,15.0,1.5,-10.0,⚫ 已冷却
600097.SH,开创国际,3,2024-04-01,2025-03-21,420,0.3407605027258974,0.5170572329878323,1.0,70764976.9,17691244.225,180878506.0,16.75,6.0,0.5,7.895475493500001,10.037523452,2826185800.0,11.73,远洋捕捞+上海国资,0.75,"连续三个交易日内,涨幅偏离值累计达20%的证券",177.0,352,352,0,37.1,11.8,13.3,13.8,8.2,-10.0,⚫ 已冷却
