股票代码,股票简称,最新价
002682.SZ,龙洲股份,6.78
603721.SH,中广天择,38.47
002855.SZ,捷荣技术,33.69
600679.SH,上海凤凰,11.06
603789.SH,星光农机,10.89
601083.SH,锦江航运,13.70
003005.SZ,竞业达,37.19
600626.SH,申达股份,4.35
600234.SH,科新发展,9.75
600630.SH,龙头股份,12.82
002862.SZ,实丰文化,23.01
603729.SH,龙韵股份,35.19
600234.SH,科新发展,9.75
002313.SZ,日海智能,13.31
002591.SZ,恒大高新,8.79
600358.SH,国旅联合,7.38
002022.SZ,科华生物,10.75
