股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600192.SH,长城电工,4.83,20240614,18469920.0,14355243.0,4114677.0,日涨幅偏离值达7%的证券,单日榜,0.7772228033472803,2/82,电网设备+光伏+风电+甘肃国资,10.023,6168,2133642800.000,4.83,4.83,4.83,4.83,0.000,4686190.00,600192
600192.SH,长城电工,4.83,20240614,23313367.0,15766084.0,7547283.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6762679968105851,4/82,电网设备+光伏+风电+甘肃国资,10.023,6168,2133642800.000,4.83,4.83,4.83,4.83,0.000,4686190.00,600192
603685.SH,晨丰科技,12.91,20240614,25925799.0,17374006.1,8551792.9,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6701435161168997,5/82,增量配电网+照明业务+风电+PCB,9.966,1589,2181866400.000,12.78,12.91,12.78,12.91,1.107,2787279.00,603685
000996.SZ,中期退,0.39,20240614,7241353.0,4061180.0,3180173.0,退市整理证券,单日榜,0.5608316567359719,6/82,退市整理+汽车服务,11.429,5798,134550000.000,0.34,0.39,0.34,0.39,14.286,24827912.00,000996
001896.SZ,豫能控股,4.79,20240614,87381603.0,40259593.42,47122009.58,日涨幅偏离值达7%的证券,单日榜,0.4607330609396122,11/82,火电+新能源+煤炭+华为+河南国资,10.115,6395,6326542600.000,4.55,4.79,4.47,4.79,7.356,84610321.00,001896
603389.SH,亚振家居,5.47,20240614,30973976.0,13485991.0,17487985.0,日涨幅偏离值达7%的证券,单日榜,0.43539747690125413,13/82,智能家居+培育钻石+新零售,10.060,1820,1437253400.000,4.96,5.47,4.81,5.47,13.280,33637990.00,603389
603389.SH,亚振家居,5.47,20240614,34486376.8,13473051.12,21013325.68,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.39067748978489386,14/82,智能家居+培育钻石+新零售,10.060,1820,1437253400.000,4.96,5.47,4.81,5.47,13.280,33637990.00,603389
603863.SH,松炀资源,19.21,20240614,94998060.0,28801111.0,66196949.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3031757806422573,17/82,回购+环保再生纸+节能环保,10.023,1209,3931326500.000,17.45,19.21,17.40,19.21,10.367,21966200.00,603863
603667.SH,五洲新春,17.83,20240614,75378554.32,22582185.32,52796369.0,日跌幅偏离值达7%的证券,单日榜,0.29958368827469445,18/82,,-7.377,1857,6529395400.000,18.50,18.55,17.46,17.83,5.662,28833644.00,603667
600647.SH,退市同达,1.93,20240614,1330590.0,321293.25,1009296.75,退市整理证券,单日榜,0.24146675534913084,22/82,,7.821,7574,268547050.000,1.78,1.96,1.78,1.93,10.056,1528423.00,600647
000793.SZ,华闻集团,1.47,20240614,61687115.13,14593035.13,47094080.0,日涨幅偏离值达7%的证券,单日榜,0.23656536862271,23/82,公司被海南联瀚举牌+低价微小盘股,9.702,6517,2882682700.000,1.47,1.47,1.40,1.47,5.224,402859680.00,000793
603863.SH,松炀资源,19.21,20240614,68540995.0,15920279.0,52620716.0,日涨幅偏离值达7%的证券,单日榜,0.2322738238626387,24/82,回购+环保再生纸+节能环保,10.023,1209,3931326500.000,17.45,19.21,17.40,19.21,10.367,21966200.00,603863
002087.SZ,新纺退,0.16,20240614,2223430.0,498650.0,1724780.0,退市整理证券,单日榜,0.2242706089240498,25/82,,0.000,4262,130502101.000,0.16,0.16,0.15,0.16,6.250,31468992.00,002087
002350.SZ,北京科锐,5.54,20240614,46040230.12,6374650.41,39665579.71,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.13845826559478544,27/82,配电设备+虚拟电厂+数据中心+充电桩,9.921,3486,2932396000.000,5.16,5.54,5.16,5.54,7.540,31074156.00,002350
600067.SH,冠城大通,1.96,20240614,17911975.92,741703.85,17170272.07,日涨幅偏离值达7%的证券,单日榜,0.04140826524737757,34/82,房地产+锂电池+氢能源+电磁线,10.112,6573,2727670700.000,1.81,1.96,1.78,1.96,10.112,35432302.00,600067
600179.SH,安通控股,2.55,20240614,20478055.61,520290.96,19957764.65,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.025407244218339148,35/82,拟收购+物流+一带一路,9.914,6204,9522303100.000,2.55,2.55,2.55,2.55,0.000,14133991.00,600179
600830.SH,香溢融通,7.88,20240614,33557546.0,480875.82,33076670.18,日涨幅偏离值达7%的证券,单日榜,0.014329886339126229,36/82,多元金融+白酒+中国烟草+国企,10.056,7368,3580063200.000,7.23,7.88,7.13,7.88,10.475,74137412.00,600830
