股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603660.SH,苏州科达,5.92,20240618,27757703.28,18696688.52,9061014.76,日涨幅偏离值达7%的证券,单日榜,0.6735675618188249,1/65,智能交通+智慧城市+多模态AI+GPU服务器,10.037,1832,2926384900.000,5.38,5.92,5.36,5.92,10.409,20700804.00,603660
002902.SZ,铭普光磁,24.29,20240618,153565191.0,92440722.51,61124468.49,日换手率达20%的证券;日涨幅偏离值达7%的证券,单日榜,0.6019640382565604,3/65,一体成型电感+硅光800G DR8光模块+磁性元器件,10.009,1627,3739349300.000,22.03,24.29,22.03,24.29,10.236,35694246.00,002902
002229.SZ,鸿博股份,12.95,20240618,174909657.8,103313253.6,71596404.2,日涨幅偏离值达7%的证券,单日榜,0.5906663754275551,4/65,公司称英博数科正常经营+算力+彩票,10.026,3917,6386477700.000,11.77,12.95,11.66,12.95,10.960,57220452.00,002229
603803.SH,瑞斯康达,7.00,20240618,23385486.0,13239830.0,10145656.0,日涨幅偏离值达7%的证券,单日榜,0.5661558626577186,5/65,CPO+6G+新型工业化,10.063,1740,2974184900.000,6.35,7.00,6.32,7.00,10.692,8649153.00,603803
002943.SZ,宇晶股份,23.62,20240618,87913933.59,47835739.6,40078193.99,日涨幅偏离值达7%的证券,单日榜,0.5441201143733284,6/65,工业母机+TOPCON电池+高硬脆材料切割,10.014,1345,2844707100.000,21.05,23.62,21.05,23.62,11.970,18821554.00,002943
002455.SZ,百川股份,11.06,20240618,233259336.3,125108929.3,108150407.0,日换手率达20%的证券,单日榜,0.5363512187100397,7/65,,7.902,3369,5609916200.000,10.30,11.28,10.18,11.06,10.732,116104726.00,002455
603825.SH,华扬联众,8.42,20240618,11398190.0,5979689.0,5418501.0,日涨幅偏离值达7%的证券,单日榜,0.5246174173267861,8/65,华为惊鸿动能+Sora概念+广告营销+上海数据交易中心,10.065,1669,2133093800.000,7.58,8.42,7.58,8.42,10.980,5420000.00,603825
603256.SH,宏和科技,7.33,20240618,21107532.0,10992071.0,10115461.0,日涨幅偏离值达7%的证券,单日榜,0.5207653362790117,9/65,玻璃纤维布+覆铜板+华为+消费电子,10.060,1191,6448402600.000,6.64,7.33,6.64,7.33,10.360,6998900.00,603256
002433.SZ,太安退,0.25,20240618,8737822.0,3863851.0,4873971.0,退市整理证券,单日榜,0.44219841054212367,14/65,退市整理,8.696,3401,186096430.000,0.25,0.25,0.23,0.25,8.696,61235382.00,002433
002505.SZ,鹏都农牧,0.84,20240618,32095864.6,13928707.5,18167157.1,日振幅值达15%的证券,单日榜,0.43397202953055825,15/65,,5.000,3300,5354379300.000,0.80,0.87,0.73,0.84,17.500,291323220.00,002505
600171.SH,上海贝岭,19.80,20240618,272897510.36,104522392.89,168375117.47,日换手率达20%的证券,单日榜,0.3830096974945521,17/65,,6.739,6233,14036681000.000,18.40,20.10,17.70,19.80,12.938,152896260.00,600171
605588.SH,冠石科技,44.80,20240618,26106195.0,9362913.0,16743282.0,日换手率达20%的证券,单日榜,0.35864717167706744,18/65,,4.259,688,1034860330.000,42.95,45.80,42.22,44.80,8.331,6219368.00,605588
600337.SH,美克家居,2.19,20240618,23244991.45,6206718.45,17038273.0,日涨幅偏离值达7%的证券,单日榜,0.2670131526333601,20/65,低价小盘股+家居产品+外销,10.050,5711,3240198200.000,1.98,2.19,1.91,2.19,14.070,43522191.00,600337
603268.SH,松发股份,14.05,20240618,17407686.2,4625462.2,12782224.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.26571378567244625,21/65,日用瓷+外销+跨境电商+小微盘股,10.024,2250,1744571600.000,12.90,14.05,12.89,14.05,9.084,2461400.00,603268
000996.SZ,中期退,0.43,20240618,3360567.0,527681.0,2832886.0,退市整理证券,单日榜,0.15702141930215943,29/65,,0.000,5800,148350000.000,0.43,0.45,0.40,0.43,11.628,14634275.00,000996
002856.SZ,美芝股份,10.72,20240618,32884371.0,3839134.0,29045237.0,日跌幅偏离值达7%的证券,单日榜,0.11674646293219354,32/65,,-7.106,1761,1248739120.000,11.55,11.69,10.47,10.72,10.572,13856100.00,002856
002869.SZ,金溢科技,31.10,20240618,206466369.4,21044594.4,185421775.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.10192746867761796,33/65,车路协同+智慧交通+无人驾驶+华为鸿蒙,10.011,1724,4918717800.000,27.85,31.10,27.27,31.10,13.548,42627220.00,002869
000793.SZ,华闻集团,1.45,20240618,43022688.38,2665397.74,40357290.64,日涨幅偏离值达7%的证券,单日榜,0.06195330511328683,34/65,车联网+公司被海南联瀚举牌+低价微小盘股,9.849,6519,2843462500.000,1.28,1.45,1.28,1.45,12.879,401459670.00,000793
