股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603466.SH,风语筑,11.45,20260612,222722096.68,164770384.74,57951711.94,日振幅值达15%的证券,单日榜,2098,5.724838411819014,,0.7398025934388398,4/87,6810685300.000,9.9,11.91,9.76,11.45,19.852,109527330,603466
600696.SH,退市岩石,0.6,20260612,417952.0,256157.0,161795.0,退市整理证券,单日榜,7904,1.6949152542372898,,0.6128861687466504,6/87,200681660.000,0.59,0.63,0.59,0.6,6.780,1360358,600696
000032.SZ,深桑达A,18.92,20260612,587975513.9,342897279.14,245078234.76,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7924,10.000000000000014,半导体洁净室+中国电子云增资+AI算力,0.5831829234955493,8/87,21530189000.000,17.4,18.92,16.6,18.92,13.488,105555592,000032
000630.SZ,铜陵有色,7.1,20260612,700831635.97,359717230.98,341114404.99,日涨幅偏离值达7%的证券,单日榜,7164,10.077519379844952,PCB铜箔+全产业链铜+ECSA分红+安徽国资,0.5132719650735033,11/87,79115226000.000,6.6,7.1,6.55,7.1,8.527,628978720,000630
600636.SH,退市国化,1.64,20260612,6425044.89,3109618.89,3315426.0,退市整理证券,单日榜,8092,2.499999999999988,,0.4839839943904268,13/87,719364360.000,1.6,1.66,1.57,1.64,5.625,9268895,600636
002119.SZ,康强电子,31.96,20260612,822493732.07,369686468.3,452807263.77,日换手率达20%的证券,单日榜,4687,2.435897435897441,,0.44947025598553386,14/87,11994076600.000,34.3,34.32,31.22,31.96,9.936,143926030,002119
603773.SH,沃格光电,129.8,20260612,739842038.68,269995258.21,469846780.47,日振幅值达15%的证券;日换手率达20%的证券,单日榜,1979,-6.926717338304887,,0.36493635680896963,17/87,29163287000.000,137.07,149.87,125.51,129.8,17.467,54606584,603773
002845.SZ,同兴达,14.18,20260612,88400733.8,31517096.2,56883637.6,日振幅值达15%的证券,单日榜,2275,-7.19895287958115,,0.3565252780741058,19/87,3548323100.000,15.69,15.88,13.8,14.18,13.613,26652574,002845
603135.SH,中重科技,12.02,20260612,261021301.81,89517456.69,171503845.12,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,769,-6.093750000000009,,0.3429507709495704,22/87,7567047700.000,12.8,13.25,11.9,12.02,10.547,53149151,603135
600067.SH,冠城新材,3.48,20260612,81981991.99,26698832.69,55283159.3,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7056,10.126582278481008,机器人概念+电磁线+一季报增长,0.32566704030876287,24/87,4843007200.000,3.27,3.48,3.17,3.48,9.810,113321991,600067
603065.SH,宿迁联盛,13.6,20260612,104622600.0,30650137.36,73972462.64,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,782,10.032362459546928,跨界磷化铟衬底+光稳定剂,0.2929590486185585,25/87,5697959000.000,13.6,13.6,13.6,13.6,0.000,9863708,603065
600162.SH,香江控股,3.47,20260612,279315811.2,69576258.24,209739552.96,日振幅值达15%的证券,单日榜,6791,10.158730158730169,,0.24909530878715969,30/87,11341480300.000,2.99,3.47,2.91,3.47,17.778,518870817,600162
001696.SZ,宗申动力,22.84,20260612,335222292.36,79689586.61,255532705.75,日涨幅偏离值达7%的证券,单日榜,7099,10.019267822736023,低空经济+航空发动机+资产置换+分红,0.23772162062665037,32/87,20359535000.000,21.31,22.84,21.24,22.84,7.707,93672540,001696
603014.SH,威高血净,36.53,20260612,67450161.61,10748119.29,56702042.32,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,261,9.996988858777476,并购重组+血液净化+医药包材,0.15934905170644556,38/87,3707242700.000,34.09,36.53,34.03,36.53,7.528,9035435,603014
600599.SH,退市熊猫,0.41,20260612,678225.8,71800.8,606425.0,退市整理证券,单日榜,6012,0.0,,0.10586562764200359,41/87,68060000.000,0.41,0.42,0.4,0.41,4.878,2427502,600599
002812.SZ,恩捷股份,67.54,20260612,611390282.14,54671847.07,556718435.07,日涨幅偏离值达7%的证券,单日榜,2362,10.000000000000012,隔膜龙头+固态电池+业绩增长,0.0894221721657671,42/87,55562258000.000,62.0,67.54,61.28,67.54,10.195,47498357,002812
002354.SZ,天娱数科,7.52,20260612,574932267.74,32350869.45,542581398.29,日换手率达20%的证券,单日榜,3965,-5.764411027568933,,0.056269009873402935,44/87,12225217200.000,7.42,8.12,7.3,7.52,10.276,608047080,002354
600421.SH,退市华嵘,0.26,20260612,826686.0,24826.0,801860.0,退市整理证券,单日榜,5351,-3.703703703703707,,0.030030749280863592,46/87,50856000.000,0.27,0.28,0.26,0.26,7.407,6734703,600421
603688.SH,石英股份,70.89,20260612,571521726.1,10479133.56,561042592.54,日振幅值达15%的证券,单日榜,2823,-6.907419566644785,,0.018335494665283208,48/87,38399574000.000,79.06,83.0,70.33,70.89,16.638,58557830,603688
603120.SH,肯特催化,57.84,20260612,109698836.35,657506.35,109041330.0,日换手率达20%的证券,单日榜,281,10.003803727653109,半导体清洗+催化新材料+专精特新,0.005993740424941162,49/87,2192136000.000,53.9,57.84,52.9,57.84,9.395,10078406,603120
