股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603628.SH,清源股份,18.07,20240523,64502563.58,53165445.58,11337118.0,日涨幅偏离值达7%的证券,单日榜,0.824237714429148,1/69,光伏分布式支架+BIPV+光伏发电,9.982,1786,4947566000.000,18.07,18.07,18.07,18.07,0.000,7793402.00,603628
603628.SH,清源股份,18.07,20240523,74053820.58,54165995.45,19887825.13,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.7314409307415102,2/69,光伏分布式支架+BIPV+光伏发电,9.982,1786,4947566000.000,18.07,18.07,18.07,18.07,0.000,7793402.00,603628
600620.SH,天宸股份,6.42,20240523,28248314.62,18969854.62,9278460.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6715393422646607,3/69,HJT电池+物业管理,9.932,7676,4408467100.000,6.42,6.42,6.42,6.42,0.000,4785902.00,600620
600225.SH,卓朗科技,2.64,20240523,40310000.98,26036758.26,14273242.72,日涨幅偏离值达7%的证券,单日榜,0.6459131140413087,4/69,算力租赁+云计算+英伟达+天津国企,10.000,5891,8999299100.000,2.50,2.64,2.49,2.64,6.250,44291504.00,600225
603991.SH,至正股份,34.87,20240523,33625320.0,16612071.0,17013249.0,日涨幅偏离值达7%的证券,单日榜,0.4940345846522799,8/69,先进封装+线缆用高分子材料,10.000,1752,2599035400.000,31.00,34.87,31.00,34.87,12.208,3985845.00,603991
600843.SH,上工申贝,9.89,20240523,248902096.79,120222039.79,128680057.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4830093492198741,9/69,拟参与重整+碳纤维运动飞机+缝纫设备+机器人,10.011,7342,4640612800.000,9.49,9.89,9.35,9.89,6.007,141184610.00,600843
600843.SH,上工申贝,9.89,20240523,218032517.79,90119228.79,127913289.0,日换手率达20%的证券;日涨幅偏离值达7%的证券,单日榜,0.4133293038279692,12/69,拟参与重整+碳纤维运动飞机+缝纫设备+机器人,10.011,7342,4640612800.000,9.49,9.89,9.35,9.89,6.007,141184610.00,600843
002900.SZ,哈三联,12.11,20240523,60800013.5,25129533.0,35670480.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4133145957278447,13/69,医药+医美+仿制药,9.991,1615,2069486800.000,10.95,12.11,10.80,12.11,11.898,31400330.00,002900
002218.SZ,拓日新能,3.98,20240523,108483615.5,39072678.5,69410937.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3601712417116113,14/69,光伏概念+钙钛矿电池+光伏玻璃+POE胶膜,9.945,3947,5541745000.000,3.86,3.98,3.84,3.98,3.867,156638300.00,002218
000628.SZ,高新发展,56.14,20240523,354999470.45,111345100.27,243654370.18,日换手率达20%的证券,单日榜,0.31364863764122836,19/69,,8.295,6668,10783036600.000,51.84,57.02,51.83,56.14,10.012,64709901.00,000628
002246.SZ,北化股份,11.03,20240523,136307624.0,41350243.75,94957380.25,日涨幅偏离值达7%的证券;日振幅值达15%的证券,单日榜,0.30335972806627454,20/69,市场流传公司硝化棉涨价函+军工+中兵系,9.970,3880,6055853800.000,9.78,11.03,9.59,11.03,14.357,94341967.00,002246
002761.SZ,浙江建投,10.56,20240523,221188115.96,62880886.26,158307229.7,日涨幅偏离值达7%的证券,单日榜,0.28428691110769927,22/69,大基建+新型城镇化+一带一路+浙江国资,10.000,2176,11418951400.000,9.46,10.56,9.33,10.56,12.813,175157210.00,002761
002897.SZ,意华股份,42.83,20240523,167897436.62,45041477.22,122855959.4,日涨幅偏离值达7%的证券,单日榜,0.2682678075779189,23/69,高速连接器+光模块+光伏支架+华为+外销,9.990,1626,6991373800.000,38.72,42.83,38.30,42.83,11.633,22709801.00,002897
001239.SZ,永达股份,18.04,20240523,35285732.58,6692949.54,28592783.04,日换手率达20%的证券,单日榜,0.18967863356175785,24/69,,4.884,106,906968920.000,17.17,18.18,16.90,18.04,7.442,15875537.00,001239
601606.SH,长城军工,11.42,20240523,53274769.0,8706229.0,44568540.0,日涨幅偏离值达7%的证券,单日榜,0.16342124355339768,27/69,军工+高铁+无人机,10.019,1405,8270688300.000,10.50,11.42,10.46,11.42,9.249,39606480.00,601606
002218.SZ,拓日新能,3.98,20240523,69153929.22,5909964.22,63243965.0,日涨幅偏离值达7%的证券,单日榜,0.08546100397561762,30/69,光伏概念+钙钛矿电池+光伏玻璃+POE胶膜,9.945,3947,5541745000.000,3.86,3.98,3.84,3.98,3.867,156638300.00,002218
000514.SZ,渝开发,5.03,20240523,68239871.2,5253498.2,62986373.0,日涨幅偏离值达7%的证券;日振幅值达15%的证券,单日榜,0.07698575785119595,31/69,房地产+重庆国资+AMC,10.066,7502,4244168000.000,4.23,5.03,4.23,5.03,17.506,148234850.00,000514
002851.SZ,麦格米特,31.15,20240523,375667849.52,5932608.85,369735240.67,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.01579216549294873,32/69,,6.459,1754,12869086000.000,31.01,31.96,29.64,31.15,7.929,62818452.00,002851
