股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600844.SH,丹化科技,2.96,20250401,72654155.44,66582455.44,6071700.0,日涨幅偏离值达7%的证券,单日榜,7550,10.037174721,煤化工+乙二醇+可降解塑料,0.9164301069466813,1/70,2435282700.000,2.71,2.96,2.7,2.96,9.665,27350814,600844
001258.SZ,立新能源,7.99,20250401,102962806.0,68500234.0,34462572.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,649,10.055096419,疆电外送+风电光伏+国企改革,0.6652910566559346,2/70,3744988200.000,7.8,7.99,7.51,7.99,6.612,32486628,001258
600355.SH,精伦电子,3.16,20250401,42229845.8,27834934.8,14394911.0,日振幅值达15%的证券,单日榜,5538,1.282051282,,0.6591294444177204,3/70,1555001900.000,2.81,3.34,2.81,3.16,16.987,61467620,600355
002165.SZ,红宝丽,6.7,20250401,252166932.65,149638835.45,102528097.2,日振幅值达15%的证券;日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,4263,10.016420361,,0.5934118081124226,4/70,4875117600.000,5.48,6.7,5.48,6.7,20.033,289580000,002165
002255.SZ,海陆重工,8.24,20250401,139194600.78,80970867.78,58223733.0,日涨幅偏离值达7%的证券,单日榜,4075,10.013351135,可控核聚变+余热锅炉+年报净利增长,0.5817098316045761,5/70,5256891300.000,7.4,8.24,7.4,8.24,11.215,112449771,002255
603985.SH,恒润股份,15.49,20250401,109037788.0,54565072.2,54472715.8,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1921,10.014204545,回购+算力租赁+风电+国企,0.5004235063902801,7/70,6828890500.000,15.49,15.49,15.49,15.49,0.000,9389438,603985
002422.SZ,科伦药业,35.45,20250401,296975472.29,140056627.47,156918844.82,日涨幅偏离值达7%的证券,单日榜,3600,9.990691902,创新药+肺癌药+新药临床试验获批+股东增持,0.4716100841258468,8/70,46293259000.000,32.42,35.45,32.04,35.45,10.580,40456371,002422
600202.SH,哈空调,6.23,20250401,96942466.23,45054059.39,51888406.84,日涨幅偏离值达7%的证券,单日榜,6261,10.070671378,核电+工业空调+国企改革,0.46475049730122797,9/70,2388212400.000,5.56,6.23,5.42,6.23,14.311,73051873,600202
603938.SH,三孚股份,14.16,20250401,47172709.21,20150607.93,27022101.28,日涨幅偏离值达7%的证券,单日榜,1885,10.023310023,化工+芯片概念+有机硅,0.4271666450255168,10/70,5417962900.000,12.85,14.16,12.8,14.16,10.567,20419245,603938
600421.SH,华嵘控股,7.01,20250401,13281631.0,5391229.0,7890402.0,日振幅值达15%的证券,单日榜,5061,4.626865672,,0.40591618604672874,12/70,1371156000.000,6.7,7.25,6.18,7.01,15.970,16477121,600421
002682.SZ,龙洲股份,4.68,20250401,54517243.0,18154055.32,36363187.68,日振幅值达15%的证券,单日榜,3111,0.214132762,,0.3329965772480461,16/70,2631845700.000,4.2,4.9,4.2,4.68,14.989,101900387,002682
600753.SH,庚星股份,5.69,20250401,18926852.0,5783774.0,13143078.0,日涨幅偏离值达7%的证券,单日榜,6909,10.058027079,煤化工+充电桩+退市风险警示博弈,0.3055856304048872,18/70,1310447830.000,5.2,5.69,5.2,5.69,9.478,12088900,600753
600571.SH,信雅达,16.58,20250401,308713032.13,92456206.35,216256825.78,日换手率达20%的证券,单日榜,5443,4.015056462,,0.2994891589515612,20/70,7589523200.000,16.39,17.48,15.75,16.58,10.853,132834724,600571
605588.SH,冠石科技,57.62,20250401,77757755.0,20960624.9,56797130.1,日振幅值达15%的证券,单日榜,879,-0.792011019,,0.26956314389477937,21/70,4211996700.000,52.27,62.99,52.27,57.62,18.457,13039769,605588
603169.SH,兰石重装,8.14,20250401,154538897.74,40349087.74,114189810.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2549,10,可控核聚变+氢能源+能源化工装备,0.26109340968565914,22/70,10633215200.000,7.91,8.14,7.82,8.14,4.324,54694747,603169
000953.SZ,河化股份,6.97,20250401,77143378.18,9455052.76,67688325.42,日振幅值达15%的证券;日涨幅偏离值达7%的证券,单日榜,6136,9.936908517,医药中间体+尿素+维生素,0.1225646709162562,26/70,2551871700.000,5.91,6.97,5.86,6.97,17.508,127961807,000953
600202.SH,哈空调,6.23,20250401,143986295.22,14235460.24,129750834.98,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6261,10.070671378,核电+工业空调+国企改革,0.09886677213445426,27/70,2388212400.000,5.56,6.23,5.42,6.23,14.311,73051873,600202
000518.SZ,四环生物,2.75,20250401,31227339.0,1997789.89,29229549.11,日振幅值达15%的证券,单日榜,7668,3.383458647,,0.06397566856401053,29/70,2831223200.000,2.53,2.88,2.5,2.75,14.286,110730750,000518
002549.SZ,凯美特气,9.19,20250401,94829919.48,4164566.23,90665353.25,日涨幅偏离值达7%的证券,单日榜,3431,10.05988024,光刻胶+节能环保+氢能源,0.043916163304117566,31/70,6362784000.000,8.35,9.19,8.27,9.19,11.018,154960240,002549
