股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
002584.SZ,西陇科学,10.84,20240115,187958164.0,122920756.2,65037407.8,日涨幅偏离值达7%的证券,单日榜,0.6539793408494882,1/48,光刻胶+阿尔兹海默+锂电池+重组蛋白+核污染防治,10.051,3070,4688211100.000,9.88,10.84,9.88,10.84,9.746,99668314.00,002584
002561.SZ,徐家汇,11.14,20240115,159236068.07,104003059.18,55233008.89,日涨幅偏离值达7%的证券,单日榜,0.6531375739212575,2/48,百货零售+新零售+数字货币+上海国资,9.970,3132,4584734400.000,10.00,11.14,9.92,11.14,12.043,81051308.00,002561
601226.SH,华电重工,7.25,20240115,94682009.26,40177622.46,54504386.8,日涨幅偏离值达7%的证券,单日榜,0.42434273178203147,4/48,氢能源+风电+国企,10.015,2214,8401503000.000,6.55,7.25,6.46,7.25,11.988,48203411.00,601226
002882.SZ,金龙羽,23.29,20240115,232416623.5,84007969.36,148408654.14,日涨幅偏离值达7%的证券,单日榜,0.36145421999042165,5/48,固态电池+电线电缆,10.014,1582,5741567300.000,21.32,23.29,21.32,23.29,9.306,70281702.00,002882
600819.SH,耀皮玻璃,6.24,20240115,16850496.0,4996992.0,11853504.0,日涨幅偏离值达7%的证券,单日榜,0.2965486594578581,6/48,光伏TCO玻璃+汽车玻璃+航空玻璃+上海国资,10.053,7285,4663876300.000,6.24,6.24,6.24,6.24,0.000,7396400.00,600819
605365.SH,立达信,22.83,20240115,42944196.0,11709836.0,31234360.0,日换手率达20%的证券,单日榜,0.2726756370057551,7/48,,5.743,606,1348446800.000,20.99,23.60,20.69,22.83,13.479,22420369.00,605365
000628.SZ,高新发展,49.73,20240115,362708475.66,92352744.86,270355730.8,日涨幅偏离值达7%的证券,单日榜,0.25461975955194033,8/48,拟收购华鲲振宇70%股权+华为算力,9.998,6586,9551842000.000,44.20,49.73,43.66,49.73,13.426,61964580.00,000628
600565.SH,迪马股份,1.80,20240115,93766107.97,17042040.62,76724067.35,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.18175053853629627,12/48,房地产+专用车+机器人+资产重组预期,9.756,5220,4484711300.000,1.65,1.80,1.61,1.80,11.585,197932160.00,600565
603276.SH,恒兴新材,27.10,20240115,62001009.75,10317825.17,51683184.58,日换手率达20%的证券,单日榜,0.16641382473613667,13/48,,-4.443,74,1030169180.000,27.30,29.07,26.40,27.10,9.415,20606225.00,603276
603518.SH,锦泓集团,11.30,20240115,62611040.0,10055870.0,52555170.0,日涨幅偏离值达7%的证券,单日榜,0.16060857637886225,15/48,年报预增+服装,10.029,2220,3881019900.000,11.30,11.30,11.30,11.30,0.000,10163480.00,603518
600828.SH,茂业商业,5.24,20240115,35840810.89,5314172.98,30526637.91,日涨幅偏离值达7%的证券,单日榜,0.14827156105116795,16/48,百货零售+业绩增长,10.084,7271,9072327300.000,5.00,5.24,4.78,5.24,9.664,30596189.00,600828
000638.SZ,万方发展,8.46,20240115,142413834.6,17441405.23,124972429.37,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.12246987997330423,18/48,军工+粮食+生物疫苗+东北国资,10.013,6580,2618806500.000,8.46,8.46,8.08,8.46,4.942,108763050.00,000638
601022.SH,宁波远洋,11.44,20240115,46559465.31,5471990.31,41087475.0,日换手率达20%的证券,单日榜,0.1175269147436865,19/48,,3.156,269,1497076500.000,11.10,11.98,11.00,11.44,8.837,48955169.00,601022
001368.SZ,通达创智,27.08,20240115,23944708.31,1792748.46,22151959.85,日换手率达20%的证券,单日榜,0.07487034031862884,22/48,,1.309,208,758240000.000,26.40,27.32,25.85,27.08,5.499,9111708.00,001368
603707.SH,健友股份,14.19,20240115,192222860.35,2207211.48,190015648.87,日振幅值达15%的证券,单日榜,0.01148256495601565,25/48,,4.492,1580,22925843000.000,12.90,14.91,12.60,14.19,17.010,41486151.00,603707
