股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
000037.SZ,深南电A,11.26,9.961,20240130,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,33780000.0,15.03177,15673,0.006974,33764327.0,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,7185,000037
002116.SZ,中国海诚,14.18,10.008,20240130,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,42181626.2,3.677665,175951,0.015341,42005675.2,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,4124,002116
002116.SZ,中国海诚,14.18,10.008,20240130,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,42181626.2,2.784401,175951,0.011614,42005675.2,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4124,002116
000037.SZ,深南电A,11.26,9.961,20240130,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,33800724.0,2.5334,33165,0.002486,33767559.0,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7185,000037
