股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603065.SH,宿迁联盛,7.90,20240809,21760867.0,15678326.0,6082541.0,日涨幅偏离值达7%的证券,单日榜,0.7204825984185281,1/62,光稳定剂+储能+职业教育,10.028,339,1553720300.000,7.19,7.90,7.19,7.90,9.889,5490734.00,603065
603121.SH,华培动力,7.45,20240809,21760625.53,15013160.73,6747464.8,日涨幅偏离值达7%的证券,单日榜,0.6899232151806621,3/62,汽车零部件+汽车芯片+氢能源,10.044,1354,2522076200.000,6.82,7.45,6.82,7.45,9.306,14831341.00,603121
002405.SZ,四维图新,7.21,20240809,125000059.63,84682812.49,40317247.14,日涨幅偏离值达7%的证券,单日榜,0.6774621767434432,4/62,无人驾驶+中标+低空经济+导航地图,10.076,3459,16802364000.000,6.62,7.21,6.54,7.21,10.229,86281057.00,002405
002717.SZ,岭南股份,1.11,20240809,78963779.38,49662362.49,29301416.89,日振幅值达15%的证券;日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,0.6289258553723497,5/62,低价股+“生态+文旅”+国企,9.901,2552,1626936900.000,0.91,1.11,0.91,1.11,19.802,385630530.00,002717
603978.SH,深圳新星,11.15,20240809,28343328.0,17610366.87,10732961.13,日振幅值达15%的证券,单日榜,0.6213231865361754,6/62,铝晶粒细化剂（可应用于航空航天）+增持+拟剥离部分六氟磷酸锂项目资产,9.961,1704,1850399400.000,9.93,11.15,9.50,11.15,16.272,14131759.00,603978
600843.SH,上工申贝,8.10,20240809,94040164.0,56428765.0,37611399.0,日涨幅偏离值达7%的证券,单日榜,0.6000496234779004,7/62,碳纤维运动飞机+缝纫设备+机器人,10.054,7397,3800704100.000,7.40,8.10,7.40,8.10,9.511,72413118.00,600843
000509.SZ,华塑控股,2.93,20240809,31341687.0,18577590.0,12764097.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5927437792356232,9/62,近期成立公司含卫星通信服务业务+消费电子+数据安全+国企改革,10.150,7603,3144255700.000,2.93,2.93,2.76,2.93,6.391,25481700.00,000509
000011.SZ,深物业A,9.39,20240809,148677908.85,64206769.69,84471139.16,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4318514444185364,12/62,房地产+深圳国资+高股息,9.953,7883,4943605300.000,8.12,9.39,8.02,9.39,16.042,52598276.00,000011
002285.SZ,世联行,2.17,20240809,89470910.47,37667279.65,51803630.82,日振幅值达15%的证券,单日榜,0.42100029442116843,13/62,房地产服务+珠海国资+中报预盈,10.152,3632,4287767200.000,1.90,2.17,1.87,2.17,15.228,161578590.00,002285
000011.SZ,深物业A,9.39,20240809,106510633.85,33262766.57,73247867.28,日振幅值达15%的证券;日涨幅偏离值达7%的证券,单日榜,0.3122952644976678,16/62,房地产+深圳国资+高股息,9.953,7883,4943605300.000,8.12,9.39,8.02,9.39,16.042,52598276.00,000011
600696.SH,岩石股份,9.21,20240809,55879608.26,16532034.51,39347573.75,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.29585093784263405,17/62,白酒+电商,10.036,7461,3080463500.000,8.77,9.21,8.50,9.21,8.483,41357767.00,600696
600686.SH,金龙汽车,16.01,20240809,361096190.78,96411873.63,264684317.15,日换手率达20%的证券,单日榜,0.26699775874606085,18/62,,9.134,7481,11479929100.000,14.68,16.14,14.68,16.01,9.952,198122810.00,600686
600696.SH,岩石股份,9.21,20240809,43655507.98,9337189.95,34318318.03,日涨幅偏离值达7%的证券,单日榜,0.21388343377604652,21/62,白酒+电商,10.036,7461,3080463500.000,8.77,9.21,8.50,9.21,8.483,41357767.00,600696
003026.SZ,中晶科技,32.13,20240809,102789403.0,5648436.07,97140966.93,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,0.054951540773128145,26/62,半导体单晶硅片+芯片概念+汽车电子,9.997,884,2580562200.000,31.07,32.13,31.03,32.13,3.766,27663186.00,003026
603389.SH,亚振家居,6.33,20240809,45531438.5,1604825.0,43926613.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.03524652532118,27/62,智能家居+培育钻石+新零售,10.087,1860,1663220200.000,5.90,6.33,5.70,6.33,10.957,51339910.00,603389
