股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
002823.SZ,凯中精密,13.19,10.008,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,3,13063376.0,4.013717,2835850.0,0.871314,10227526.0,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,1844,002823
603386.SH,骏亚科技,12.29,-3.381,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,66132802.6,8.795607,0.0,0.0,66132802.6,买入金额最大的前5名,日振幅值达15%的证券,单日榜,1647,603386
603386.SH,骏亚科技,12.29,-3.381,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,0.0,0.0,37554056.8,4.994658,-37554056.8,卖出金额最大的前5名,日振幅值达15%的证券,单日榜,1647,603386
603586.SH,金麒麟,16.40,-9.989,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,0.0,0.0,15354853.0,2.650346,-15354853.0,卖出金额最大的前5名,日跌幅偏离值达7%的证券;日振幅值达15%的证券,单日榜,1757,603586
002823.SZ,凯中精密,13.19,10.008,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,4,13063376.0,1.449803,2835850.0,0.314729,10227526.0,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1844,002823
605178.SH,时空科技,18.24,10.012,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,0.0,0.0,13509812.2,3.612746,-13509812.2,卖出金额最大的前5名,日换手率达20%的证券;日涨幅偏离值达7%的证券;日振幅值达15%的证券,单日榜,932,605178
002869.SZ,金溢科技,34.01,0.236,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,5,18088858.0,0.942486,202024.0,0.010526,17886834.0,买入金额最大的前5名,日换手率达20%的证券,单日榜,1731,002869
605178.SH,时空科技,18.24,10.012,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,8362921.2,2.236383,0.0,0.0,8362921.2,买入金额最大的前5名,日换手率达20%的证券;日涨幅偏离值达7%的证券;日振幅值达15%的证券,单日榜,932,605178
605178.SH,时空科技,18.24,10.012,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,4,0.0,0.0,13509812.2,2.24648,-13509812.2,卖出金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,932,605178
605178.SH,时空科技,18.24,10.012,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,8388604.2,1.3949,0.0,0.0,8388604.2,买入金额最大的前5名,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,932,605178
603171.SH,税友股份,28.92,10.004,20240627,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,5,4957232.0,0.989451,0.0,0.0,4957232.0,买入金额最大的前5名,日换手率达20%的证券;日涨幅偏离值达7%的证券,单日榜,726,603171
