股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,营业部净额合计,上市交易日天数,涨跌幅:前复权,涨停原因类别,营业部买入金额合计,营业部卖出金额合计,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,code
000620.SZ,盈新发展,3.03,20260814,322382314.4,205079680.0,117302634.4,日涨幅偏离值达7%的证券,单日榜,0.636138121849776,2/70,205079680.0,7224,10.181818181818175,存储芯片+AI算力+转型科技,322382314.4,117302634.4,14155399000.000,2.77,3.03,2.76,3.03,9.818181818181818,000620
600272.SH,开开实业,17.6,20260814,148824289.6,91129451.72,57694837.88,日换手率达20%的证券;日振幅值达15%的证券,单日榜,0.6123291565169346,3/70,91129451.72,6180,10.000000000000009,SPD+医药商业+资产收购+上海国资,148824289.6,57694837.88,2816000000.000,15.57,17.6,15.04,17.6,16.000000000000014,600272
603618.SH,杭电股份,29.87,20260814,653458598.24,395941795.91,257516802.33,日涨幅偏离值达7%的证券,单日榜,0.6059171873725654,5/70,395941795.91,2792,10.018416206261518,光纤光缆+定增扩产+PCB铜箔,653458598.24,257516802.33,20651390000.000,27.16,29.87,27.15,29.87,10.01841620626152,603618
601609.SH,金田股份,10.95,20260814,150083971.3,85686672.19,64397299.11,日涨幅偏离值达7%的证券,单日榜,0.5709248725749836,6/70,85686672.19,1532,10.050251256281408,算力散热+液冷服务器+铜加工龙头+稀土,150083971.3,64397299.11,18928588000.000,10.1,10.95,10.04,10.95,9.145728643216081,601609
600613.SH,神奇制药,6.41,20260814,62983027.0,34898304.4,28084722.6,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5540906187312972,7/70,34898304.4,8279,9.948542024013722,化学制药+抗肿瘤+感冒止咳,62983027.0,28084722.6,3072441100.000,6.41,6.41,6.41,6.41,0.0,600613
003031.SZ,中瓷电子,130.08,20260814,446184227.31,242340563.21,203843664.1,日涨幅偏离值达7%的证券,单日榜,0.5431401389310576,8/70,242340563.21,1361,10.004228329809736,电子陶瓷+CPO+央企,446184227.31,203843664.1,44247583000.000,120.2,130.08,118.66,130.08,9.657505285412276,003031
600829.SH,人民同泰,11.83,20260814,126306098.0,68557502.0,57748596.0,日涨幅偏离值达7%的证券,单日榜,0.5427885358314212,9/70,68557502.0,7895,10.046511627906977,医药商业+DTP药房+半年报增长,126306098.0,57748596.0,6860082100.000,10.67,11.83,10.3,11.83,14.232558139534879,600829
002724.SZ,海洋王,6.78,20260814,72391422.08,35705037.08,36686385.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.49322193229665034,12/70,35705037.08,2865,10.064935064935067,照明+智慧灯杆+物联网,72391422.08,36686385.0,3849515200.000,6.76,6.78,6.75,6.78,0.48701298701299106,002724
603118.SH,共进股份,17.56,20260814,465881719.73,228506279.9,237375439.83,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.49048131794574373,13/70,228506279.9,2791,10.02506265664159,数据中心交换机+机器人+网通设备+唐山国资,465881719.73,237375439.83,13824574000.000,16.36,17.56,16.27,17.56,8.082706766917287,603118
000831.SZ,中国稀土,60.95,20260814,1124041297.05,521659068.47,602382228.58,日涨幅偏离值达7%的证券,单日榜,0.46409244023246543,16/70,521659068.47,6767,9.998195271611635,稀土+半年报增长+央企,1124041297.05,602382228.58,64681408000.000,55.8,60.95,55.73,60.95,9.420682187330819,000831
002322.SZ,理工能科,13.05,20260814,84350002.0,28099339.94,56250662.06,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3331279107734935,20/70,28099339.94,4045,10.0337268128162,半年报增长+高分红+AI应用,84350002.0,56250662.06,4585521100.000,12.39,13.05,12.16,13.05,7.504215851602029,002322
603118.SH,共进股份,17.56,20260814,256326720.16,78943527.8,177383192.36,日涨幅偏离值达7%的证券,单日榜,0.3079800956791519,21/70,228506279.9,2791,10.02506265664159,数据中心交换机+机器人+网通设备+唐山国资,465881719.73,237375439.83,13824574000.000,16.36,17.56,16.27,17.56,8.082706766917287,603118
603089.SH,正裕工业,9.75,20260814,18605138.0,5528692.59,13076445.41,日涨幅偏离值达7%的证券,单日榜,0.2971594507925714,22/70,5528692.59,2318,10.04514672686231,机器人概念+汽车减震器龙头+定增完成,18605138.0,13076445.41,2340324400.000,8.89,9.75,8.82,9.75,10.496613995485324,603089
002645.SZ,华宏科技,21.48,20260814,234415472.62,49128019.99,185287452.63,日涨幅偏离值达7%的证券,单日榜,0.2095766949208133,27/70,49128019.99,3558,9.984639016897077,稀土永磁+机器人概念+中报预增,234415472.62,185287452.63,14610986000.000,19.61,21.48,19.61,21.48,9.575012800819257,002645
002081.SZ,金螳螂,5.29,20260814,345970774.66,54746002.39,291224772.27,日涨幅偏离值达7%的证券,单日榜,0.15823880628010037,28/70,54746002.39,4797,9.979209979209989,洁净室+参建数据中心+海外业务+建筑装饰龙头,345970774.66,291224772.27,13988047000.000,5.29,5.29,4.65,5.29,13.305613305613301,002081
002329.SZ,皇氏集团,4.27,20260814,104905074.75,11107819.43,93797255.32,日换手率达20%的证券,单日榜,0.10588448134154729,31/70,11107819.43,4033,-7.575757575757588,,104905074.75,93797255.32,2782301800.000,4.16,4.71,4.16,4.27,11.904761904761902,002329
002248.SZ,华东数控,11.78,20260814,108503841.74,9923616.95,98580224.79,日振幅值达15%的证券,单日榜,0.09145866902832117,32/70,9923616.95,4418,0.340715502555359,,108503841.74,98580224.79,3622298200.000,11.66,12.46,10.69,11.78,15.07666098807497,002248
603083.SH,剑桥科技,185.9,20260814,2211441289.02,24274943.58,2187166345.44,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.010976978543598342,33/70,24274943.58,2127,10.000000000000004,高速光模块+CPO+中报预增,2211441289.02,2187166345.44,51231879000.000,170.19,185.9,170.0,185.9,9.408284023668642,603083
601579.SH,会稽山,18.68,20260814,250517289.06,1511685.1,249005603.96,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.00603425458447279,34/70,1511685.1,2910,7.0487106017192005,,250517289.06,249005603.96,8956376500.000,18.0,19.2,17.96,18.68,7.1060171919770685,601579
