股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,营业部净额合计,上市交易日天数,涨跌幅:前复权,涨停原因类别,营业部买入金额合计,营业部卖出金额合计,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,code
002084.SZ,海鸥住工,4.35,20260825,19907670.0,14104835.0,5802835.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.7085125984105624,1/58,14104835.0,4800,10.126582278480997,控制权拟变更+装配式厨卫+越南制造,19907670.0,5802835.0,2804159800.000,4.35,4.35,4.35,4.35,0.0,002084
600487.SH,亨通光电,64.6,20260825,2663983257.26,1849593215.8,814390041.46,日振幅值达15%的证券,单日榜,0.6942961111934206,2/58,1849593215.8,5589,6.900546086380928,,2663983257.26,814390041.46,158505550000.000,58.2,66.37,57.0,64.6,15.505543604170121,600487
002081.SZ,金螳螂,5.5,20260825,395307284.18,267802870.64,127504413.54,日涨幅偏离值达7%的证券,单日榜,0.6774549353309111,3/58,267802870.64,4804,10.0,洁净室+参建数据中心+海外业务+建筑装饰龙头,395307284.18,127504413.54,14543339000.000,4.96,5.5,4.82,5.5,13.599999999999996,002081
603912.SH,佳力图,9.08,20260825,64522767.6,40669581.6,23853186.0,日涨幅偏离值达7%的证券,单日榜,0.6303136569113938,5/58,40669581.6,2141,10.06060606060606,液冷服务器+数据中心+精密空调,64522767.6,23853186.0,4924322700.000,8.07,9.08,8.07,9.08,12.242424242424239,603912
002041.SZ,登海种业,11.21,20260825,277075608.9,167260145.73,109815463.17,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6036624674182932,6/58,167260145.73,5190,10.009813542688924,粮食概念+玉米种业+育繁推一体化,277075608.9,109815463.17,9864800000.000,10.18,11.21,10.16,11.21,10.30421982335624,002041
600103.SH,青山纸业,3.15,20260825,112966820.2,56991752.4,55975067.8,日涨幅偏离值达7%的证券,单日榜,0.5044999257224378,8/58,56991752.4,7069,10.139860139860142,光模块+竹浆纸+福建国资,112966820.2,55975067.8,6968836500.000,2.86,3.15,2.83,3.15,11.188811188811183,600103
603113.SH,金能科技,5.48,20260825,46023335.0,20833620.0,25189715.0,日涨幅偏离值达7%的证券,单日榜,0.4526751483785345,10/58,20833620.0,2258,10.04016064257028,烯烃+循环化工+焦炭,46023335.0,25189715.0,4649728600.000,4.88,5.48,4.87,5.48,12.248995983935748,603113
002703.SZ,浙江世宝,15.87,20260825,213933223.04,80055329.32,133877893.72,日涨幅偏离值达7%的证券,单日榜,0.374207092205738,13/58,80055329.32,3355,9.979209979209976,无人驾驶+线控转向+车企配套+半年报增长,213933223.04,133877893.72,9300582900.000,14.1,15.87,13.92,15.87,13.513513513513509,002703
002837.SZ,英维克,60.23,20260825,1011305223.46,368664164.52,642641058.94,日涨幅偏离值达7%的证券,单日榜,0.36454292528884746,15/58,368664164.52,2344,10.009132420091317,Q2回升+液冷服务器+英伟达生态,1011305223.46,642641058.94,68255051000.000,53.54,60.23,53.01,60.23,13.187214611872145,002837
600127.SH,金健米业,9.31,20260825,296596396.93,103631801.02,192964595.91,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,0.34940343878977814,16/58,103631801.02,6866,10.047281323877064,粮油食品+大健康食品+国企,296596396.93,192964595.91,5975001800.000,8.46,9.31,8.46,9.31,10.047281323877064,600127
601869.SH,长飞光纤,394.5,20260825,855679964.6,141065912.19,714614052.41,日振幅值达15%的证券,单日榜,0.1648582624649197,24/58,141065912.19,1965,4.037553732957093,,855679964.6,714614052.41,160300460000.000,360.0,411.11,345.01,394.5,17.431894301010054,601869
002445.SZ,中南文化,3.71,20260825,17410862.0,2398216.9,15012645.1,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.13774257127533374,25/58,2398216.9,3916,10.089020771513349,重组+拟并购热电+火电热力+金属管件,17410862.0,15012645.1,8778803200.000,3.71,3.71,3.71,3.71,0.0,002445
002437.SZ,誉衡药业,4.3,20260825,410360113.99,55695778.41,354664335.58,日换手率达20%的证券,单日榜,0.1357241518150013,26/58,55695778.41,3930,9.137055837563448,,410360113.99,354664335.58,9030661600.000,3.95,4.33,3.86,4.3,11.92893401015229,002437
002636.SZ,金安国纪,64.06,20260825,565719204.23,55712501.5,510006702.73,日振幅值达15%的证券,单日榜,0.0984808383442281,29/58,55712501.5,3582,5.9368281792624495,,565719204.23,510006702.73,46399646000.000,58.83,66.52,57.8,64.06,14.420373739044154,002636
000506.SZ,招金黄金,20.61,20260825,247536647.28,15959371.8,231577275.48,日跌幅偏离值达7%的证券,单日榜,0.06447276383261193,30/58,15959371.8,8137,-7.743957027752912,,247536647.28,231577275.48,19140650000.000,22.3,22.3,20.3,20.61,8.952551477170994,000506
601069.SH,西部黄金,31.38,20260825,168720748.83,3928115.96,164792632.87,日跌幅偏离值达7%的证券,单日榜,0.02328175987387241,32/58,3928115.96,2817,-7.922535211267604,,168720748.83,164792632.87,27839973000.000,33.0,33.26,30.68,31.38,7.570422535211263,601069
