股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
603125.SH,常青科技,22.57,5.714,20240527,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,4,5749552.05,1.583063,0,0.0,5749552.05,买入金额最大的前5名,日换手率达20%的证券,单日榜,273,603125
002455.SZ,百川股份,13.13,9.967,20240527,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,3,42939450.35,2.026303,22439481,1.058914,20499969.35,卖出金额最大的前5名,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,3354,002455
002455.SZ,百川股份,13.13,9.967,20240527,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,3,42939450.35,2.026303,22439481,1.058914,20499969.35,买入金额最大的前5名,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,3354,002455
