股票代码,股票简称,最新价,最新涨跌幅,上榜日期,营业部名称,营业部类型,营业部排名,营业部买入金额,该营业部买入金额占总成交比例,营业部卖出金额,该营业部卖出金额占总成交比例,营业部净额,营业部买卖方向,上榜原因,营业部上榜类型,上市交易日天数,code
000638.SZ,万方发展,7.69,10.014,20240112,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,2,23056669,6.600006,145970,0.041784,22910699,买入金额最大的前5名,日涨幅偏离值达7%的证券,单日榜,6579,000638
003015.SZ,日久光电,13.05,5.327,20240112,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,4,14174099,1.244964,17703310,1.554948,-3529211,买入金额最大的前5名,日振幅值达15%的证券;日换手率达20%的证券,单日榜,788,003015
003015.SZ,日久光电,13.05,5.327,20240112,财通证券股份有限公司杭州上塘路证券营业部,游资营业部,1,14174099,1.244964,17703310,1.554948,-3529211,卖出金额最大的前5名,日振幅值达15%的证券;日换手率达20%的证券,单日榜,788,003015
