股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
002229.SZ,鸿博股份,13.13,20250428,110821259.0,94202465.0,16618794.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4126,9.966499162,一季报同比扭亏为盈+算力+彩票+无实控人,0.8500396571022533,1/88,6475247300.000,13.13,13.13,13.13,13.13,0.000,8760218,002229
603605.SH,珀莱雅,93.18,20250428,1195774260.99,956289129.93,239485131.06,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1808,9.998819502,一季报增长+化妆品,0.7997237949730356,2/88,36843846000.000,86.3,93.18,85.98,93.18,8.500,27773651,603605
601956.SH,东贝集团,7.48,20250428,56491714.0,40807446.0,15684268.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1050,10,人形机器人+蜜雪冰城供应商+跨境电商,0.7223616192633135,4/88,4627337800.000,7.48,7.48,7.48,7.48,0.000,6370650,601956
600539.SH,狮头股份,11.52,20250428,27528727.0,17040727.0,10488000.0,日涨幅偏离值达7%的证券,单日榜,5742,10.028653295,一季报扭亏+重大资产重组+电子商务+宠物经济,0.6190161644597659,5/88,2649600000.000,10.65,11.52,10.65,11.52,8.310,6318501,600539
002564.SZ,天沃科技,5.83,20250428,101491804.0,61994256.0,39497548.0,日涨幅偏离值达7%的证券,单日榜,3435,10,摘帽+高端装备+业绩增长+上海国企改革,0.6108301710747007,6/88,5007413100.000,5.28,5.83,5.2,5.83,11.887,103768082,002564
600589.SH,大位科技,7,20250428,209069604.0,122763207.0,86306397.0,日涨幅偏离值达7%的证券,单日榜,5795,10.062893082,一季报增长+数据中心+算力+完成重整,0.5871882122089828,7/88,10349289200.000,6.6,7,6.59,7,6.447,179666000,600589
000565.SZ,渝三峡A,6.24,20250428,60850605.72,29274417.16,31576188.56,日振幅值达15%的证券,单日榜,7541,10.052910053,涂料制造+氢能源+国企改革,0.4810867010051515,9/88,2705615500.000,5.48,6.24,5.26,6.24,17.284,46365709,000565
000565.SZ,渝三峡A,6.24,20250428,72044653.27,34379543.68,37665109.59,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7541,10.052910053,涂料制造+氢能源+国企改革,0.4771977116907846,10/88,2705615500.000,5.48,6.24,5.26,6.24,17.284,46365709,000565
000691.SZ,亚太实业,3.18,20250428,51240682.0,23750744.0,27489938.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6831,10.034602076,农药中间体+精细化工+医药中间体+退市风险警示博弈,0.4635134247432538,11/88,1027998600.000,2.6,3.18,2.6,3.18,20.069,62346769,000691
000993.SZ,闽东电力,11.95,20250428,192470670.9,81986155.23,110484515.67,日振幅值达15%的证券,单日榜,6000,9.834558824,,0.4259670049812249,13/88,5254983500.000,10.78,11.97,10.4,11.95,14.430,91138643,000993
000993.SZ,闽东电力,11.95,20250428,325456272.92,130618458.13,194837814.79,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6000,9.834558824,,0.4013395008739228,15/88,5254983500.000,10.78,11.97,10.4,11.95,14.430,91138643,000993
002915.SZ,中欣氟材,17.66,20250428,214064568.35,83530232.35,130534336.0,日振幅值达15%的证券,单日榜,1794,5.244338498,,0.39021045376097147,17/88,5091490600.000,16.8,18.45,15.98,17.66,14.720,97043934,002915
002908.SZ,德生科技,9.66,20250428,95760575.62,32160344.62,63600231.0,日涨幅偏离值达7%的证券,单日榜,1826,10.022779043,AI智能体+AI应用+社保民生,0.33584117902151767,19/88,3020381700.000,8.73,9.66,8.73,9.66,10.592,46991998,002908
002809.SZ,红墙股份,11.83,20250428,49742121.73,12719060.78,37023060.95,日振幅值达15%的证券;日换手率达20%的证券,单日榜,2106,-3.112203112,,0.2557000050990788,23/88,1629406900.000,11.45,12.79,10.99,11.83,14.742,51715037,002809
002354.SZ,天娱数科,6.56,20250428,285785582.0,66655640.76,219129941.24,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3693,10.067114094,AI应用+人形机器人+营收增长,0.23323654151314044,24/88,10616267600.000,6.02,6.56,5.94,6.56,10.403,330435300,002354
600822.SH,上海物贸,11.59,20250428,96806826.0,20916011.02,75890814.98,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7588,9.962049336,上海国资+汽车贸易+数据要素,0.21605925825932976,25/88,4591354300.000,11.03,11.59,10.62,11.59,9.203,61403972,600822
