股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,营业部净额合计,上市交易日天数,涨跌幅:前复权,涨停原因类别,营业部买入金额合计,营业部卖出金额合计,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,code
002248.SZ,华东数控,11.06,20260811,211576508.2,153609641.2,57966867.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.726024087016292,3/68,153609641.2,4415,10.049751243781092,工业母机+谐波减速器+圆台磨床中标,211576508.2,57966867.0,3400901300.000,10.94,11.06,10.81,11.06,2.487562189054726,002248
603284.SH,林平发展,44.44,20260811,47523618.73,26839833.65,20683785.08,日换手率达20%的证券,单日榜,0.5647683061024339,7/68,26839833.65,120,9.999999999999998,造纸+产能扩张+循环经济+次新股,47523618.73,20683785.08,837858430.000,40.35,44.44,40.18,44.44,10.54455445544554,603284
002229.SZ,鸿博股份,11.74,20260811,181467846.23,99509339.59,81958506.64,日涨幅偏离值达7%的证券,单日榜,0.5483579689587414,8/68,99509339.59,4439,10.028116213683226,算力租赁+彩票印刷,181467846.23,81958506.64,5789653400.000,10.68,11.74,10.5,11.74,11.621368322399253,002229
600611.SH,大众交通,5.02,20260811,152586690.61,80081050.73,72505639.88,日涨幅偏离值达7%的证券,单日榜,0.5248233014941066,9/68,80081050.73,8285,10.087719298245615,无人驾驶+上海出租车+间接投资长江存储+算力,152586690.61,72505639.88,7847848100.000,4.54,5.02,4.5,5.02,11.403508771929815,600611
603797.SH,联泰环保,5.05,20260811,62060442.38,28453686.58,33606755.8,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4584834636816844,11/68,17361673.9,2267,10.021786492374728,污水处理+PPP项目+估值提升,38873763.9,21512090.0,2911856200.000,4.68,5.05,4.66,5.05,8.496732026143784,603797
603797.SH,联泰环保,5.05,20260811,38873763.9,17361673.9,21512090.0,日涨幅偏离值达7%的证券,单日榜,0.44661674502787213,12/68,17361673.9,2267,10.021786492374728,污水处理+PPP项目+估值提升,38873763.9,21512090.0,2911856200.000,4.68,5.05,4.66,5.05,8.496732026143784,603797
605288.SH,凯迪股份,63.39,20260811,49758498.0,19184794.0,30573704.0,日振幅值达15%的证券,单日榜,0.38555814124453675,14/68,19184794.0,1504,9.994794377928159,机器人+智能线性驱动+新能源汽车,49758498.0,30573704.0,6229872700.000,57.05,63.39,55.0,63.39,14.558389727572447,605288
600664.SH,哈药股份,8.27,20260811,995423700.99,318378167.34,677045533.65,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3198418593241818,16/68,318378167.34,8058,9.97340425531915,创新药+集采拟中标+半年报预增,995423700.99,677045533.65,20828077000.000,7.76,8.27,7.76,8.27,6.781914893617019,600664
600664.SH,哈药股份,8.27,20260811,966978543.99,304122952.46,662855591.53,日换手率达20%的证券,单日榜,0.31450848041065227,17/68,318378167.34,8058,9.97340425531915,创新药+集采拟中标+半年报预增,995423700.99,677045533.65,20828077000.000,7.76,8.27,7.76,8.27,6.781914893617019,600664
600667.SH,太极实业,21.2,20260811,910385168.75,283556485.07,626828683.68,日涨幅偏离值达7%的证券,单日榜,0.31146870006607846,18/68,283556485.07,8037,10.01556824078879,存储芯片+先进封装+SK海力士+无锡国资,910385168.75,626828683.68,44340694000.000,18.84,21.2,18.8,21.2,12.454592631032686,600667
603538.SH,美诺华,30.3,20260811,372250188.0,115632919.77,256617268.23,日换手率达20%的证券,单日榜,0.3106322669473037,19/68,115632919.77,2271,3.7671232876712377,,372250188.0,256617268.23,10208674500.000,28.6,31.42,28.58,30.3,9.726027397260285,603538
001258.SZ,立新能源,15.93,20260811,700573638.83,212210442.77,488363196.06,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.302909545846464,20/68,20712602.26,980,10.013812154696128,半年报增长+风电+光伏+新疆国资,443300628.83,422588026.57,14867813000.000,14.0,15.93,13.1,15.93,19.544198895027623,001258
000859.SZ,国风新材,10.48,20260811,236550667.44,70761700.02,165788967.42,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2991397182929039,21/68,70761700.02,6717,9.968520461699908,光刻胶+MLCC+聚酰亚胺+并购重组,236550667.44,165788967.42,9389296800.000,9.56,10.48,9.53,10.48,9.968520461699907,000859
600162.SH,香江控股,4.29,20260811,292203285.05,51534656.07,240668628.98,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.1763657655703005,28/68,51534656.07,6832,10.000000000000004,算力+IDC+家居商贸+房地产,292203285.05,240668628.98,14021600000.000,3.86,4.29,3.86,4.29,11.025641025641029,600162
