股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603011.SH,合锻智能,27.41,20260601,538284030.33,430315955.46,107968074.87,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2809,9.991974317817007,光模块结构件+CCL/PCB层压设备+高端成形机床,0.799421738735572,2/103,13551900000.000,25.67,27.41,25.65,27.41,7.063,34559832,603011
002613.SZ,北玻股份,4.87,20260601,170244832.09,122191184.59,48053647.5,日振幅值达15%的证券,单日榜,3579,9.932279909706557,玻璃深加工+钙钛矿设备+出海,0.7177379958611817,5/103,3767782200.000,4.25,4.87,4.18,4.87,15.576,153509880,002613
600981.SH,苏豪汇鸿,2.72,20260601,38737927.68,25376111.84,13361815.84,日涨幅偏离值达7%的证券,单日榜,5325,10.121457489878543,大宗商品供应链+跨境电商+江苏国资,0.6550714857444847,6/103,6099418300.000,2.46,2.72,2.44,2.72,11.336,26726419,600981
600758.SH,辽宁能源,5.16,20260601,186069652.93,111714040.63,74355612.3,日振幅值达15%的证券,单日榜,7171,10.021321961620462,电力+煤炭+辽宁国企,0.6003882893898188,7/103,6815035900.000,4.69,5.16,4.44,5.16,15.352,207045070,600758
000722.SZ,湖南发展,16.26,20260601,287346804.69,164205605.99,123141198.7,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7037,10.01353179972938,水电并购+绿色电力+国企改革,0.5714544352325438,8/103,7547213700.000,14.9,16.26,14.56,16.26,11.502,54735941,000722
002181.SZ,粤传媒,18.16,20260601,344497205.82,185547150.5,158950055.32,日涨幅偏离值达7%的证券,单日榜,4503,9.993943064809198,世界杯+AI视频/短剧+国企改革,0.5386027734487592,10/103,20603194000.000,16.51,18.16,16.15,18.16,12.174,148963220,002181
600121.SH,郑州煤电,4.7,20260601,110539250.84,59234110.53,51305140.31,日涨幅偏离值达7%的证券,单日榜,6880,10.070257611241232,煤炭+机器人+算力中心+郑州国资,0.5358649536691577,11/103,5726536600.000,4.27,4.7,4.22,4.7,11.241,123176749,600121
600280.SH,中央商场,3.52,20260601,57014139.0,30406491.0,26607648.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6222,9.999999999999995,百货零售+罗森便利店+中华老字号,0.5333149203568609,12/103,3971738500.000,3.36,3.52,3.29,3.52,7.188,84658500,600280
002552.SZ,宝鼎科技,57.93,20260601,736966116.96,381477353.14,355488763.82,日振幅值达15%的证券,单日榜,3707,0.39861351819756824,,0.5176321466631352,14/103,21347396000.000,51.93,62.09,51.93,57.93,17.608,45285602,002552
603890.SH,春秋电子,27.29,20260601,264986798.88,130155439.88,134831359.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2052,9.995969367190652,AIPC镁合金+戴尔产业链+人形机器人,0.4911770715753325,16/103,12193401300.000,27.29,27.29,27.29,27.29,0.000,4326114,603890
600503.SH,华丽家族,2.92,20260601,51606467.0,24046622.0,27559845.0,日涨幅偏离值达7%的证券,单日榜,5801,10.18867924528302,机器人+创新药+房地产,0.4659614075111943,17/103,4678686800.000,2.66,2.92,2.55,2.92,13.962,79569453,600503
001896.SZ,豫能控股,17.65,20260601,597923134.13,237494324.55,360428809.58,日振幅值达15%的证券,单日榜,6869,7.81918142944409,,0.397198755146952,21/103,26930040000.000,16.4,18.01,15.09,17.65,17.838,269803510,001896
600798.SH,宁波海运,3.81,20260601,50574419.93,17625564.66,32948855.27,日涨幅偏离值达7%的证券,单日榜,7056,10.115606936416187,航运+增持+国资,0.3485075001234918,24/103,4596895300.000,3.46,3.81,3.45,3.81,10.405,70759346,600798
000636.SZ,风华高科,55.05,20260601,3585683059.87,1249010667.26,2336672392.61,日振幅值达15%的证券,单日榜,7148,3.8091646237978427,,0.34833270158162927,25/103,63693572000.000,48.98,58.26,48.98,55.05,17.500,258333590,000636
000037.SZ,深南电A,12.65,20260601,350444355.28,116894655.97,233549699.31,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7745,10.000000000000002,电力+综合能源+储能+一季报扭亏,0.33356124648263447,26/103,4287188100.000,12.25,12.65,11.31,12.65,11.652,103259609,000037
600403.SH,大有能源,5.56,20260601,58969249.0,19117013.0,39852236.0,日涨幅偏离值达7%的证券,单日榜,5500,10.099009900990096,煤炭+河南国资重组+国企改革,0.32418613640475563,27/103,13292917000.000,5.06,5.56,5.01,5.56,10.891,44083400,600403
000767.SZ,晋控电力,6.14,20260601,1054420338.1,336714562.83,717705775.27,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7025,10.035842293906802,火电灵活性改造+山西最大电企+山西国资,0.3193361799495813,28/103,17881193000.000,6.14,6.14,5.5,6.14,11.470,687078930,000767
601918.SH,新集能源,11.28,20260601,689456169.68,200371585.26,489084584.42,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4480,10.048780487804873,煤电一体化+电力+央企改革,0.29062265894726746,30/103,29221312000.000,10.28,11.28,10.11,11.28,11.415,146857804,601918
002579.SZ,中京电子,18.87,20260601,417491095.36,86305686.45,331185408.91,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,3660,10.02915451895045,AIPC+PCB+高阶HDI+定增扩产,0.20672461618751206,36/103,11008982400.000,17.36,18.87,17.35,18.87,8.863,208073190,002579
600539.SH,狮头股份,16.02,20260601,66282793.89,11907814.89,54374979.0,日振幅值达15%的证券,单日榜,6005,10.027472527472522,拟收购利柏科技+AI应用+机器视觉+锂电池订单,0.17965167415485964,39/103,3684600000.000,13.36,16.02,13.36,16.02,18.269,24426064,600539
003004.SZ,声迅股份,65.68,20260601,175137301.85,29712380.19,145424921.66,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1334,9.998325238653502,智能安防+智慧停车+低空经济+摘帽,0.16965192381145502,41/103,4514985300.000,59.71,65.68,59.71,65.68,9.998,3974553,003004
600162.SH,香江控股,2.92,20260601,146891719.37,24350743.07,122540976.3,日振幅值达15%的证券,单日榜,6782,4.659498207885301,,0.16577342258935532,42/103,9543839300.000,2.75,3.06,2.51,2.92,19.713,503323162,600162
600863.SH,华能蒙电,7.92,20260601,886203139.72,135875256.53,750327883.19,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7782,8.493150684931509,,0.15332292387604315,44/103,51692951000.000,7.66,8.03,7.0,7.92,14.110,779038116,600863
002081.SZ,金螳螂,6.78,20260601,435558694.18,39532541.19,396026152.99,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,4744,10.064935064935067,中标2.94亿+洁净室+城市更新+建筑装饰,0.09076283338672764,48/103,17927970000.000,6.29,6.78,6.17,6.78,9.903,633493830,002081
002081.SZ,金螳螂,6.78,20260601,657091022.56,49212826.68,607878195.88,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4744,10.064935064935067,中标2.94亿+洁净室+城市更新+建筑装饰,0.07489499169881948,52/103,17927970000.000,6.29,6.78,6.17,6.78,9.903,633493830,002081
002951.SZ,金时科技,19.4,20260601,179497393.2,12518391.2,166979002.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1748,9.977324263038538,超级电容+储能电站+间接投资光纤公司,0.06974135377025631,53/103,7781813800.000,17.16,19.4,17.01,19.4,13.549,27901208,002951
