股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600753.SH,庚星股份,5.45,20240806,17558475.0,11581871.54,5976603.46,日涨幅偏离值达7%的证券,单日榜,0.6596171672084278,1/66,内部控制权争夺+大宗商品供应链+战略转型,10.101,6753,1171968000.000,4.96,5.45,4.91,5.45,10.909,7248000.00,600753
603660.SH,苏州科达,5.45,20240806,39587710.0,22387510.0,17200200.0,日涨幅偏离值达7%的证券,单日榜,0.5655166717145296,4/66,亿飞智能合作+智能交通+多模态AI+GPU服务器,10.101,1867,2694055600.000,5.45,5.45,5.45,5.45,0.000,13574100.00,603660
600107.SH,美尔雅,3.47,20240806,24690545.7,13531578.7,11158967.0,日涨幅偏离值达7%的证券,单日榜,0.5480469676293951,5/66,低价微盘股+服装服饰+医药电商+天然气+期货,10.159,6485,1249200000.000,3.22,3.47,3.22,3.47,7.937,21263877.00,600107
002072.SZ,凯瑞德,3.84,20240806,24173080.0,12812962.0,11360118.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.530050866501083,6/66,拟收购国网电力股权+低价微盘股+煤炭贸易+半年报预计扭亏,10.029,4330,987677950.000,3.84,3.84,3.84,3.84,0.000,2448000.00,002072
002865.SZ,钧达股份,42.06,20240806,149267044.4,71760717.18,77506327.22,日涨幅偏离值达7%的证券,单日榜,0.48075392306756226,9/66,光伏+BC电池+钙钛矿电池+拟港交所上市,9.990,1772,9432802700.000,38.86,42.06,38.79,42.06,8.551,20740064.00,002865
002659.SZ,凯文教育,4.11,20240806,72852109.0,28296204.0,44555905.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3884061064038654,12/66,教育+北京海淀区国资委赴海国投座谈,9.893,3017,2458835800.000,3.79,4.11,3.65,4.11,12.300,88591101.00,002659
600721.SH,百花医药,8.00,20240806,69617528.59,24113921.09,45503607.5,日振幅值达15%的证券,单日榜,0.346377149238012,13/66,,1.523,6820,3055946200.000,7.50,8.67,7.18,8.00,18.909,109778592.00,600721
600336.SH,澳柯玛,5.25,20240806,30156355.25,8846562.75,21309792.5,日涨幅偏离值达7%的证券,单日榜,0.29335649738374797,15/66,制冷电器+机器人+跨境电商+青岛国资,10.063,5722,4189577500.000,4.80,5.25,4.77,5.25,10.063,33543063.00,600336
002329.SZ,皇氏集团,3.33,20240806,63205751.0,17261917.66,45943833.34,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.27310675669370654,16/66,乳业+跨境电商+光伏,9.901,3543,2193334900.000,3.09,3.33,3.07,3.33,8.581,93697978.00,002329
002607.SZ,中公教育,2.43,20240806,369771418.63,99896798.05,269874620.58,日振幅值达15%的证券;日涨幅偏离值达7%的证券,单日榜,0.2701582464651184,17/66,职业教育+增持+辟谣破产等传闻,9.955,3156,11827683200.000,2.43,2.43,2.06,2.43,16.742,1396783500.00,002607
600576.SH,祥源文旅,4.84,20240806,56747864.2,15034655.49,41713208.71,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2649378210431398,18/66,休闲度假型旅游+游戏+动漫版权,10.000,5216,3258122700.000,4.83,4.84,4.46,4.84,8.636,58198822.00,600576
600661.SH,昂立教育,11.74,20240806,101392634.14,24628359.14,76764275.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.24290087094486448,19/66,K12教育+AI教育,10.028,7582,3364083300.000,10.96,11.74,10.32,11.74,13.308,35613760.00,600661
002389.SZ,航天彩虹,15.06,20240806,77965083.0,17137004.0,60828079.0,日涨幅偏离值达7%的证券,单日榜,0.21980357540310705,20/66,无人机+光伏+低空经济+央企,10.007,3480,14921797000.000,13.78,15.06,13.78,15.06,9.350,62175758.00,002389
000901.SZ,航天科技,12.70,20240806,248753456.4,26783488.61,221969967.79,日换手率达20%的证券,单日榜,0.10767081992594174,30/66,,5.569,6149,10137055900.000,13.00,13.23,11.53,12.70,14.131,246279980.00,000901
600789.SH,鲁抗医药,9.07,20240806,179619192.87,15049575.95,164569616.92,日换手率达20%的证券,单日榜,0.08378601256098607,31/66,,3.539,6659,8137265300.000,8.97,9.60,8.45,9.07,13.128,298810450.00,600789
002168.SZ,惠程科技,2.94,20240806,47152047.0,2136725.0,45015322.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.045315636031665815,33/66,,8.889,4103,2300027900.000,2.81,2.97,2.74,2.94,8.519,119483407.00,002168
