股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603386.SH,骏亚科技,12.17,20240710,91528539.6,68635637.8,22892901.8,日涨幅偏离值达7%的证券,单日榜,0.7498823656528657,3/75,PCB+毫米波雷达+汽车电子+华为,10.036,1656,3971345600.000,10.71,12.17,10.70,12.17,13.291,28181798.00,603386
603051.SH,鹿山新材,22.50,20240710,17434892.0,12908591.0,4526301.0,日涨幅偏离值达7%的证券,单日榜,0.7403883545708226,5/75,半年报预增+BC电池+POE胶膜,10.024,556,1112908010.000,21.38,22.50,20.53,22.50,9.633,2025600.00,603051
600650.SH,锦江在线,8.57,20240710,35864420.95,21547759.95,14316661.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6008115948683677,7/75,小马智行合作+车辆营运+出租车+国企,10.013,7568,3347099800.000,8.57,8.57,8.57,8.57,0.000,4174914.00,600650
002916.SZ,深南电路,120.73,20240710,388393847.1,197712967.03,190680880.07,日涨幅偏离值达7%的证券,单日榜,0.5090527785294567,10/75,半年报预增+PCB+数据中心+央企,10.005,1595,61673054000.000,115.00,120.73,114.89,120.73,5.321,15259468.00,002916
002906.SZ,华阳集团,28.91,20240710,93856632.95,31943247.7,61913385.25,日涨幅偏离值达7%的证券,单日榜,0.34034086559462495,13/75,百度无人驾驶+汽车电子+华为汽车,10.008,1638,15161685000.000,26.71,28.91,26.60,28.91,8.790,15934194.00,002906
600711.SH,盛屯矿业,4.68,20240710,95641462.8,31646646.72,63994816.08,日涨幅偏离值达7%的证券,单日榜,0.33088835943651,14/75,半年报预增+金属+黄金,10.118,6819,14614092000.000,4.68,4.68,4.68,4.68,0.000,43421510.00,600711
002036.SZ,联创电子,7.27,20240710,83305539.87,15403012.44,67902527.43,日涨幅偏离值达7%的证券,单日榜,0.18489781668826244,19/75,半年报预计减亏+虚拟现实+光学光电子+无人驾驶,9.985,4822,7659097900.000,6.74,7.27,6.67,7.27,9.077,65548412.00,002036
002823.SZ,凯中精密,17.55,20240710,128327829.45,20179347.85,108148481.6,日涨幅偏离值达7%的证券,单日榜,0.1572484155345464,20/75,预计半年报大增+收到项目定点+核心精密零组件+新能源汽车,10.031,1853,3516289100.000,16.87,17.55,16.75,17.55,5.016,36883777.00,002823
600297.SH,广汇汽车,0.79,20240710,51484651.33,4537234.48,46947416.85,日振幅值达15%的证券,单日榜,0.08812790536188721,23/75,,-3.659,5734,6548743500.000,0.74,0.88,0.74,0.79,17.073,955800180.00,600297
000861.SZ,海印股份,0.75,20240710,69984018.41,4782081.49,65201936.92,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,0.06833105041188503,25/75,,-5.063,6227,1790098000.000,0.72,0.83,0.71,0.75,15.190,349970710.00,000861
600611.SH,大众交通,3.53,20240710,131404714.66,7467991.12,123936723.54,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.056831987644605265,26/75,网约车+交通运输+数据中心,9.969,7779,5518506800.000,3.53,3.53,3.53,3.53,0.000,100799022.00,600611
600811.SH,东方集团,0.80,20240710,20297121.74,273923.47,20023198.27,日振幅值达15%的证券,单日榜,0.013495680496420966,28/75,,-4.762,7416,2926995900.000,0.78,0.88,0.76,0.80,14.286,357786100.00,600811
