股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
002642.SZ,荣联科技,6.49,20240821,101617926.0,70145843.05,31472082.95,日涨幅偏离值达7%的证券,单日榜,0.6902900483326141,2/57,华为+星闪+车联网+国资云,10.000,3079,3925392300.000,5.86,6.49,5.82,6.49,11.356,67421104,002642
000678.SZ,襄阳轴承,4.55,20240821,34982414.73,22524845.73,12457569.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6438905348258674,3/57,汽车轴承+减速器+供货金龙汽车,9.903,6697,2091233700.000,4.55,4.55,4.55,4.55,0.000,20790101,000678
600650.SH,锦江在线,12.72,20240821,95397049.85,57336347.85,38060702.0,日涨幅偏离值达7%的证券,单日榜,0.6010285217431177,5/57,无人出租车+车辆营运+上海国资,10.035,7598,4967924200.000,11.33,12.72,11.33,12.72,12.024,47295946,600650
600650.SH,锦江在线,12.72,20240821,182918966.29,107939042.29,74979924.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5900921292047611,7/57,无人出租车+车辆营运+上海国资,10.035,7598,4967924200.000,11.33,12.72,11.33,12.72,12.024,47295946,600650
002600.SZ,领益智造,7.16,20240821,389432229.76,161078434.56,228353795.2,日涨幅偏离值达7%的证券,单日榜,0.41362378932855587,12/57,果链+苹果Vision Pro+人形机器人,9.985,3185,49357728000.000,6.49,7.16,6.44,7.16,11.060,331653510,002600
002861.SZ,瀛通通讯,10.7,20240821,29063807.0,10950359.4,18113447.6,日换手率达20%的证券,单日榜,0.3767696159006286,13/57,,4.902,1791,1278039860.000,10,10.9,9.86,10.7,10.196,28705352,002861
600187.SH,国中水务,3.65,20240821,123828042.0,46329197.0,77498845.0,日换手率达20%的证券,单日榜,0.3741414000554091,14/57,拟控股北京汇源+污水处理+储能,9.940,6247,5890301000.000,3.39,3.65,3.31,3.65,10.241,356209422,600187
600187.SH,国中水务,3.65,20240821,312521601.0,108527214.68,203994386.32,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3472630830404584,15/57,拟控股北京汇源+污水处理+储能,9.940,6247,5890301000.000,3.39,3.65,3.31,3.65,10.241,356209422,600187
001298.SZ,好上好,27.84,20240821,121378450.31,36737877.73,84640572.58,日换手率达20%的证券;日涨幅偏离值达7%的证券,单日榜,0.30267215997709335,17/57,华为海思+存储芯片+AI眼镜+分销+外销,9.996,442,2928661800.000,24.55,27.84,24.55,27.84,12.999,43136199,001298
000755.SZ,山西高速,4.86,20240821,97909102.84,27747368.55,70161734.29,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2833992728474275,18/57,,7.049,6585,2964813500.000,4.99,4.99,4.65,4.86,7.489,76277815,000755
003001.SZ,中岩大地,22.27,20240821,70542650.46,18143068.95,52399581.51,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.2571929014814622,19/57,,9.327,940,1629524900.000,20.01,22.41,19.7,22.27,13.304,11348388,003001
603990.SH,麦迪科技,7.69,20240821,24294492.7,5819144.9,18475347.8,日涨幅偏离值达7%的证券,单日榜,0.23952526903350407,21/57,机器人+低空经济+华为+医疗管理信息系统,10.014,1873,2355314200.000,6.99,7.69,6.95,7.69,10.587,15202884,603990
002370.SZ,亚太药业,3.13,20240821,33971639.21,7752205.1,26219434.11,日振幅值达15%的证券,单日榜,0.22819638028294012,22/57,,1.623,3510,1906733700.000,2.9,3.25,2.8,3.13,14.610,92521038,002370
603666.SH,亿嘉和,16.46,20240821,65145530.96,13318954.15,51826576.81,日涨幅偏离值达7%的证券,单日榜,0.20444923778697835,23/57,人形机器人+多模态AI,10.027,1506,3398838800.000,14.76,16.46,14.52,16.46,12.968,25844539,603666
002667.SZ,威领股份,6.19,20240821,60477664.9,9111680.9,51365984.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.1506619165119254,24/57,锂电池+储能+机械设备,9.947,3014,1460503300.000,5.65,6.19,5.47,6.19,12.789,40950814,002667
000016.SZ,深康佳A,2.9,20240821,121885035.33,7061999.61,114823035.72,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.05793984135033356,30/57,,7.407,7892,4630122000.000,2.76,2.92,2.7,2.9,8.148,151713780,000016
605177.SH,东亚药业,21.18,20240821,17701522.0,74971.0,17626551.0,日涨幅偏离值达7%的证券,单日榜,0.004235285530814808,31/57,合成生物+化学原料药+医药中间体,10.026,909,2430475600.000,19.27,21.18,19.02,21.18,11.221,3868600,605177
