股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600775.SH,南京熊猫,12.17,20241125,180461802.0,124579015.19,55882786.81,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6903345406580834,2/97,脑机接口+北斗+机器人+央企,10.036166365,6792,8176274900.000,12.17,12.17,12.16,12.17,0.090,26690307,600775
603015.SH,弘讯科技,12.85,20241125,75866838.0,52100724.0,23766114.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6867390993677633,3/97,机器人+工业互联网+核聚变电源,10.017123288,2369,5194214200.000,12.85,12.85,12.85,12.85,0.000,4353000,603015
002862.SZ,实丰文化,32.78,20241125,52447404.0,31244406.0,21202998.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5957283605495517,5/97,宝可梦IP+玩具+机器人+光伏+充电桩,10,1854,2956004800.000,32.78,32.78,32.78,32.78,0.000,567300,002862
600960.SH,渤海汽车,4.02,20241125,21786009.0,12792174.32,8993834.68,日涨幅偏离值达7%的证券,单日榜,0.5871738288550234,6/97,汽车零部件+机器人+华为汽车+北京国资,10.136986301,5015,3821072400.000,3.68,4.02,3.68,4.02,9.315,25026020,600960
002117.SZ,东港股份,10.38,20241125,93716932.0,53815313.68,39901618.32,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5742325589574357,7/97,智能机器人+拟向子公司增资+AI应用,9.957627119,4313,5434497600.000,10.38,10.38,10.38,10.38,0.000,3846279,002117
002962.SZ,五方光电,19.65,20241125,225795558.04,127715140.78,98080417.26,日换手率达20%的证券,单日榜,0.5656229107809778,8/97,华为手机+摄像头模组+TGV玻璃通孔+虚拟现实,10.022396417,1257,4111784200.000,17.96,19.65,17.16,19.65,13.942,70646116,002962
600615.SH,丰华股份,13.41,20241125,35021833.76,18887474.76,16134359.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.5393057053903394,10/97,拟受赠鑫源农机51%股权+实控人变更+镁/铝合金制品,10.008203445,7846,2516044700.000,13.41,13.41,13.41,13.41,0.000,1742800,600615
603518.SH,锦泓集团,8.53,20241125,26694239.0,12774649.08,13919589.92,日涨幅偏离值达7%的证券,单日榜,0.4785545330586124,11/97,服装家纺+电商,10.064516129,2426,2934955200.000,7.78,8.53,7.75,8.53,10.065,23891320,603518
601133.SH,柏诚股份,13.89,20241125,60462265.0,25230053.0,35232212.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4172859385932697,14/97,洁净室系统集成+中芯国际,9.976247031,395,2048775000.000,13.89,13.89,13.89,13.89,0.000,4710216,601133
600249.SH,两面针,5.34,20241125,40842657.75,17013506.75,23829151.0,日涨幅偏离值达7%的证券,单日榜,0.41656218491315,15/97,个护用品+流感+医药电商+国企改革,10.103092784,5063,2937000000.000,4.85,5.34,4.85,5.34,10.103,36927424,600249
