股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,营业部净额合计,上市交易日天数,涨跌幅:前复权,涨停原因类别,营业部买入金额合计,营业部卖出金额合计,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,code
000009.SZ,中国宝安,7.87,20260731,519859161.01,362524375.65,157334785.36,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6973511343835421,1/72,362524375.65,8579,10.069930069930065,股东增持+锂电池负极材料+机器人概念,519859161.01,157334785.36,20273281000.000,6.97,7.87,6.9,7.87,13.566433566433561,000009
600588.SH,用友网络,11.08,20260731,276596655.06,184968087.74,91628567.32,日涨幅偏离值达7%的证券,单日榜,0.6687285777186145,3/72,184968087.74,6118,10.029791459781526,AI应用+机器人概念+企业软件龙头,276596655.06,91628567.32,37860331000.000,9.8,11.08,9.8,11.08,12.71102284011916,600588
002015.SZ,协鑫能科,15.08,20260731,299539501.66,184457143.23,115082358.43,日涨幅偏离值达7%的证券,单日榜,0.6158023973725268,5/72,184457143.23,5362,9.992706053975194,算力租赁+虚拟电厂+超跌反弹,299539501.66,115082358.43,24479735000.000,13.9,15.08,13.9,15.08,8.606856309263309,002015
605208.SH,永茂泰,11.96,20260731,58923490.19,35795871.37,23127618.82,日涨幅偏离值达7%的证券,单日榜,0.6074974726475889,8/72,35795871.37,1311,10.027598896044175,机器人+铝合金+业绩预增,58923490.19,23127618.82,3946082400.000,11.2,11.96,11.13,11.96,7.635694572217113,605208
603779.SH,威龙股份,7.33,20260731,67755409.2,31804112.2,35951297.0,日涨幅偏离值达7%的证券,单日榜,0.4693959135590314,12/72,31804112.2,2481,10.06006006006006,葡萄酒+淄博国资入主+股权转让,67755409.2,35951297.0,2434166600.000,6.66,7.33,6.66,7.33,10.060060060060058,603779
002851.SZ,麦格米特,106.45,20260731,889779138.13,356912849.1,532866289.03,日涨幅偏离值达7%的证券,单日榜,0.40112521614083263,17/72,356912849.1,2286,10.003100134339162,超跌反弹+AI电源+英伟达产业链,889779138.13,532866289.03,49094871000.000,106.0,106.45,102.18,106.45,4.412524542730181,002851
000506.SZ,招金黄金,14.52,20260731,388436118.33,154069524.34,234366593.99,日涨幅偏离值达7%的证券,单日榜,0.3966405724637291,18/72,154069524.34,8120,10.000000000000004,黄金+半年报预增+国企改革,388436118.33,234366593.99,13484825000.000,13.27,14.52,13.27,14.52,9.469696969696969,000506
600475.SH,华光环能,16.0,20260731,193923159.11,67431923.26,126491235.85,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.34772496265776204,20/72,67431923.26,5596,7.526881720430102,,193923159.11,126491235.85,15086172000.000,14.26,16.24,14.08,16.0,14.516129032258052,600475
603039.SH,泛微网络,37.42,20260731,283850994.06,91096273.0,192754721.06,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.3209299065577491,21/72,91096273.0,2317,9.994121105232212,AI应用+半年报预增+协同办公,283850994.06,192754721.06,11511856800.000,33.0,37.42,32.81,37.42,13.550852439741327,603039
002879.SZ,长缆科技,16.25,20260731,84735931.8,23534769.7,61201162.1,日换手率达20%的证券,单日榜,0.2777425019122761,24/72,23534769.7,2202,0.6815365551424996,,84735931.8,61201162.1,2228509100.000,16.14,16.28,15.2,16.25,6.691449814126406,002879
605069.SH,正和生态,9.96,20260731,34032576.0,9421171.6,24611404.4,日涨幅偏离值达7%的证券,单日榜,0.2768280485144586,25/72,9421171.6,1201,10.055248618784532,AI应用+智能巡检机器狗+生态水利,34032576.0,24611404.4,2108509900.000,9.21,9.96,9.15,9.96,8.950276243093928,605069
001258.SZ,立新能源,12.34,20260731,134531131.5,33971227.36,100559904.14,日振幅值达15%的证券,单日榜,0.2525157335794801,27/72,33971227.36,973,-0.08097165991902662,,134531131.5,100559904.14,11517213000.000,11.12,12.97,11.12,12.34,14.979757085020253,001258
600693.SH,东百集团,9.44,20260731,196651529.25,46512700.13,150138829.12,日振幅值达15%的证券,单日榜,0.23652346008898378,28/72,46512700.13,7948,2.7203482045701852,,196651529.25,150138829.12,8202914300.000,8.27,9.56,8.27,9.44,14.036996735582166,600693
600162.SH,香江控股,3.18,20260731,155320892.68,35949258.7,119371633.98,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.23145153288594916,29/72,35949258.7,6825,10.034602076124568,算力+IDC+家居商贸+房地产,155320892.68,119371633.98,10393633200.000,2.87,3.18,2.8,3.18,13.14878892733565,600162
