股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,营业部净额合计,上市交易日天数,涨跌幅:前复权,涨停原因类别,营业部买入金额合计,营业部卖出金额合计,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,code
001232.SZ,嘉立创,208.01,20260804,841089681.1,647404234.29,193685446.81,无价格涨跌幅限制的证券,单日榜,0.769720814364655,2/89,647404234.29,1,146.28226379351173,,841089681.1,193685446.81,9195404300.000,234.35,234.5,188.99,208.01,53.883495145631066,001232
601700.SH,风范股份,5.92,20260804,59742967.14,37908535.7,21834431.44,日涨幅偏离值达7%的证券,单日榜,0.6345271672089235,3/89,50873235.26,3775,10.037174721189592,特高压+中报预增+国企改革,80586877.14,29713641.88,6741443200.000,5.82,5.92,5.5,5.92,7.806691449814125,601700
601700.SH,风范股份,5.92,20260804,80586877.14,50873235.26,29713641.88,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6312843612443275,4/89,50873235.26,3775,10.037174721189592,特高压+中报预增+国企改革,80586877.14,29713641.88,6741443200.000,5.82,5.92,5.5,5.92,7.806691449814125,601700
605167.SH,利柏特,15.84,20260804,31682971.88,19493367.88,12189604.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.6152632383676503,5/89,19493367.88,1218,9.999999999999996,核电+回购+员工持股,31682971.88,12189604.0,8076936300.000,15.84,15.84,15.84,15.84,0.0,605167
603459.SH,红板科技,87.64,20260804,339848028.52,203981202.71,135866825.81,日换手率达20%的证券,单日榜,0.600212994020637,6/89,203981202.71,81,10.003765532822893,HDI技改扩产+CPO+存储IC载板,339848028.52,135866825.81,6928104800.000,80.9,87.64,79.75,87.64,9.903351324212377,603459
002384.SZ,东山精密,179.09,20260804,3406800952.15,1586739494.63,1820061457.52,日涨幅偏离值达7%的证券,单日榜,0.46575644333685645,10/89,1586739494.63,3964,9.999385787113814,中报预增+光模块+回购+AI PCB,3406800952.15,1820061457.52,248276360000.000,168.76,179.09,167.0,179.09,7.425833793993,002384
603559.SH,中通国脉,9.2,20260804,26260314.0,12023746.0,14236568.0,日涨幅偏离值达7%的证券,单日榜,0.45786756395982164,12/89,12023746.0,2348,10.047846889952153,算力+通信服务+摘帽+半年报扭亏,26260314.0,14236568.0,3691748200.000,8.46,9.2,8.26,9.2,11.244019138755975,603559
002827.SZ,高争民爆,41.87,20260804,535210175.08,240260326.32,294949848.76,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.44890836816412794,13/89,240260326.32,2343,10.010509721492367,,535210175.08,294949848.76,11556066600.000,41.87,41.87,38.82,41.87,8.013662637940087,002827
601858.SH,中国科传,23.94,20260804,179660751.55,74924120.17,104736631.38,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.41703109623889356,14/89,74924120.17,2316,10.018382352941174,AI应用+数字教育+出版+央企,179660751.55,104736631.38,18924570000.000,22.0,23.94,21.98,23.94,9.007352941176473,601858
600673.SH,东阳光,32.15,20260804,985343671.08,404036676.69,581306994.39,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.4100464523683902,15/89,404036676.69,7995,9.989736572015047,算力服务+制冷剂+回购增持,985343671.08,581306994.39,96500087000.000,29.94,32.15,29.87,32.15,7.80020526855969,600673
603567.SH,珍宝岛,6.67,20260804,85083225.37,32516971.56,52566253.81,日涨幅偏离值达7%的证券,单日榜,0.3821784073017212,16/89,32516971.56,2742,10.06600660066007,中药+创新药+CXO概念,85083225.37,52566253.81,6265820000.000,6.12,6.67,6.11,6.67,9.240924092409236,603567
000595.SZ,新能股份,6.56,20260804,157202917.2,59441293.2,97761624.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.378118257973396,17/89,59441293.2,7349,10.067114093959725,风光储+控股股东增持完成+扣非扭亏+宁夏国资,157202917.2,97761624.0,7469585800.000,6.55,6.56,6.41,6.56,2.5167785234899243,000595
605068.SH,明新旭腾,21.47,20260804,66471404.15,24776764.38,41694639.77,日振幅值达15%的证券,单日榜,0.3727432073510666,18/89,24776764.38,1382,9.989754098360653,人形机器人概念+电子皮肤+汽车内饰,66471404.15,41694639.77,3482401700.000,19.31,21.47,18.35,21.47,15.983606557377037,605068
000593.SZ,德龙汇能,20.47,20260804,53539322.57,19873176.57,33666146.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.37118842032445987,19/89,19873176.57,7377,9.994626544868348,举牌+天然气+氢能,53539322.57,33666146.0,7338150500.000,20.47,20.47,20.47,20.47,0.0,000593
002896.SZ,中大力德,76.11,20260804,463659255.8,168303676.61,295355579.19,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.362990007219004,20/89,168303676.61,2167,6.061872909698988,,463659255.8,295355579.19,14957340000.000,74.78,77.86,72.54,76.11,7.413600891861752,002896
