股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600395.SH,盘江股份,5.47,20260130,86198995.0,61069268.0,25129727.0,日涨幅偏离值达7%的证券,单日榜,5990,10.06036217303823,业绩预增+煤电一体化+贵州国资,0.7084684456007869,2/76,11742038200.000,5.47,5.47,5.47,5.47,0.000,30947184,600395
600828.SH,茂业商业,6.58,20260130,82079375.0,57091946.0,24987429.0,日涨幅偏离值达7%的证券,单日榜,7766,10.033444816053505,REITs调整+百货零售+川超消费,0.6955699406824187,3/76,11392350000.000,6.04,6.58,6.02,6.58,9.365,43590384,600828
601133.SH,柏诚股份,18.55,20260130,187224662.0,127777098.23,59447563.77,日换手率达20%的证券;日涨幅偏离值达7%的证券,单日榜,684,10.023724792408073,半导体洁净室+长鑫合作+海外扩张,0.6824800582628372,4/76,2771124100.000,16.6,18.55,16.6,18.55,11.566,47785893,601133
002009.SZ,天奇股份,28.38,20260130,316038489.13,168076956.43,147961532.7,日涨幅偏离值达7%的证券,单日榜,5250,9.999999999999993,银河通用+人形机器人+优必选,0.5318243258683054,6/76,10049998500.000,25.41,28.38,25.41,28.38,11.512,94913148,002009
002491.SZ,通鼎互联,7.85,20260130,719278977.45,367318699.49,351960277.96,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3716,9.943977591036415,光纤光缆+数据中心+出售股权,0.5106762619313919,8/76,9235280600.000,6.79,7.85,6.43,7.85,19.888,212255150,002491
600345.SH,长江通信,35.93,20260130,221605225.09,108820377.87,112784847.22,日涨幅偏离值达7%的证券,单日榜,6088,10.012247397428059,商业航天+智慧应急+央企,0.4910551085869254,10/76,7601325500.000,32.23,35.93,31.87,35.93,12.431,23692828,600345
002491.SZ,通鼎互联,7.85,20260130,385702833.39,169306008.53,216396824.86,日振幅值达15%的证券;日涨幅偏离值达7%的证券,单日榜,3716,9.943977591036415,光纤光缆+数据中心+出售股权,0.4389545366881133,11/76,9235280600.000,6.79,7.85,6.43,7.85,19.888,212255150,002491
600916.SH,中国黄金,14.68,20260130,947978814.29,416005965.58,531972848.71,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1208,8.740740740740739,,0.43883466519404507,12/76,24662400000.000,13.25,14.85,12.3,14.68,18.889,476652405,600916
002155.SZ,湖南黄金,37.0,20260130,2166288612.39,948928146.03,1217360466.36,"连续三个交易日内,日均换手率与前五个交易日的日均换手率的比值达到30倍,且换手率累计达20%的证券",三日榜,4488,9.988109393579071,重组复牌+黄金预增+湖南国资,0.43804326930522736,13/76,57812880000.000,37.0,37.0,36.0,37.0,2.973,364409810,002155
002155.SZ,湖南黄金,37.0,20260130,2166288612.39,948928146.03,1217360466.36,日涨幅偏离值达7%的证券,单日榜,4488,9.988109393579071,重组复牌+黄金预增+湖南国资,0.43804326930522736,13/76,57812880000.000,37.0,37.0,36.0,37.0,2.973,364409810,002155
