股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600770.SH,综艺股份,6.24,20250520,93960572.58,83187629.58,10772943.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6905,10.052910053,拟取得吉莱微控制权+功率半导体,0.8853461329130611,1/80,8112000000.000,6.24,6.24,6.24,6.24,0.000,7036401,600770
600207.SH,安彩高科,5.03,20250520,56579076.14,46462986.14,10116090.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6263,10.065645514,河南国资+石英制品+半导体+光伏玻璃,0.8212043976298126,2/80,5479242100.000,5.03,5.03,5.03,5.03,0.000,8943800,600207
600770.SH,综艺股份,6.24,20250520,36211968.0,27059760.0,9152208.0,日涨幅偏离值达7%的证券,单日榜,6905,10.052910053,拟取得吉莱微控制权+功率半导体,0.7472601323407775,3/80,8112000000.000,6.24,6.24,6.24,6.24,0.000,7036401,600770
600207.SH,安彩高科,5.03,20250520,34992704.0,25058957.0,9933747.0,日涨幅偏离值达7%的证券,单日榜,6263,10.065645514,河南国资+石英制品+半导体+光伏玻璃,0.7161194802207912,4/80,5479242100.000,5.03,5.03,5.03,5.03,0.000,8943800,600207
002570.SZ,贝因美,6.56,20250520,268422689.56,170401824.93,98020864.63,日涨幅偏离值达7%的证券,单日榜,3427,10.067114094,婴幼儿奶粉+跨境电商+益生菌,0.6348264567698194,7/80,7084769400.000,5.94,6.56,5.94,6.56,10.403,252789300,002570
002431.SZ,棕榈股份,2.4,20250520,68280891.04,37011276.05,31269614.99,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3626,10.091743119,河南国资+高标准农田建设+城市更新,0.5420444210125819,10/80,4350759000.000,2.4,2.4,2.4,2.4,0.000,23345589,002431
002456.SZ,欧菲光,13.35,20250520,579293976.85,310705895.43,268588081.42,日涨幅偏离值达7%的证券,单日榜,3591,9.967051071,重组+光学镜头,0.5363527118295119,11/80,43423934000.000,12.17,13.35,11.92,13.35,11.779,369122050,002456
600986.SH,浙文互联,8.98,20250520,209037318.06,111941572.31,97095745.75,日涨幅偏离值达7%的证券,单日榜,5117,10.049019608,算力+AI营销+国企,0.5355099909857693,12/80,13356619100.000,8.2,8.98,8.08,8.98,11.029,152952619,600986
002123.SZ,梦网科技,15.9,20250520,282232378.9,149926877.55,132305501.35,日涨幅偏离值达7%的证券,单日榜,4410,10.034602076,拟收购碧橙数字控制权+DeepSeek概念+云通信+鸿蒙,0.5312178501075591,13/80,11448757100.000,14.33,15.9,14.33,15.9,10.865,167574760,002123
000677.SZ,恒天海龙,6.12,20250520,211964141.64,95495041.93,116469099.71,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6879,10.071942446,低空资产注入猜想+防弹材料+化学纤维,0.45052451415196837,16/80,5287545000.000,5.71,6.12,5.71,6.12,7.374,167545530,000677
