股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
600981.SH,苏豪汇鸿,2.71,20260610,58962886.0,43653340.5,15309545.5,日涨幅偏离值达7%的证券,单日榜,5332,10.16260162601626,大宗商品供应链+跨境电商+参股期货+江苏国资,0.740352846704281,1/91,6076994000.000,2.44,2.71,2.37,2.71,13.821,59431108,600981
000970.SZ,中科三环,14.52,20260610,551570943.16,313927110.97,237643832.19,日涨幅偏离值达7%的证券,单日榜,6337,10.000000000000004,人形机器人+轴向磁通电机+稀土永磁+中科院,0.569150922221325,2/91,17652338000.000,12.9,14.52,12.78,14.52,13.182,171831380,000970
603002.SH,宏昌电子,18.25,20260610,1048965426.96,561611369.96,487354057.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3416,10.006027727546716,高速覆铜板+环氧树脂+先进封装,0.535395500676893,3/91,20696933000.000,17.0,18.25,17.0,18.25,7.535,199590930,603002
600500.SH,中化国际,6.55,20260610,192470303.45,99307443.95,93162859.5,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6373,10.084033613445373,芳纶+PPE树脂+央企,0.515962422098005,4/91,23503406000.000,6.55,6.55,6.55,6.55,0.000,31438840,600500
605006.SH,山东玻纤,21.07,20260610,407957937.6,184210936.2,223747001.4,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1395,10.026109660574422,电子纱+风电纱+山东国资+转债强赎,0.451543944171562,6/91,13239547000.000,19.6,21.07,19.53,21.07,8.042,94294713,605006
000048.SZ,京基智农,17.83,20260610,165286843.8,72061990.79,93224853.01,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7667,9.993830968537923,协议转让+生猪养殖+猪价反弹+机器人,0.4359814074325013,8/91,9437468000.000,17.63,17.83,17.02,17.83,4.997,29630097,000048
002735.SZ,王子新材,18.92,20260610,253060592.35,106583430.95,146477161.4,日振幅值达15%的证券;日换手率达20%的证券,单日榜,2798,4.936217415418749,,0.4211775131016364,10/91,5393322700.000,17.26,19.79,16.6,18.92,17.693,90249416,002735
003026.SZ,中晶科技,36.14,20260610,124881641.38,51901943.81,72979697.57,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1325,10.015220700152202,半导体硅片+抛光硅片+一季报增长,0.41560907781527756,12/91,5224430200.000,34.44,36.14,34.44,36.14,5.175,12057573,003026
002409.SZ,雅克科技,122.55,20260610,509083941.06,207701658.46,301382282.6,日涨幅偏离值达7%的证券,单日榜,3895,9.999102414504982,半导体前驱体+HBM+存储芯片,0.4079909848020929,13/91,39034963000.000,107.95,122.55,107.1,122.55,13.868,33454721,002409
603065.SH,宿迁联盛,11.44,20260610,53422720.0,20606064.96,32816655.04,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,780,9.999999999999991,跨界磷化铟衬底+光稳定剂,0.38571725587914657,16/91,4792989000.000,11.44,11.44,11.44,11.44,0.000,3674275,603065
000029.SZ,深深房A,26.99,20260610,78493616.6,29614592.6,48879024.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7951,9.98370008149959,权益分派+房地产+深圳国资,0.377286636579821,17/91,24065903000.000,25.76,26.99,25.36,26.99,6.642,4918899,000029
002354.SZ,天娱数科,8.87,20260610,405495069.84,144529699.74,260965370.1,日涨幅偏离值达7%的证券,单日榜,3963,10.049627791563259,物理AI业务澄清+具身智能数据集+AI应用,0.3564277607543501,18/91,14419904000.000,8.28,8.87,8.28,8.87,7.320,343853470,002354
605589.SH,圣泉集团,60.1,20260610,286638188.0,95457979.28,191180208.72,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1169,9.992679355783311,PPO树脂+PCB上游+先进封装,0.33302603517714113,20/91,50839732000.000,60.1,60.1,60.1,60.1,0.000,17861751,605589
002971.SZ,和远气体,47.95,20260610,290854261.1,92823440.92,198030820.18,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1551,10.002294104152327,六氟化钨+电子特气+硅基新材料,0.3191407289992768,22/91,7499444700.000,47.95,47.95,47.94,47.95,0.023,7434232,002971
002585.SZ,双星新材,13.42,20260610,555565525.23,152094474.76,403471050.47,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,3648,10.000000000000005,MLCC离型膜+复合铜箔+扭亏为盈,0.2737651417391927,25/91,11900275400.000,12.91,13.42,12.91,13.42,4.180,167262960,002585
600500.SH,中化国际,6.55,20260610,71626870.0,15617885.5,56008984.5,日涨幅偏离值达7%的证券,单日榜,6373,10.084033613445373,芳纶+PPE树脂+央企,0.21804506465241327,27/91,23503406000.000,6.55,6.55,6.55,6.55,0.000,31438840,600500
