股票代码,股票简称,最新价
605086.SH,龙高股份,33.94
603789.SH,星光农机,13.18
001239.SZ,永达股份,20.82
600630.SH,龙头股份,13.08
603656.SH,泰禾智能,16.83
002786.SZ,银宝山新,16.13
603153.SH,上海建科,23.52
600692.SH,亚通股份,8.29
001314.SZ,亿道信息,64.26
603779.SH,威龙股份,11.78
001314.SZ,亿道信息,64.26
603825.SH,华扬联众,16.06
603789.SH,星光农机,13.18
600610.SH,中毅达,9.06
605286.SH,同力日升,28.44
603280.SH,南方路机,25.10
002915.SZ,中欣氟材,15.33
