股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
000903.SZ,云内动力,5.56,20250529,105028067.9,79234207.9,25793860.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6333,10.099009901,无人配送车+柴油机+配送机器人+昆明国企,0.7544098400004938,1/72,10676654800.000,5.56,5.56,5.56,5.56,0.000,21255850,000903
000539.SZ,粤电力A,5.27,20250529,323440622.58,217648462.78,105792159.8,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,7651,10.020876827,电力+新能源+广东国资,0.6729162869026036,2/72,13459120000.000,5.27,5.27,5.05,5.27,4.593,95594824,000539
000826.SZ,启迪环境,2.28,20250529,58334020.0,37848080.0,20485940.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,6612,10.144927536,无人驾驶+数字环卫,0.6488165910732708,3/72,3249394300.000,2.28,2.28,2.28,2.28,0.000,33767936,000826
001390.SZ,古麒绒材,32,20250529,109272244.77,70115757.73,39156487.04,无价格涨跌幅限制的证券,单日榜,1,164.900662252,,0.6416611819184467,4/72,1567963100.000,30,39,29.01,32,82.699,39103123,001390
605366.SH,宏柏新材,6.46,20250529,122671350.08,73109713.68,49561636.4,日涨幅偏离值达7%的证券,单日榜,1161,10.051107325,功能性硅烷+橡胶制品,0.595980346122559,6/72,4084807400.000,5.98,6.46,5.93,6.46,9.029,46345687,605366
603333.SH,尚纬股份,9.96,20250529,95550075.0,56059386.77,39490688.23,日涨幅偏离值达7%的证券,单日榜,3175,10.055248619,核电电缆+控股股东变更+新能源负极材料,0.5867016511499337,7/72,6190414800.000,9.5,9.96,9.44,9.96,5.746,51552174,603333
605136.SH,丽人丽妆,15.7,20250529,234187502.54,126859721.46,107327781.08,日换手率达20%的证券,单日榜,1127,1.815823606,,0.5417015002255807,8/72,6287198500.000,16,16.96,14.81,15.7,13.943,109668064,605136
605388.SH,均瑶健康,9.31,20250529,72489119.18,36861722.9,35627396.28,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,1157,10.047281324,益生菌+跨境电商,0.5085138751440406,9/72,5590506000.000,9.31,9.31,9.31,9.31,0.000,19816881,605388
600869.SH,远东股份,5.24,20250529,128087671.8,59860424.8,68227247.0,日涨幅偏离值达7%的证券,单日榜,7361,10.084033613,高速铜缆+机器人+海洋经济,0.4673394711511963,11/72,11629408400.000,4.72,5.24,4.69,5.24,11.555,93412623,600869
600990.SH,四创电子,29.1,20250529,375263665.19,157643409.27,217620255.92,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,5119,10.018903592,可控核聚变+雷达+低空经济+实控人中电科,0.4200870584957472,13/72,7828269500.000,26,29.1,25.61,29.1,13.195,46848224,600990
605388.SH,均瑶健康,9.31,20250529,61324690.7,25697294.42,35627396.28,日涨幅偏离值达7%的证券,单日榜,1157,10.047281324,益生菌+跨境电商,0.419036673918357,14/72,5590506000.000,9.31,9.31,9.31,9.31,0.000,19816881,605388
603686.SH,福龙马,16.18,20250529,252461713.2,103490912.62,148970800.58,日换手率达20%的证券,单日榜,2512,9.993201903,无人驾驶+智能环卫装备+机器人应用,0.4099271580955112,15/72,6721663900.000,15.15,16.18,14.78,16.18,9.517,107257978,603686
002471.SZ,中超控股,6.06,20250529,319576620.9,121408646.42,198167974.48,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,3570,9.98185118,曾研发外骨骼机器人用电缆+军工+电线电缆+低空经济,0.37990465659873934,16/72,7908280400.000,5.54,6.06,5.53,6.06,9.619,499624700,002471
002735.SZ,王子新材,21.85,20250529,310796694.44,113869767.33,196926927.11,日涨幅偏离值达7%的证券;日换手率达20%的证券,单日榜,2548,10.020140987,可控核聚变+军工+塑料包装,0.3663802394525879,18/72,6131018400.000,19.67,21.85,19.5,21.85,11.833,138832260,002735
002094.SZ,青岛金王,9.79,20250529,317177147.71,115241818.41,201935329.3,日涨幅偏离值达7%的证券,单日榜,4482,10,跨境电商+跨境支付+化妆品+外销,0.3633358179870114,19/72,6759540200.000,8.87,9.79,8.66,9.79,12.697,255648420,002094
002250.SZ,联化科技,8.36,20250529,373654820.61,122758407.72,250896412.89,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,4117,10,农药CDMO+医药CRO+一季报增长+海外盈利,0.3285342539394891,21/72,7578625500.000,7.66,8.36,7.56,8.36,10.526,151201360,002250
603681.SH,永冠新材,18.45,20250529,69535768.0,22768810.0,46766958.0,日振幅值达15%的证券,单日榜,1498,10.017889088,汽车膜+胶粘解决方案+AI智能体+外销,0.3274402606727519,22/72,3526367000.000,16.02,18.45,16.02,18.45,14.490,39945025,603681
