股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,涨停原因类别,涨跌幅:前复权,上市交易日天数,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
002269.SZ,美邦服饰,1.87,20240131,182912128.0,163422437.0,19489691.0,日涨幅偏离值达7%的证券,单日榜,0.8934477925925174,1/72,上海浦东+年报预增+服装+中俄贸易,10.000,3751,4698375000.000,1.68,1.87,1.68,1.87,11.177,142862490.00,002269
603270.SH,金帝股份,26.43,20240131,139849432.31,116072190.31,23777242.0,日换手率达20%的证券,单日榜,0.8299797031188965,2/72,次新股+新能源汽车+风电,9.988,102,1296114590.000,24.03,26.43,24.03,26.43,9.988,11976331.00,603270
002590.SZ,万安科技,11.07,20240131,38834100.0,27043481.0,11790619.0,日涨幅偏离值达7%的证券,单日榜,0.69638490398902,3/72,飞行汽车+年报预增+汽车电子,10.040,3077,5042978800.000,10.38,11.07,10.32,11.07,7.455,14426934.00,002590
002423.SZ,中粮资本,9.19,20240131,248314958.24,149750291.44,98564666.8,日涨幅偏离值达7%的证券,单日榜,0.6030659308701982,4/72,中字头+多元金融+年报预增,10.060,3322,21174730000.000,8.00,9.19,7.95,9.19,14.850,230204840.00,002423
600689.SH,上海三毛,11.72,20240131,114893094.7,65615171.7,49277923.0,日换手率达20%的证券,单日榜,0.5710976092282072,6/72,,-6.762,7356,1783832600.000,11.31,12.18,11.31,11.72,6.921,35681070.00,600689
003007.SZ,直真科技,36.62,20240131,65668721.8,36003333.8,29665388.0,日涨幅偏离值达7%的证券,单日榜,0.5482569602869901,8/72,算力调度+华为+数据要素+年报预增,10.003,815,3765837400.000,32.88,36.62,32.56,36.62,12.196,12064370.00,003007
601968.SH,宝钢包装,5.56,20240131,33249022.0,17991596.0,15257426.0,日涨幅偏离值达7%的证券,单日榜,0.5411165477288324,9/72,央企+上海+食品包装+拟回购,10.099,2105,5032536300.000,5.10,5.56,5.10,5.56,9.109,38221771.00,601968
603126.SH,中材节能,7.56,20240131,92234632.8,47008846.24,45225786.56,日涨幅偏离值达7%的证券,单日榜,0.5096658902728347,11/72,中字头+节能环保+光伏,10.044,2315,4615380000.000,7.00,7.56,7.00,7.56,8.151,25420027.00,603126
002180.SZ,纳思达,19.40,20240131,228094214.55,80813449.18,147280765.37,日振幅值达15%的证券,单日榜,0.3542985486915324,15/72,,5.035,3947,25395332000.000,16.79,20.21,16.79,19.40,18.517,34995007.00,002180
002423.SZ,中粮资本,9.19,20240131,348433554.67,121260665.57,227172889.1,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.34801661305222303,16/72,中字头+多元金融+年报预增,10.060,3322,21174730000.000,8.00,9.19,7.95,9.19,14.850,230204840.00,002423
603767.SH,中马传动,14.64,20240131,85768122.12,16408948.85,69359173.27,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.19131757166190358,18/72,年报预增+减速器+新能源汽车+实控人变更,9.993,1618,4518365200.000,12.94,14.64,12.76,14.64,14.125,33493501.00,603767
600629.SH,华建集团,7.14,20240131,249588706.79,42626260.74,206962446.05,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,0.17078601547410985,20/72,上海国资+工程建筑+人工智能+参股券商,10.015,7549,6744864900.000,6.50,7.14,5.84,7.14,20.031,220871330.00,600629
605136.SH,丽人丽妆,9.21,20240131,30209873.0,643724.0,29566149.0,日涨幅偏离值达7%的证券,单日榜,0.021308398085619226,33/72,年报预增+上海徐汇+化妆品+预制菜+拼多多,10.036,811,3688222800.000,9.21,9.21,8.91,9.21,3.584,13884600.00,605136
