股票代码,股票简称,最新价
603270.SH,金帝股份,29.91
603193.SH,润本股份,18.88
001239.SZ,永达股份,25.19
002748.SZ,世龙实业,11.74
603628.SH,清源股份,13.04
002103.SZ,广博股份,8.86
603628.SH,清源股份,13.04
002786.SZ,银宝山新,18.36
600630.SH,龙头股份,15.10
002306.SZ,中科云网,4.91
001239.SZ,永达股份,25.19
