股票代码,股票简称,最新价
000610.SZ,西安旅游,15.04
603967.SH,中创物流,11.96
002354.SZ,天娱数科,6.31
600610.SH,中毅达,8.24
002888.SZ,惠威科技,21.34
001239.SZ,永达股份,18.93
002888.SZ,惠威科技,21.34
603967.SH,中创物流,11.96
600692.SH,亚通股份,7.54
002660.SZ,茂硕电源,10.77
002915.SZ,中欣氟材,13.94
002316.SZ,亚联发展,5.26
603392.SH,万泰生物,57.62
002347.SZ,泰尔股份,6.33
