股票代码,股票简称,最新价,营业部交易日期,当日龙虎榜买入金额,当日龙虎榜净额,当日龙虎榜卖出金额,当日上榜原因,龙虎榜上榜类型,上市交易日天数,涨跌幅:前复权,涨停原因类别,当日龙虎榜净额/当日龙虎榜买入金额,当日龙虎榜净额/当日龙虎榜买入金额排名,a股市值不含限售股,开盘价:前复权,最高价:前复权,最低价:前复权,收盘价:前复权,振幅,成交量,code
603221.SH,爱丽家居,10.52,20260721,2925612.0,1783140.0,1142472.0,日涨幅偏离值达7%的证券,单日榜,1535,10.041841004184091,拟收购欧康诺+股权转让+PVC弹性地板+Home Depot供应链,0.6094929881337648,1/98,2548680400.000,10.52,10.52,10.52,10.52,0.0,278100,603221
003001.SZ,中岩大地,18.72,20260721,143258443.2,77775608.97,65482834.23,日换手率达20%的证券,单日榜,1401,6.363636363636348,,0.5429041893287865,2/98,2140942400.000,15.84,18.8,15.84,18.72,16.81818181818182,27647715,003001
603211.SH,晋拓股份,26.89,20260721,294517520.0,94173494.0,200344026.0,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,967,-7.78463648834019,,0.3197551507292334,8/98,7308917100.000,27.26,28.02,26.24,26.89,6.104252400548701,17635600,603211
600664.SH,哈药股份,5.84,20260721,645846312.09,184611061.27,461235250.82,日换手率达20%的证券,单日榜,8043,9.981167608286258,创新药+化学制药+基药目录+中报预增,0.2858436408386181,9/98,14708098000.000,4.89,5.84,4.78,5.84,19.962335216572498,726647396,600664
603118.SH,共进股份,14.93,20260721,386072558.04,106445273.53,279627284.51,日涨幅偏离值达7%的证券,单日榜,2773,10.022107590272656,数据中心交换机+机器人+国企改革+回购,0.2757131303773512,10/98,11754036700.000,13.13,14.93,12.73,14.93,16.212232866617533,133315517,603118
603161.SH,科华控股,14.52,20260721,66996030.62,15183195.62,51812835.0,"连续三个交易日内,涨幅偏离值累计达20%的证券",三日榜,2070,10.000000000000004,定增获批+混动零部件+涡轮增压器壳体,0.22662828647444427,14/98,2769671900.000,13.35,14.52,12.97,14.52,11.742424242424235,8367967,603161
600744.SH,华银电力,7.22,20260721,347325193.26,74862589.58,272462603.68,日涨幅偏离值达7%的证券,单日榜,7241,10.0609756097561,火电+新能源+定增获批+央企,0.2155403380829893,16/98,14664717000.000,7.0,7.22,6.5,7.22,10.975609756097558,369924707,600744
002788.SZ,鹭燕医药,9.39,20260721,141473758.82,29212828.46,112260930.36,"连续三个交易日内,跌幅偏离值累计达20%的证券",三日榜,2533,-5.722891566265063,,0.20648937798541206,17/98,3585352100.000,9.88,9.88,8.96,9.39,9.236947791164656,42404206,002788
603936.SH,博敏电子,14.04,20260721,274216618.14,45805640.96,228410977.18,日振幅值达15%的证券;日涨幅偏离值达7%的证券,单日榜,2578,10.03134796238244,PCB+光模块+存储芯片,0.1670418126760434,21/98,8850788000.000,12.83,14.04,11.48,14.04,20.06269592476488,74133244,603936
600396.SH,华电辽能,13.56,20260721,537180962.24,52814290.48,484366671.76,日换手率达20%的证券,单日榜,6142,5.772230889235572,,0.09831750228036525,23/98,19969904000.000,12.98,13.99,11.8,13.56,17.08268330733229,332667893,600396
603123.SH,翠微股份,8.67,20260721,74459752.33,6357517.33,68102235.0,日涨幅偏离值达7%的证券,单日榜,3455,10.025380710659899,跨境支付+数字人民币+半年报减亏+北京国资,0.08538192958021085,25/98,5655232500.000,7.89,8.67,7.85,8.67,10.406091370558379,45476404,603123
600206.SH,有研新材,39.46,20260721,741171177.31,54064198.05,687106979.26,日振幅值达15%的证券,单日榜,6630,10.008363534987465,半导体靶材+存储芯片+客户长鑫+终止定增,0.07294428022177024,26/98,33404994000.000,35.87,39.46,32.28,39.46,20.01672706997491,118150026,600206
002409.SZ,雅克科技,143.55,20260721,1158968329.2,67436422.44,1091531906.76,日振幅值达15%的证券,单日榜,3923,10.000000000000009,半导体前驱体+存储芯片+HBM+客户长鑫,0.05818659642455396,28/98,45723940000.000,132.0,143.55,117.45,143.55,20.000000000000007,45699440,002409
002281.SZ,光迅科技,187.0,20260721,2518727479.07,124269563.4,2394457915.67,日振幅值达15%的证券,单日榜,4106,9.670987038883355,,0.049338233069138766,30/98,145852550000.000,169.32,187.56,153.46,187.0,19.99882704826696,79612740,002281
002396.SZ,星网锐捷,31.61,20260721,971937210.18,37175655.2,934761554.98,日换手率达20%的证券,单日榜,3905,9.986082115518446,数据中心交换机+CPO+半年报预增+福建国资,0.03824902968074983,31/98,23941892000.000,27.96,31.61,27.54,31.61,14.161447459986084,217413848,002396
